epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.42564,0.72405,0.63457,0.99018,0.92064,0.8936,0.93887,0.82121,0.55471,0.3935,0.85589,8.33e-06,8.33e-06,8.33e-06
2,2.41197,0.69275,0.52245,0.95225,0.92258,0.88507,0.93986,0.82188,0.55609,0.39516,0.85657,1.77616e-05,1.77616e-05,1.77616e-05
3,3.40924,0.64545,0.49429,0.94132,0.9307,0.88057,0.93905,0.8236,0.55466,0.39239,0.85652,2.7099e-05,2.7099e-05,2.7099e-05
4,4.4694,0.69176,0.52353,0.95158,0.95085,0.86804,0.9395,0.82079,0.55893,0.39467,0.85682,3.63422e-05,3.63422e-05,3.63422e-05
5,5.43994,0.67148,0.50265,0.94626,0.93424,0.88176,0.93886,0.81895,0.56281,0.39832,0.85805,4.54911e-05,4.54911e-05,4.54911e-05
6,6.45883,0.64458,0.49801,0.93406,0.94783,0.8747,0.93601,0.81085,0.56902,0.40048,0.85878,5.45457e-05,5.45457e-05,5.45457e-05
7,7.41564,0.66191,0.50388,0.94421,0.94838,0.86898,0.93431,0.81374,0.56716,0.4012,0.85757,6.35061e-05,6.35061e-05,6.35061e-05
8,8.38023,0.65967,0.4948,0.92656,0.94872,0.8657,0.93601,0.81473,0.56337,0.40096,0.85651,7.23723e-05,7.23723e-05,7.23723e-05
9,9.34536,0.68887,0.51922,0.94882,0.92925,0.88456,0.93973,0.81718,0.56613,0.40394,0.8572,8.11442e-05,8.11442e-05,8.11442e-05
10,10.3008,0.63392,0.49381,0.93887,0.93491,0.87411,0.93836,0.81633,0.56723,0.40357,0.85817,8.98219e-05,8.98219e-05,8.98219e-05
11,11.2594,0.63755,0.49983,0.93892,0.92177,0.88333,0.94032,0.82026,0.56506,0.4061,0.85867,9.84053e-05,9.84053e-05,9.84053e-05
12,12.2683,0.65954,0.50507,0.94578,0.91952,0.88521,0.93879,0.81203,0.56905,0.40811,0.85949,0.000106894,0.000106894,0.000106894
13,13.2172,0.63197,0.49042,0.9258,0.92142,0.89025,0.93931,0.81101,0.57031,0.40865,0.85862,0.000111931,0.000111931,0.000111931
14,14.1682,0.64896,0.50604,0.93147,0.91954,0.89435,0.93952,0.80872,0.57387,0.4146,0.8607,0.000111342,0.000111342,0.000111342
15,15.1289,0.67997,0.5141,0.93623,0.92155,0.89372,0.93791,0.80939,0.57694,0.41239,0.86249,0.000110753,0.000110753,0.000110753
16,16.0868,0.61648,0.47974,0.93095,0.92425,0.88711,0.9358,0.81029,0.57406,0.41033,0.86258,0.000110164,0.000110164,0.000110164
17,17.036,0.64066,0.49542,0.93847,0.93507,0.87436,0.93628,0.80751,0.57453,0.41129,0.86303,0.000109575,0.000109575,0.000109575
18,18.0528,0.64573,0.50196,0.93374,0.93234,0.87687,0.93628,0.80861,0.5744,0.41172,0.86166,0.000108986,0.000108986,0.000108986
19,19.0124,0.64889,0.49933,0.93564,0.92975,0.87861,0.93665,0.80978,0.58209,0.41477,0.86202,0.000108397,0.000108397,0.000108397
20,19.9703,0.65149,0.50111,0.93863,0.93328,0.87733,0.93789,0.81159,0.5788,0.41083,0.8608,0.000107808,0.000107808,0.000107808
21,20.9268,0.64851,0.50455,0.94185,0.93175,0.8862,0.93842,0.80999,0.57622,0.40974,0.86024,0.000107219,0.000107219,0.000107219
22,21.8897,0.63045,0.4887,0.93844,0.93526,0.88093,0.94169,0.81659,0.57705,0.40815,0.86037,0.00010663,0.00010663,0.00010663
23,22.856,0.66224,0.52009,0.95041,0.90041,0.90757,0.94151,0.81782,0.57778,0.4074,0.8605,0.000106041,0.000106041,0.000106041
24,23.812,0.64101,0.48594,0.92336,0.94516,0.87946,0.94185,0.81949,0.57456,0.40768,0.85827,0.000105452,0.000105452,0.000105452
25,24.7629,0.64783,0.49266,0.94706,0.94152,0.88121,0.94179,0.81666,0.57612,0.40703,0.85856,0.000104863,0.000104863,0.000104863
26,25.772,0.62761,0.49656,0.93286,0.93539,0.88151,0.94274,0.81517,0.57186,0.40299,0.85707,0.000104274,0.000104274,0.000104274
27,26.73,0.64249,0.4944,0.94339,0.91594,0.90294,0.94438,0.81787,0.56718,0.40757,0.85532,0.000103685,0.000103685,0.000103685
28,27.6866,0.63834,0.48657,0.92711,0.92829,0.8902,0.94292,0.81485,0.56788,0.41115,0.85549,0.000103096,0.000103096,0.000103096
29,28.6431,0.61825,0.4703,0.92776,0.93,0.88753,0.94375,0.81092,0.56562,0.40498,0.85579,0.000102507,0.000102507,0.000102507
30,29.598,0.65724,0.50524,0.94472,0.93296,0.88729,0.94241,0.80972,0.57152,0.40492,0.85745,0.000101918,0.000101918,0.000101918
31,30.5482,0.61955,0.47384,0.93911,0.94208,0.88785,0.94296,0.81054,0.56943,0.40714,0.8563,0.000101329,0.000101329,0.000101329
32,31.5239,0.6028,0.47798,0.92583,0.94542,0.88735,0.94202,0.8128,0.56837,0.40436,0.85521,0.000100739,0.000100739,0.000100739
33,32.5297,0.62444,0.47845,0.92375,0.94012,0.88836,0.94199,0.81979,0.5634,0.39736,0.85387,0.00010015,0.00010015,0.00010015
34,33.5016,0.66835,0.51877,0.95719,0.94087,0.88375,0.9399,0.8201,0.55928,0.39367,0.85442,9.95614e-05,9.95614e-05,9.95614e-05
35,34.4626,0.62803,0.48553,0.92728,0.94382,0.88052,0.93818,0.81969,0.55575,0.39012,0.85349,9.89723e-05,9.89723e-05,9.89723e-05
36,35.4153,0.61548,0.47882,0.93559,0.95412,0.87721,0.93907,0.82151,0.55426,0.38973,0.85249,9.83833e-05,9.83833e-05,9.83833e-05
37,36.3665,0.61602,0.47478,0.93255,0.9391,0.88475,0.93949,0.81788,0.55205,0.38697,0.85144,9.77942e-05,9.77942e-05,9.77942e-05
38,37.3214,0.65064,0.49042,0.93364,0.92308,0.89517,0.9409,0.82013,0.54778,0.38366,0.84968,9.72051e-05,9.72051e-05,9.72051e-05
39,38.2708,0.62628,0.47683,0.9279,0.93043,0.89577,0.94118,0.82209,0.54389,0.38473,0.84919,9.66161e-05,9.66161e-05,9.66161e-05
40,39.2923,0.62502,0.49421,0.94546,0.9361,0.89193,0.94336,0.82362,0.54079,0.38381,0.848,9.6027e-05,9.6027e-05,9.6027e-05
41,40.2695,0.63112,0.47679,0.92138,0.93832,0.89124,0.94466,0.82902,0.53935,0.38412,0.84741,9.5438e-05,9.5438e-05,9.5438e-05
42,41.248,0.61558,0.47436,0.92801,0.92862,0.90529,0.94521,0.82595,0.53867,0.38603,0.84716,9.4849e-05,9.4849e-05,9.4849e-05
43,42.2037,0.62545,0.4819,0.93442,0.9229,0.90484,0.9468,0.83183,0.53573,0.38723,0.84708,9.42599e-05,9.42599e-05,9.42599e-05
44,43.1856,0.60797,0.46114,0.92118,0.94369,0.89209,0.94545,0.83113,0.53279,0.38302,0.84638,9.36709e-05,9.36709e-05,9.36709e-05
45,44.1302,0.60248,0.47009,0.92432,0.94379,0.89014,0.94619,0.83394,0.53142,0.37964,0.84659,9.30818e-05,9.30818e-05,9.30818e-05
46,45.1486,0.59877,0.44869,0.90592,0.94114,0.89255,0.94645,0.83593,0.52504,0.37588,0.84597,9.24928e-05,9.24928e-05,9.24928e-05
47,46.1903,0.57732,0.4554,0.9252,0.9253,0.89575,0.94503,0.83314,0.5291,0.37821,0.84596,9.19037e-05,9.19037e-05,9.19037e-05
48,47.1458,0.61029,0.47418,0.92244,0.93619,0.8921,0.94671,0.83219,0.52534,0.38016,0.84467,9.13147e-05,9.13147e-05,9.13147e-05
49,48.0938,0.59002,0.45971,0.92672,0.92669,0.89645,0.94797,0.833,0.52405,0.38085,0.84453,9.07256e-05,9.07256e-05,9.07256e-05
50,49.0466,0.61133,0.47482,0.92178,0.92609,0.90308,0.94865,0.83211,0.52894,0.38154,0.84623,9.01366e-05,9.01366e-05,9.01366e-05
51,50.0018,0.62959,0.4754,0.92869,0.93771,0.90173,0.95066,0.83543,0.52829,0.37831,0.84642,8.95475e-05,8.95475e-05,8.95475e-05
