epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.45754,1.17767,1.33562,1.26793,0.78919,0.64035,0.74529,0.56481,0.98934,0.86684,1.06264,8.33e-06,8.33e-06,8.33e-06
2,2.46228,1.13122,1.21921,1.2005,0.75311,0.67151,0.75365,0.56865,0.98011,0.84385,1.05788,1.77616e-05,1.77616e-05,1.77616e-05
3,3.48698,1.09662,1.16305,1.18457,0.76461,0.67939,0.76526,0.57835,0.97389,0.82717,1.05384,2.7099e-05,2.7099e-05,2.7099e-05
4,4.55347,1.13898,1.12533,1.19051,0.75855,0.7084,0.77464,0.59278,0.95686,0.80685,1.04282,3.63422e-05,3.63422e-05,3.63422e-05
5,5.55702,1.0971,1.05328,1.17441,0.83299,0.69772,0.78317,0.5984,0.94394,0.78471,1.03811,4.54911e-05,4.54911e-05,4.54911e-05
6,6.56185,1.02712,0.99593,1.12241,0.88253,0.68641,0.79297,0.6147,0.93321,0.75297,1.03305,5.45457e-05,5.45457e-05,5.45457e-05
7,7.55629,1.05666,0.98074,1.14821,0.87132,0.70205,0.79971,0.62627,0.92231,0.73708,1.02571,6.35061e-05,6.35061e-05,6.35061e-05
8,8.55702,1.00856,0.90733,1.10756,0.89283,0.70666,0.80993,0.63661,0.90367,0.71406,1.01685,7.23723e-05,7.23723e-05,7.23723e-05
9,9.55418,1.03594,0.95081,1.12366,0.88597,0.72935,0.82402,0.65054,0.88679,0.68936,1.0074,8.11442e-05,8.11442e-05,8.11442e-05
10,10.557,0.97372,0.89135,1.11661,0.86168,0.75018,0.83003,0.65692,0.88182,0.67405,1.00051,8.98219e-05,8.98219e-05,8.98219e-05
11,11.5995,0.97718,0.87941,1.11407,0.84507,0.7698,0.83335,0.67049,0.86719,0.65768,0.99114,9.84053e-05,9.84053e-05,9.84053e-05
12,12.6447,0.96823,0.85125,1.10137,0.87416,0.76136,0.8389,0.67369,0.86005,0.64741,0.98723,0.000106894,0.000106894,0.000106894
13,13.6598,0.92695,0.80755,1.06557,0.89176,0.76544,0.84734,0.67666,0.85634,0.63012,0.98541,0.000111931,0.000111931,0.000111931
14,14.6749,0.94165,0.83909,1.07899,0.89201,0.78039,0.85655,0.68811,0.84535,0.6142,0.97779,0.000111342,0.000111342,0.000111342
15,15.6609,0.94808,0.79305,1.05577,0.89186,0.78583,0.86099,0.69115,0.84383,0.61005,0.97719,0.000110753,0.000110753,0.000110753
16,16.6392,0.8945,0.76225,1.06697,0.89119,0.79006,0.86072,0.69086,0.83719,0.60052,0.97348,0.000110164,0.000110164,0.000110164
17,17.6049,0.89732,0.76026,1.05927,0.86546,0.79307,0.86038,0.69738,0.81953,0.58943,0.96734,0.000109575,0.000109575,0.000109575
18,18.5852,0.89133,0.75378,1.05483,0.88783,0.7959,0.86512,0.69965,0.81693,0.57965,0.96534,0.000108986,0.000108986,0.000108986
19,19.6253,0.913,0.76948,1.05191,0.90575,0.78341,0.86184,0.70456,0.81011,0.56704,0.96229,0.000108397,0.000108397,0.000108397
20,20.6035,0.89512,0.73842,1.05327,0.9187,0.7821,0.86581,0.71233,0.80125,0.56304,0.95836,0.000107808,0.000107808,0.000107808
21,21.5846,0.88193,0.73164,1.05346,0.89876,0.80398,0.86902,0.71077,0.80354,0.56119,0.95926,0.000107219,0.000107219,0.000107219
22,22.5394,0.8554,0.70605,1.03879,0.89039,0.81253,0.87325,0.71886,0.79262,0.55157,0.95422,0.00010663,0.00010663,0.00010663
23,23.5184,0.89656,0.76285,1.06492,0.89623,0.81048,0.87748,0.72188,0.78087,0.54436,0.94889,0.000106041,0.000106041,0.000106041
24,24.5014,0.86426,0.68479,1.0216,0.88737,0.82378,0.88257,0.71976,0.77675,0.53686,0.9453,0.000105452,0.000105452,0.000105452
25,25.4567,0.86875,0.71773,1.04192,0.86921,0.83336,0.88239,0.72265,0.77065,0.53705,0.94376,0.000104863,0.000104863,0.000104863
26,26.5168,0.84903,0.70093,1.04079,0.89628,0.81614,0.88074,0.72433,0.76519,0.53263,0.94096,0.000104274,0.000104274,0.000104274
27,27.5259,0.85968,0.6969,1.03764,0.89295,0.81685,0.8832,0.72939,0.75428,0.51979,0.93526,0.000103685,0.000103685,0.000103685
28,28.5266,0.82641,0.67495,1.00974,0.89553,0.82243,0.886,0.73587,0.74232,0.50974,0.92901,0.000103096,0.000103096,0.000103096
29,29.5164,0.81533,0.65046,1.01678,0.90388,0.8155,0.89833,0.74315,0.7339,0.50638,0.92467,0.000102507,0.000102507,0.000102507
30,30.5211,0.85215,0.68674,1.03523,0.89705,0.83282,0.90578,0.74296,0.72994,0.51033,0.92233,0.000101918,0.000101918,0.000101918
31,31.4783,0.81562,0.64971,1.0277,0.90739,0.84035,0.90744,0.7476,0.72731,0.50997,0.91991,0.000101329,0.000101329,0.000101329
32,32.4641,0.79338,0.64832,1.01012,0.91094,0.83286,0.91132,0.75477,0.72493,0.50595,0.91781,0.000100739,0.000100739,0.000100739
33,33.5044,0.80436,0.63511,1.00019,0.91322,0.83235,0.91114,0.75567,0.71898,0.50125,0.91434,0.00010015,0.00010015,0.00010015
34,34.4854,0.85806,0.68812,1.03621,0.91077,0.83509,0.91125,0.75843,0.71643,0.49296,0.91329,9.95614e-05,9.95614e-05,9.95614e-05
35,35.4728,0.80448,0.63749,0.99968,0.9194,0.83034,0.90977,0.76201,0.71097,0.48657,0.91109,9.89723e-05,9.89723e-05,9.89723e-05
36,36.451,0.79425,0.63064,1.01026,0.9195,0.85582,0.9141,0.76235,0.70473,0.48431,0.90953,9.83833e-05,9.83833e-05,9.83833e-05
37,37.43,0.7873,0.61396,1.00369,0.90961,0.87065,0.91772,0.76764,0.69718,0.48254,0.90716,9.77942e-05,9.77942e-05,9.77942e-05
38,38.4067,0.82227,0.65378,1.00678,0.9113,0.86935,0.91586,0.7702,0.69554,0.48211,0.90644,9.72051e-05,9.72051e-05,9.72051e-05
39,39.403,0.80574,0.61573,1.00072,0.90889,0.86207,0.91819,0.76578,0.69389,0.47946,0.90633,9.66161e-05,9.66161e-05,9.66161e-05
40,40.3601,0.80804,0.64716,1.02717,0.92094,0.84855,0.91797,0.76953,0.68833,0.4777,0.90552,9.6027e-05,9.6027e-05,9.6027e-05
41,41.3841,0.78427,0.63155,0.99093,0.93003,0.84449,0.91889,0.76825,0.68718,0.47703,0.90598,9.5438e-05,9.5438e-05,9.5438e-05
42,42.3413,0.77914,0.6089,0.99198,0.92508,0.84233,0.91898,0.77654,0.67857,0.47513,0.90364,9.4849e-05,9.4849e-05,9.4849e-05
43,43.3238,0.78117,0.61667,0.99882,0.92439,0.84817,0.91796,0.77889,0.66877,0.46737,0.89913,9.42599e-05,9.42599e-05,9.42599e-05
44,44.3109,0.76179,0.592,0.98066,0.89492,0.87619,0.91978,0.77883,0.66182,0.45752,0.89646,9.36709e-05,9.36709e-05,9.36709e-05
45,45.251,0.75195,0.58691,0.98473,0.85588,0.89056,0.91896,0.77903,0.65614,0.45131,0.89263,9.30818e-05,9.30818e-05,9.30818e-05
46,46.2381,0.74334,0.57045,0.96402,0.90997,0.85165,0.92191,0.77495,0.65341,0.44683,0.89041,9.24928e-05,9.24928e-05,9.24928e-05
47,47.1941,0.72794,0.57207,0.98643,0.91469,0.84917,0.92141,0.77044,0.65079,0.44622,0.8896,9.19037e-05,9.19037e-05,9.19037e-05
48,48.2109,0.75396,0.59641,0.97667,0.89884,0.86541,0.92408,0.77914,0.64841,0.4489,0.88881,9.13147e-05,9.13147e-05,9.13147e-05
49,49.201,0.72871,0.5636,0.97929,0.87706,0.89368,0.92514,0.77766,0.65096,0.44824,0.89019,9.07256e-05,9.07256e-05,9.07256e-05
50,50.1696,0.74907,0.59166,0.98047,0.88822,0.88653,0.92559,0.78004,0.64909,0.44291,0.88933,9.01366e-05,9.01366e-05,9.01366e-05
51,51.1914,0.75751,0.58602,0.9831,0.89178,0.88316,0.92584,0.78058,0.64938,0.44275,0.88845,8.95475e-05,8.95475e-05,8.95475e-05
52,52.173,0.74774,0.57814,0.98006,0.91873,0.86609,0.92214,0.78544,0.6484,0.44545,0.88801,8.89585e-05,8.89585e-05,8.89585e-05
53,53.1589,0.76748,0.59205,0.98875,0.91244,0.87088,0.92352,0.78552,0.64537,0.44618,0.88746,8.83694e-05,8.83694e-05,8.83694e-05
54,54.1475,0.74565,0.57143,0.97349,0.90644,0.8838,0.9287,0.7853,0.6412,0.4446,0.88622,8.77804e-05,8.77804e-05,8.77804e-05
55,55.1643,0.77098,0.57432,0.96416,0.92922,0.86898,0.93252,0.78917,0.63621,0.44321,0.88382,8.71913e-05,8.71913e-05,8.71913e-05
56,56.1446,0.73694,0.56371,0.97429,0.93095,0.87346,0.93382,0.79343,0.63194,0.43945,0.88178,8.66022e-05,8.66022e-05,8.66022e-05
57,57.1222,0.72735,0.57147,0.97465,0.92176,0.87967,0.93262,0.79461,0.62205,0.43499,0.87819,8.60132e-05,8.60132e-05,8.60132e-05
58,58.1049,0.75698,0.58977,0.97254,0.92629,0.87775,0.93455,0.79796,0.61332,0.42993,0.8746,8.54242e-05,8.54242e-05,8.54242e-05
59,59.076,0.71634,0.56587,0.96252,0.92085,0.87709,0.93385,0.7993,0.60986,0.42495,0.87255,8.48351e-05,8.48351e-05,8.48351e-05
60,60.0955,0.73694,0.56384,0.9792,0.90343,0.89222,0.93616,0.7977,0.61016,0.42335,0.87274,8.42461e-05,8.42461e-05,8.42461e-05
61,61.0451,0.72746,0.57072,0.97001,0.91784,0.89167,0.93689,0.79667,0.61188,0.42485,0.87277,8.3657e-05,8.3657e-05,8.3657e-05
62,61.9983,0.711,0.54695,0.95986,0.91582,0.89185,0.93577,0.80218,0.61346,0.42756,0.87301,8.3068e-05,8.3068e-05,8.3068e-05
63,63.0458,0.71725,0.57,0.97915,0.95122,0.86666,0.93445,0.80111,0.61122,0.42677,0.87321,8.24789e-05,8.24789e-05,8.24789e-05
64,64.0151,0.69319,0.53128,0.95654,0.95122,0.86313,0.93264,0.80167,0.61114,0.4279,0.87337,8.18899e-05,8.18899e-05,8.18899e-05
65,64.9891,0.67657,0.53196,0.95249,0.95286,0.86134,0.93447,0.80303,0.6064,0.41912,0.87163,8.13008e-05,8.13008e-05,8.13008e-05
66,65.984,0.72138,0.53981,0.95654,0.91448,0.88498,0.93502,0.8066,0.60597,0.41702,0.87204,8.07118e-05,8.07118e-05,8.07118e-05
67,66.971,0.70673,0.54255,0.95316,0.9139,0.89246,0.94018,0.80481,0.60269,0.41649,0.87063,8.01227e-05,8.01227e-05,8.01227e-05
68,67.9288,0.70593,0.54521,0.97178,0.91977,0.89007,0.93719,0.80455,0.59713,0.41486,0.86815,7.95337e-05,7.95337e-05,7.95337e-05
69,68.8786,0.71253,0.54193,0.97181,0.92617,0.88887,0.93831,0.80448,0.59252,0.41535,0.86711,7.89446e-05,7.89446e-05,7.89446e-05
70,69.881,0.69703,0.55666,0.97193,0.92898,0.89132,0.93638,0.80087,0.5929,0.41338,0.86833,7.83556e-05,7.83556e-05,7.83556e-05
