epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.18226,1.04569,1.10218,1.23557,0.62405,0.23514,0.30209,0.18821,1.61553,2.64806,1.53086,0.09307,7e-05,7e-05
2,11.8524,1.29657,1.65533,1.35974,0.53221,0.03561,0.03595,0.01821,2.69382,4.10776,2.49969,0.0851485,0.000148515,0.000148515
3,14.4568,1.33445,1.76497,1.39169,0.69417,0.06473,0.07038,0.04194,2.25809,3.65189,2.18413,0.0772254,0.000225446,0.000225446
4,17.126,1.33326,1.66257,1.36485,0.52592,0.13529,0.1466,0.09377,1.8353,3.36778,1.86457,0.0693008,0.000300793,0.000300793
5,19.8202,1.31982,1.61114,1.39327,0.5464,0.13358,0.1819,0.10361,1.86411,4.23121,2.0753,0.0613746,0.000374556,0.000374556
6,22.5155,1.30138,1.59312,1.36591,0.49345,0.17216,0.19453,0.11209,1.85658,4.12714,2.22796,0.0534467,0.000446735,0.000446735
7,25.1709,1.35898,1.62316,1.45084,0.42979,0.13207,0.14141,0.08758,1.85561,5.13173,2.35304,0.0455173,0.00051733,0.00051733
8,27.8955,1.37368,1.64063,1.43586,0.39079,0.18777,0.1726,0.10652,1.91966,4.56405,2.54036,0.0375863,0.000586341,0.000586341
9,30.5486,1.41692,1.7417,1.47819,0.48866,0.16199,0.19565,0.11595,1.94935,4.05843,2.36659,0.0296538,0.000653768,0.000653768
10,33.1692,1.327,1.63606,1.42354,0.39351,0.25498,0.23345,0.14618,1.78647,3.67024,2.23628,0.0217196,0.000719611,0.000719611
11,35.8177,1.31024,1.64254,1.42901,0.35466,0.1665,0.17089,0.09226,1.99117,3.31052,2.53741,0.0137839,0.00078387,0.00078387
12,38.4096,1.35291,1.61806,1.44983,0.50761,0.1504,0.15503,0.0874,1.94478,4.63351,2.34109,0.00584655,0.000846545,0.000846545
13,41.0291,1.31703,1.6049,1.4104,0.43311,0.14664,0.14289,0.08227,2.0147,3.53689,2.34568,0.0008812,0.0008812,0.0008812
14,43.7241,1.31403,1.57673,1.3987,0.49505,0.17741,0.18367,0.1034,1.92434,4.25627,2.23458,0.0008713,0.0008713,0.0008713
15,46.3942,1.33075,1.54557,1.39346,0.45949,0.24082,0.22808,0.12761,1.7388,3.85393,2.08377,0.0008614,0.0008614,0.0008614
16,49.0904,1.28568,1.52189,1.42576,0.56267,0.22421,0.23723,0.13306,1.7383,3.92193,2.17654,0.0008515,0.0008515,0.0008515
17,51.7332,1.30202,1.51925,1.42362,0.44321,0.29354,0.26942,0.16082,1.60806,3.04919,1.98477,0.0008416,0.0008416,0.0008416
18,54.3773,1.30085,1.52619,1.42398,0.49584,0.30041,0.30048,0.17625,1.57325,2.73164,1.88363,0.0008317,0.0008317,0.0008317
19,57.089,1.28688,1.4496,1.39593,0.46703,0.41086,0.3813,0.22307,1.55624,2.85926,1.78855,0.0008218,0.0008218,0.0008218
20,59.8178,1.24567,1.32141,1.37158,0.42067,0.44338,0.41644,0.25186,1.53797,2.85167,1.74482,0.0008119,0.0008119,0.0008119
21,62.5705,1.26342,1.37911,1.38639,0.53385,0.34717,0.419,0.24432,1.49378,2.8712,1.68455,0.000802,0.000802,0.000802
22,65.2531,1.19203,1.37807,1.33003,0.49568,0.46415,0.45872,0.28324,1.4716,2.67056,1.71129,0.0007921,0.0007921,0.0007921
