epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.59678,0.55427,0.42966,0.90474,0.95317,0.90565,0.95485,0.8621,0.43653,0.30495,0.81811,5.95e-06,5.95e-06,5.95e-06
2,2.62508,0.54188,0.41353,0.91462,0.95003,0.90736,0.95467,0.86006,0.43764,0.30567,0.81825,1.30036e-05,1.30036e-05,1.30036e-05
3,3.67779,0.57091,0.41783,0.90418,0.94673,0.9082,0.95444,0.85949,0.43971,0.30633,0.81876,1.9963e-05,1.9963e-05,1.9963e-05
4,4.72727,0.52577,0.40055,0.907,0.94543,0.90986,0.956,0.86122,0.44058,0.30675,0.81917,2.68281e-05,2.68281e-05,2.68281e-05
5,5.82078,0.55677,0.3985,0.90992,0.94483,0.90819,0.95699,0.85819,0.44769,0.31295,0.82039,3.35989e-05,3.35989e-05,3.35989e-05
6,6.91922,0.55988,0.40637,0.90733,0.95047,0.90443,0.95515,0.85724,0.44712,0.31361,0.8207,4.02756e-05,4.02756e-05,4.02756e-05
7,7.9578,0.54457,0.39088,0.90693,0.95106,0.90646,0.95476,0.85766,0.44594,0.31456,0.82098,4.68579e-05,4.68579e-05,4.68579e-05
8,8.99773,0.55248,0.41629,0.89593,0.95313,0.90706,0.95517,0.85867,0.44515,0.31433,0.8212,5.3346e-05,5.3346e-05,5.3346e-05
9,10.0319,0.55147,0.4018,0.90579,0.95541,0.90502,0.95481,0.85773,0.44831,0.31225,0.82235,5.97399e-05,5.97399e-05,5.97399e-05
10,11.0685,0.56505,0.40634,0.91579,0.95424,0.90258,0.95371,0.85462,0.44842,0.31004,0.82308,6.60395e-05,6.60395e-05,6.60395e-05
11,12.0964,0.57316,0.40334,0.9054,0.95667,0.89721,0.95421,0.8543,0.44624,0.31034,0.82284,7.22449e-05,7.22449e-05,7.22449e-05
12,13.1634,0.54761,0.41202,0.90887,0.95146,0.90194,0.95335,0.85508,0.45155,0.31588,0.82385,7.8356e-05,7.8356e-05,7.8356e-05
13,14.1929,0.53281,0.39406,0.88986,0.94765,0.90481,0.95453,0.85663,0.45146,0.31956,0.82338,8.43729e-05,8.43729e-05,8.43729e-05
14,15.2272,0.51897,0.39013,0.89064,0.95237,0.89929,0.95463,0.85593,0.45097,0.31827,0.82285,9.02955e-05,9.02955e-05,9.02955e-05
15,16.3074,0.54774,0.40205,0.91053,0.95876,0.8912,0.95562,0.85614,0.451,0.32328,0.82404,9.61239e-05,9.61239e-05,9.61239e-05
16,17.3343,0.52642,0.39533,0.89735,0.95662,0.89732,0.95662,0.85464,0.45354,0.32366,0.82583,0.000101858,0.000101858,0.000101858
17,18.3528,0.54763,0.41489,0.90532,0.9543,0.90321,0.95495,0.85314,0.4548,0.32536,0.82617,0.000106434,0.000106434,0.000106434
18,19.3829,0.56877,0.41315,0.91218,0.9539,0.90151,0.95516,0.85259,0.46144,0.32613,0.82674,0.000105648,0.000105648,0.000105648
19,20.4417,0.5753,0.42682,0.92495,0.95549,0.90011,0.95662,0.8538,0.46369,0.32605,0.82769,0.000104863,0.000104863,0.000104863
20,21.4704,0.54229,0.40281,0.91983,0.95334,0.90067,0.95744,0.85408,0.46235,0.3253,0.82708,0.000104077,0.000104077,0.000104077
21,22.4937,0.56431,0.40976,0.90267,0.95091,0.90276,0.95711,0.85058,0.46059,0.32684,0.82613,0.000103292,0.000103292,0.000103292
22,23.5146,0.54588,0.41562,0.90452,0.92689,0.91784,0.95505,0.85334,0.46057,0.32556,0.82565,0.000102507,0.000102507,0.000102507
23,24.5392,0.54572,0.40946,0.90467,0.8934,0.93083,0.95312,0.85295,0.45324,0.32669,0.82426,0.000101721,0.000101721,0.000101721
24,25.6241,0.54878,0.40573,0.91092,0.89457,0.92811,0.95454,0.85212,0.4514,0.32557,0.82445,0.000100936,0.000100936,0.000100936
25,26.6485,0.54929,0.40339,0.90966,0.91108,0.9184,0.9539,0.85588,0.44989,0.32767,0.82547,0.00010015,0.00010015,0.00010015
26,27.7125,0.54155,0.4085,0.90859,0.94906,0.89805,0.95293,0.8542,0.45337,0.32828,0.82654,9.9365e-05,9.9365e-05,9.9365e-05
27,28.7347,0.54185,0.40928,0.90326,0.952,0.89791,0.9521,0.85489,0.45577,0.3283,0.82645,9.85796e-05,9.85796e-05,9.85796e-05
28,29.7642,0.55953,0.41094,0.89806,0.95219,0.90557,0.95433,0.85631,0.45781,0.32809,0.82609,9.77942e-05,9.77942e-05,9.77942e-05
29,30.7838,0.54377,0.40741,0.90139,0.95283,0.91244,0.95496,0.85449,0.45699,0.32565,0.82602,9.70088e-05,9.70088e-05,9.70088e-05
30,31.81,0.53996,0.40724,0.90402,0.94818,0.91548,0.95555,0.85408,0.45161,0.31903,0.82443,9.62234e-05,9.62234e-05,9.62234e-05
31,32.8305,0.53295,0.40462,0.89001,0.94394,0.91473,0.95655,0.85455,0.44959,0.31618,0.82379,9.5438e-05,9.5438e-05,9.5438e-05
32,33.9105,0.54124,0.40279,0.90641,0.94814,0.91691,0.95807,0.85748,0.44741,0.31896,0.82319,9.46526e-05,9.46526e-05,9.46526e-05
33,34.9582,0.54096,0.39224,0.89216,0.94643,0.90834,0.95467,0.85436,0.44533,0.31816,0.82281,9.38672e-05,9.38672e-05,9.38672e-05
34,35.983,0.51123,0.38661,0.90433,0.95066,0.90598,0.95682,0.85879,0.44421,0.31794,0.82206,9.30818e-05,9.30818e-05,9.30818e-05
35,37.006,0.53304,0.40171,0.89648,0.94348,0.91159,0.95836,0.85537,0.44341,0.31972,0.82189,9.22964e-05,9.22964e-05,9.22964e-05
36,38.0342,0.52923,0.4057,0.91181,0.94714,0.91083,0.95909,0.85824,0.4417,0.31855,0.82104,9.1511e-05,9.1511e-05,9.1511e-05
