epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1386.37,1.22789,0.49954,0.19115,0.41548,0.21599,0.1096,0.06108,0.69433,0.73442,0.09506,0.0800223,1.99977e-05,1.99977e-05
2,2741.87,0.98396,0.55017,0.13567,0.52562,0.27713,0.28997,0.16325,0.65512,0.63016,0.08907,0.0600423,3.99934e-05,3.99934e-05
3,4087.95,0.89273,0.54134,0.11956,0.4993,0.33591,0.32665,0.16854,0.75151,0.54657,0.09898,0.0400623,5.99717e-05,5.99717e-05
4,5431.06,0.81592,0.52413,0.10517,0.54014,0.3824,0.39594,0.22021,0.6424,0.54572,0.08649,0.0200822,7.99196e-05,7.99196e-05
5,6769.29,0.74115,0.51759,0.094,0.55856,0.40582,0.42288,0.23525,0.63207,0.5278,0.08478,0.000102106,9.98241e-05,9.98241e-05
6,8107.24,0.69502,0.51075,0.08655,0.56988,0.42115,0.44418,0.24868,0.61927,0.52068,0.08273,9.97288e-05,9.97288e-05,9.97288e-05
7,9446.16,0.68307,0.50316,0.08409,0.5817,0.43709,0.45985,0.25789,0.61409,0.51447,0.08187,9.96097e-05,9.96097e-05,9.96097e-05
8,10785.2,0.67595,0.49751,0.08275,0.58981,0.4454,0.46888,0.26268,0.61148,0.50973,0.08134,9.9469e-05,9.9469e-05,9.9469e-05
9,12123.8,0.67073,0.49135,0.08141,0.59625,0.45241,0.4754,0.26622,0.6101,0.50616,0.08113,9.93068e-05,9.93068e-05,9.93068e-05
10,13461.3,0.6667,0.48791,0.08066,0.60286,0.45153,0.48008,0.26944,0.61048,0.50212,0.08113,9.91232e-05,9.91232e-05,9.91232e-05
11,14799.4,0.66386,0.4847,0.07984,0.60812,0.45707,0.48425,0.27223,0.61065,0.49905,0.08121,9.89183e-05,9.89183e-05,9.89183e-05
12,16138.1,0.66032,0.48276,0.07911,0.60473,0.46288,0.48786,0.2743,0.61069,0.49648,0.08111,9.86922e-05,9.86922e-05,9.86922e-05
13,17477.6,0.65779,0.48206,0.07845,0.61501,0.46273,0.49164,0.27663,0.61014,0.49439,0.08103,9.84449e-05,9.84449e-05,9.84449e-05
14,18817.5,0.65527,0.48148,0.07789,0.61283,0.46675,0.49494,0.27834,0.60976,0.49229,0.08097,9.81765e-05,9.81765e-05,9.81765e-05
15,20155.4,0.65199,0.48023,0.07757,0.61229,0.47068,0.49777,0.28009,0.60865,0.49106,0.08075,9.78873e-05,9.78873e-05,9.78873e-05
16,21493.8,0.65109,0.4792,0.07705,0.61898,0.47172,0.50137,0.28211,0.60745,0.48949,0.08049,9.75773e-05,9.75773e-05,9.75773e-05
17,22832.9,0.64901,0.47874,0.07652,0.61969,0.47482,0.5051,0.28397,0.60587,0.48837,0.08008,9.72466e-05,9.72466e-05,9.72466e-05
18,24172.6,0.64806,0.47842,0.07648,0.61811,0.47988,0.50864,0.28598,0.60487,0.48725,0.07986,9.68955e-05,9.68955e-05,9.68955e-05
19,25511.7,0.64641,0.47827,0.07584,0.6178,0.48317,0.51105,0.2871,0.60367,0.48636,0.07965,9.65239e-05,9.65239e-05,9.65239e-05
20,26850.5,0.64376,0.47702,0.07554,0.61813,0.48645,0.51313,0.28836,0.60259,0.48548,0.07939,9.61322e-05,9.61322e-05,9.61322e-05
21,28189.7,0.64374,0.47705,0.0756,0.62491,0.48774,0.5176,0.29071,0.60137,0.48482,0.07916,9.57205e-05,9.57205e-05,9.57205e-05
22,29527.9,0.64207,0.47667,0.07499,0.72189,0.49094,0.51897,0.29151,0.60004,0.48414,0.07885,9.52889e-05,9.52889e-05,9.52889e-05
23,30866.8,0.64079,0.476,0.07497,0.72558,0.4893,0.52121,0.29293,0.59843,0.48361,0.07858,9.48377e-05,9.48377e-05,9.48377e-05
24,32206.9,0.63961,0.47555,0.07472,0.72525,0.49278,0.5237,0.29422,0.59709,0.48296,0.07833,9.43671e-05,9.43671e-05,9.43671e-05
25,33546,0.6385,0.47544,0.07455,0.73199,0.49301,0.52616,0.29584,0.59619,0.4821,0.0781,9.38772e-05,9.38772e-05,9.38772e-05
26,34885.5,0.63808,0.47529,0.07438,0.7348,0.49502,0.52779,0.29652,0.59517,0.48142,0.07789,9.33683e-05,9.33683e-05,9.33683e-05
27,36225.1,0.6367,0.47466,0.07416,0.73434,0.49683,0.52993,0.29758,0.59411,0.48093,0.07771,9.28405e-05,9.28405e-05,9.28405e-05
28,37564.5,0.63506,0.47398,0.07401,0.73351,0.49975,0.53305,0.29911,0.59306,0.48046,0.07745,9.22942e-05,9.22942e-05,9.22942e-05
29,38903.6,0.63401,0.47413,0.07388,0.7371,0.49936,0.53367,0.29949,0.59194,0.47983,0.07724,9.17296e-05,9.17296e-05,9.17296e-05
30,40243,0.63459,0.47346,0.07381,0.73844,0.50051,0.53571,0.30056,0.59128,0.47925,0.07709,9.11469e-05,9.11469e-05,9.11469e-05
31,41589.3,0.63329,0.47366,0.07353,0.73976,0.502,0.53737,0.30135,0.59039,0.4789,0.07702,9.05463e-05,9.05463e-05,9.05463e-05
32,42931.3,0.63307,0.4733,0.07329,0.74308,0.5029,0.53938,0.30285,0.58955,0.47862,0.07685,8.99282e-05,8.99282e-05,8.99282e-05
33,44275.5,0.63153,0.47257,0.07309,0.74217,0.50712,0.54115,0.30407,0.58875,0.47827,0.07674,8.92928e-05,8.92928e-05,8.92928e-05
34,45621.5,0.632,0.47217,0.073,0.74424,0.50689,0.54329,0.30539,0.58809,0.47786,0.07662,8.86404e-05,8.86404e-05,8.86404e-05
35,46967,0.63042,0.47282,0.07314,0.74576,0.50956,0.54474,0.30676,0.58727,0.47777,0.07648,8.79713e-05,8.79713e-05,8.79713e-05
36,48312.6,0.62993,0.47198,0.0732,0.745,0.51143,0.5469,0.30775,0.58653,0.47746,0.07639,8.72857e-05,8.72857e-05,8.72857e-05
37,49657.5,0.62962,0.472,0.07267,0.74575,0.51211,0.54775,0.30843,0.58587,0.47732,0.07623,8.65839e-05,8.65839e-05,8.65839e-05
38,51003.1,0.62812,0.4714,0.07229,0.74213,0.51485,0.54939,0.30928,0.58547,0.47699,0.07616,8.58664e-05,8.58664e-05,8.58664e-05
39,52348,0.62756,0.47141,0.07237,0.74933,0.5137,0.55107,0.31026,0.58485,0.47689,0.07605,8.51333e-05,8.51333e-05,8.51333e-05
40,53692.8,0.6252,0.47096,0.07224,0.74746,0.51599,0.55273,0.31132,0.58444,0.47664,0.07596,8.43851e-05,8.43851e-05,8.43851e-05
41,55037,0.62665,0.47094,0.07214,0.74576,0.51775,0.55364,0.31201,0.58407,0.47625,0.0759,8.3622e-05,8.3622e-05,8.3622e-05
42,56380.1,0.62699,0.47109,0.07191,0.7472,0.51608,0.55474,0.31281,0.58354,0.47628,0.07575,8.28443e-05,8.28443e-05,8.28443e-05
43,57721.8,0.62438,0.4717,0.07221,0.74784,0.51783,0.55513,0.31332,0.58312,0.47622,0.07563,8.20525e-05,8.20525e-05,8.20525e-05
44,59063.1,0.62569,0.47082,0.07187,0.74694,0.51965,0.56328,0.31445,0.58281,0.47586,0.07554,8.12468e-05,8.12468e-05,8.12468e-05
45,60405.4,0.62466,0.47076,0.07162,0.74634,0.52141,0.56477,0.31959,0.58244,0.47565,0.07547,8.04277e-05,8.04277e-05,8.04277e-05
46,61746.6,0.62472,0.47024,0.0716,0.74788,0.52298,0.56567,0.32105,0.58214,0.47538,0.07544,7.95954e-05,7.95954e-05,7.95954e-05
