epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,557.843,0.74364,0.82735,0.21825,0.26245,0.33614,0.21307,0.11642,0.57054,0.87002,0.20289,0.0800278,1.99922e-05,1.99922e-05
2,1105.93,0.67219,0.74342,0.18056,0.34217,0.63561,0.39741,0.25906,0.39029,0.87334,0.10495,0.0600478,3.99824e-05,3.99824e-05
3,1652.6,0.65698,0.67191,0.16853,0.82662,0.85505,0.84421,0.56188,0.3963,0.48777,0.12241,0.0400678,5.99336e-05,5.99336e-05
4,2197.66,0.57881,0.50392,0.15109,0.86285,0.88759,0.88621,0.68383,0.27838,0.43842,0.08707,0.0200877,7.98164e-05,7.98164e-05
5,2736.41,0.41641,0.47449,0.118,0.87942,0.89492,0.90771,0.73167,0.25593,0.4093,0.07803,0.000107439,9.96019e-05,9.96019e-05
6,3267.18,0.36366,0.44864,0.10492,0.90827,0.92389,0.93208,0.76404,0.2437,0.38272,0.07627,9.93906e-05,9.93906e-05,9.93906e-05
7,3797.8,0.34112,0.4238,0.09738,0.92043,0.93461,0.95308,0.78617,0.23991,0.36577,0.07333,9.91232e-05,9.91232e-05,9.91232e-05
8,4327.9,0.33075,0.41134,0.09484,0.92315,0.92675,0.95085,0.78742,0.23635,0.36444,0.07229,9.88079e-05,9.88079e-05,9.88079e-05
9,4859.33,0.31686,0.39845,0.09045,0.92944,0.93645,0.9576,0.80099,0.23055,0.35311,0.07155,9.84449e-05,9.84449e-05,9.84449e-05
10,5391.49,0.30595,0.38963,0.08758,0.94029,0.94391,0.96607,0.81135,0.2296,0.35265,0.06952,9.80345e-05,9.80345e-05,9.80345e-05
11,5924.64,0.30011,0.38345,0.08544,0.94196,0.95094,0.96859,0.81418,0.22709,0.34961,0.07015,9.75773e-05,9.75773e-05,9.75773e-05
12,6458.54,0.29344,0.37842,0.08424,0.94795,0.94669,0.96926,0.82079,0.22105,0.34021,0.06791,9.70736e-05,9.70736e-05,9.70736e-05
13,6995.25,0.28822,0.37204,0.08224,0.95098,0.94996,0.96884,0.8236,0.2192,0.3384,0.06798,9.65239e-05,9.65239e-05,9.65239e-05
14,7529.49,0.28426,0.36784,0.08018,0.95048,0.9469,0.9689,0.82355,0.2177,0.33748,0.06741,9.59289e-05,9.59289e-05,9.59289e-05
15,8060.29,0.2803,0.36499,0.07919,0.95095,0.95218,0.97008,0.82797,0.21825,0.33362,0.06758,9.52889e-05,9.52889e-05,9.52889e-05
16,8589.49,0.27875,0.36155,0.07889,0.95072,0.9589,0.97387,0.83273,0.21587,0.3318,0.06593,9.46048e-05,9.46048e-05,9.46048e-05
17,9129.11,0.27312,0.35847,0.07769,0.9605,0.95439,0.97579,0.83767,0.21415,0.32814,0.06646,9.38772e-05,9.38772e-05,9.38772e-05
18,9667.44,0.27219,0.35633,0.07703,0.95458,0.95798,0.97542,0.83573,0.21258,0.32594,0.06564,9.31067e-05,9.31067e-05,9.31067e-05
19,10195.6,0.26847,0.35273,0.07551,0.95729,0.957,0.97584,0.84014,0.21187,0.32629,0.06529,9.22942e-05,9.22942e-05,9.22942e-05
20,10722.5,0.26689,0.35045,0.07501,0.95817,0.95557,0.97702,0.84165,0.21145,0.32459,0.06626,9.14405e-05,9.14405e-05,9.14405e-05
21,11250.2,0.26459,0.34817,0.07418,0.95753,0.95836,0.97725,0.84041,0.21188,0.32493,0.06612,9.05463e-05,9.05463e-05,9.05463e-05
22,11775.2,0.26496,0.3459,0.07383,0.95726,0.96155,0.97635,0.84086,0.2105,0.32262,0.06504,8.96127e-05,8.96127e-05,8.96127e-05
23,12305.7,0.26111,0.34347,0.0732,0.96134,0.95809,0.97731,0.84475,0.20871,0.32053,0.0643,8.86404e-05,8.86404e-05,8.86404e-05
24,12840.9,0.25782,0.34034,0.07212,0.95931,0.9577,0.97743,0.84668,0.2079,0.31911,0.06396,8.76305e-05,8.76305e-05,8.76305e-05
25,13379.3,0.25664,0.34058,0.07123,0.95866,0.96126,0.97677,0.84854,0.20721,0.31831,0.06338,8.65839e-05,8.65839e-05,8.65839e-05
26,13922,0.25513,0.33831,0.07129,0.95994,0.96265,0.97889,0.8491,0.2074,0.31827,0.06376,8.55018e-05,8.55018e-05,8.55018e-05
27,14457.9,0.25447,0.33624,0.07036,0.96024,0.96177,0.97766,0.84852,0.20572,0.31746,0.06318,8.43851e-05,8.43851e-05,8.43851e-05
28,14989.4,0.25184,0.33436,0.06985,0.95769,0.96455,0.97891,0.85028,0.20527,0.31691,0.06275,8.32349e-05,8.32349e-05,8.32349e-05
29,15523.7,0.24931,0.33262,0.06943,0.96125,0.95904,0.97808,0.85058,0.20492,0.31712,0.06287,8.20525e-05,8.20525e-05,8.20525e-05
30,16053.8,0.24827,0.33121,0.06844,0.96379,0.95806,0.9776,0.85127,0.2044,0.31636,0.06314,8.08389e-05,8.08389e-05,8.08389e-05
31,16583.9,0.24754,0.33153,0.0695,0.96288,0.95947,0.97808,0.85112,0.20438,0.31604,0.06313,7.95954e-05,7.95954e-05,7.95954e-05
32,17116.8,0.24521,0.3283,0.06835,0.96365,0.96312,0.97952,0.8531,0.20354,0.31521,0.06284,7.83231e-05,7.83231e-05,7.83231e-05
