epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,545.259,0.75556,0.75902,0.22934,0.75282,0.54689,0.55994,0.29258,0.56432,0.61964,0.21348,0.0670194,0.000333137,0.000333137
2,1084.13,0.61604,0.66471,0.17231,0.6864,0.47028,0.51426,0.32105,0.45342,0.78078,0.16805,0.0340192,0.000666308,0.000666308
3,1621.44,0.51523,0.55028,0.14998,0.68128,0.73729,0.69986,0.50228,0.3224,0.52548,0.1087,0.00101842,0.000998827,0.000998827
4,2158.41,0.43203,0.51466,0.12752,0.87341,0.87476,0.89138,0.69893,0.27772,0.42951,0.08747,0.000997803,0.000997803,0.000997803
5,2695.2,0.39133,0.48684,0.11368,0.88237,0.87074,0.90622,0.72241,0.26312,0.41305,0.08285,0.000996097,0.000996097,0.000996097
6,3232.25,0.36805,0.45964,0.10589,0.8522,0.9006,0.90391,0.72473,0.25316,0.41155,0.079,0.000993906,0.000993906,0.000993906
7,3769.33,0.36067,0.462,0.1032,0.86669,0.9075,0.92038,0.73221,0.26104,0.41404,0.08354,0.000991232,0.000991232,0.000991232
8,4306.14,0.35,0.45007,0.10051,0.89272,0.89467,0.93218,0.75734,0.2502,0.39792,0.07648,0.000988079,0.000988079,0.000988079
9,4842.87,0.34072,0.4372,0.09683,0.87429,0.90785,0.92265,0.75031,0.2471,0.39099,0.0762,0.000984449,0.000984449,0.000984449
10,5379.58,0.33718,0.44667,0.09664,0.87678,0.91696,0.92117,0.74921,0.24387,0.38894,0.07481,0.000980345,0.000980345,0.000980345
11,5916.39,0.3199,0.42292,0.09105,0.90697,0.9282,0.94222,0.78637,0.23063,0.36956,0.07114,0.000975773,0.000975773,0.000975773
12,6453.97,0.3163,0.42206,0.09015,0.91658,0.9232,0.95434,0.80432,0.22958,0.36698,0.07018,0.000970736,0.000970736,0.000970736
13,6992.08,0.31805,0.43205,0.09144,0.91375,0.90571,0.94038,0.78477,0.2382,0.38924,0.0751,0.000965239,0.000965239,0.000965239
14,7529.55,0.31604,0.43323,0.09054,0.90182,0.9167,0.95018,0.80629,0.22828,0.38108,0.07112,0.000959289,0.000959289,0.000959289
15,8066.65,0.30904,0.42213,0.08792,0.90742,0.93844,0.9516,0.80264,0.2278,0.37969,0.07161,0.000952889,0.000952889,0.000952889
16,8602.57,nan,nan,nan,nan,0.94927,0.92941,0.7621,nan,nan,nan,0.000946048,0.000946048,0.000946048
17,9138.22,nan,nan,nan,nan,0.94894,0.92976,0.76184,nan,nan,nan,0.000938772,0.000938772,0.000938772
18,9673.66,nan,nan,nan,nan,0.94812,0.92896,0.76203,nan,nan,nan,0.000931067,0.000931067,0.000931067
19,10208.8,nan,nan,nan,nan,0.94884,0.92891,0.76149,nan,nan,nan,0.000922942,0.000922942,0.000922942
20,10744.4,nan,nan,nan,nan,0.94849,0.92834,0.761,nan,nan,nan,0.000914405,0.000914405,0.000914405
21,11279.8,nan,nan,nan,nan,0.94956,0.92941,0.76167,nan,nan,nan,0.000905463,0.000905463,0.000905463
22,11815.3,nan,nan,nan,nan,0.94921,0.92876,0.7617,nan,nan,nan,0.000896127,0.000896127,0.000896127
23,12350.8,nan,nan,nan,nan,0.94886,0.92848,0.7609,nan,nan,nan,0.000886404,0.000886404,0.000886404
24,12886.1,nan,nan,nan,nan,0.94983,0.93054,0.76241,nan,nan,nan,0.000876305,0.000876305,0.000876305
25,13421.4,nan,nan,nan,nan,0.94962,0.92937,0.76155,nan,nan,nan,0.000865839,0.000865839,0.000865839
26,13956.7,nan,nan,nan,nan,0.94907,0.92945,0.7618,nan,nan,nan,0.000855018,0.000855018,0.000855018
27,14492.2,nan,nan,nan,nan,0.94905,0.92941,0.76206,nan,nan,nan,0.000843851,0.000843851,0.000843851
28,15027.6,nan,nan,nan,nan,0.94886,0.92922,0.76188,nan,nan,nan,0.000832349,0.000832349,0.000832349
29,15562.9,nan,nan,nan,nan,0.94941,0.92942,0.76193,nan,nan,nan,0.000820525,0.000820525,0.000820525
30,16098.1,nan,nan,nan,nan,0.94964,0.92995,0.76173,nan,nan,nan,0.000808389,0.000808389,0.000808389
31,16633.4,nan,nan,nan,nan,0.94903,0.92952,0.76209,nan,nan,nan,0.000795954,0.000795954,0.000795954
32,17168.8,nan,nan,nan,nan,0.94888,0.92947,0.76194,nan,nan,nan,0.000783231,0.000783231,0.000783231
33,17704.4,nan,nan,nan,nan,0.94903,0.92934,0.76189,nan,nan,nan,0.000770234,0.000770234,0.000770234
34,18240,nan,nan,nan,nan,0.9494,0.92923,0.76195,nan,nan,nan,0.000756976,0.000756976,0.000756976
35,18775.3,nan,nan,nan,nan,0.94903,0.92947,0.76229,nan,nan,nan,0.000743468,0.000743468,0.000743468
36,19310.8,nan,nan,nan,nan,0.9494,0.9299,0.76252,nan,nan,nan,0.000729725,0.000729725,0.000729725
37,19845.9,nan,nan,nan,nan,0.95003,0.93047,0.76253,nan,nan,nan,0.000715761,0.000715761,0.000715761
38,20381.1,nan,nan,nan,nan,0.94939,0.92953,0.76211,nan,nan,nan,0.000701588,0.000701588,0.000701588
39,20916.1,nan,nan,nan,nan,0.94921,0.92982,0.76217,nan,nan,nan,0.000687222,0.000687222,0.000687222
