epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1910.64,1.1965,0.51131,0.19751,0.21692,0.15594,0.08568,0.03373,1.02058,0.65951,0.19305,0.0800223,1.99977e-05,1.99977e-05
2,3772.03,0.94989,0.57893,0.13382,0.32356,0.37619,0.2274,0.13007,0.62512,0.66499,0.08467,0.0600423,3.99934e-05,3.99934e-05
3,5621.06,0.87025,0.56193,0.12202,0.53151,0.36386,0.37968,0.20684,0.64134,0.56779,0.08601,0.0400623,5.99717e-05,5.99717e-05
4,7464.48,0.75685,0.53016,0.10088,0.52442,0.44739,0.4366,0.24332,0.62227,0.52882,0.08132,0.0200822,7.99196e-05,7.99196e-05
5,9302.06,0.68702,0.52261,0.09138,0.57033,0.46593,0.47192,0.26428,0.60315,0.51816,0.07936,0.00010211,9.98241e-05,9.98241e-05
6,11138.7,0.63582,0.512,0.08338,0.59358,0.47637,0.49792,0.2801,0.59475,0.50819,0.07762,9.97288e-05,9.97288e-05,9.97288e-05
7,12975.1,0.62191,0.50036,0.08026,0.60302,0.48173,0.50991,0.28778,0.59046,0.49839,0.07718,9.96097e-05,9.96097e-05,9.96097e-05
8,14811.7,0.61344,0.4933,0.07884,0.60052,0.49799,0.52135,0.29364,0.58767,0.49459,0.07677,9.9469e-05,9.9469e-05,9.9469e-05
9,16647.8,0.60886,0.48729,0.07803,0.60523,0.50096,0.5266,0.29587,0.58588,0.49221,0.0761,9.93068e-05,9.93068e-05,9.93068e-05
10,18484.3,0.60517,0.48157,0.07676,0.61145,0.50429,0.53003,0.29745,0.58457,0.48995,0.07601,9.91232e-05,9.91232e-05,9.91232e-05
11,20320.1,0.60201,0.48001,0.07638,0.61855,0.50509,0.53468,0.30086,0.58272,0.48866,0.07578,9.89183e-05,9.89183e-05,9.89183e-05
12,22156.8,0.598,0.47779,0.07541,0.62174,0.50732,0.53813,0.30297,0.58148,0.48742,0.07578,9.86922e-05,9.86922e-05,9.86922e-05
13,23993.1,0.59611,0.47532,0.0749,0.62073,0.51042,0.54108,0.30501,0.58043,0.48683,0.07563,9.84449e-05,9.84449e-05,9.84449e-05
14,25829.8,0.59508,0.47486,0.07473,0.62075,0.51667,0.54413,0.30748,0.57972,0.4855,0.07557,9.81765e-05,9.81765e-05,9.81765e-05
15,27666.1,0.59254,0.47268,0.07451,0.63155,0.51625,0.54654,0.30934,0.57901,0.48375,0.07537,9.78873e-05,9.78873e-05,9.78873e-05
16,29502.3,0.59143,0.47292,0.07418,0.6254,0.52225,0.54923,0.3111,0.57824,0.48205,0.07531,9.75773e-05,9.75773e-05,9.75773e-05
