epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,47.886,1.67707,0.29924,0.40839,0.02787,0.00439,0.01493,0.00365,1.84677,0.24341,0.4917,0.0876353,3.71053e-06,3.71053e-06
2,93.4568,1.13685,0.49845,0.16575,0.07346,0.09273,0.04791,0.01151,1.66588,0.31741,0.36096,0.0751389,7.36736e-06,7.36736e-06
3,139.083,0.93723,0.58089,0.1195,0.20233,0.28925,0.14391,0.04983,1.34694,0.46227,0.21907,0.0626425,1.09305e-05,1.09305e-05
4,184.772,1.16258,0.43366,0.16049,0.38356,0.44255,0.34097,0.16029,0.73928,0.62602,0.09932,0.050146,1.44001e-05,1.44001e-05
5,230.256,0.95016,0.54522,0.11744,0.33018,0.31467,0.23738,0.10234,1.04669,0.46174,0.11973,0.0376494,1.77759e-05,1.77759e-05
6,275.688,0.77619,0.57921,0.0939,0.32766,0.3203,0.26546,0.1207,0.99616,0.47334,0.11375,0.0251526,2.10581e-05,2.10581e-05
7,321.22,0.73003,0.58173,0.08837,0.36872,0.48075,0.3739,0.22569,0.54751,0.64759,0.07505,0.0126558,2.42467e-05,2.42467e-05
8,366.827,0.58566,0.61933,0.07695,0.40371,0.49139,0.40281,0.2506,0.53632,0.63142,0.07206,0.000158921,2.73416e-05,2.73416e-05
9,412.207,0.54735,0.62645,0.07351,0.41191,0.5057,0.42022,0.262,0.53065,0.62269,0.07149,2.7003e-05,2.7003e-05,2.7003e-05
10,457.565,0.54678,0.61437,0.07337,0.44793,0.54128,0.47195,0.29063,0.53349,0.59853,0.07011,2.66284e-05,2.66284e-05,2.66284e-05
11,502.869,0.54622,0.59011,0.07218,0.53049,0.55496,0.54509,0.3258,0.54078,0.56421,0.07018,2.62538e-05,2.62538e-05,2.62538e-05
12,548.282,0.55818,0.54835,0.0746,0.66919,0.57662,0.6129,0.35492,0.54932,0.5235,0.07175,2.58791e-05,2.58791e-05,2.58791e-05
13,593.592,0.55815,0.52293,0.07376,0.66251,0.60708,0.63049,0.36604,0.55356,0.50698,0.07256,2.55045e-05,2.55045e-05,2.55045e-05
14,638.902,0.56291,0.50866,0.074,0.69985,0.61114,0.6431,0.367,0.55467,0.49919,0.0732,2.51299e-05,2.51299e-05,2.51299e-05
15,684.278,0.56918,0.504,0.07497,0.69912,0.60879,0.64379,0.36966,0.55518,0.49523,0.07256,2.47552e-05,2.47552e-05,2.47552e-05
16,729.54,0.5632,0.4967,0.0737,0.73164,0.60155,0.65082,0.37267,0.55662,0.49246,0.07335,2.43806e-05,2.43806e-05,2.43806e-05
17,774.972,0.56398,0.49461,0.07358,0.71616,0.60845,0.65089,0.37277,0.55924,0.48616,0.07295,2.4006e-05,2.4006e-05,2.4006e-05
18,820.25,0.56237,0.49279,0.07382,0.71019,0.61804,0.65674,0.37724,0.55756,0.48642,0.07246,2.36314e-05,2.36314e-05,2.36314e-05
19,865.651,0.56229,0.49205,0.0743,0.7296,0.62462,0.66937,0.38295,0.55858,0.483,0.07235,2.32568e-05,2.32568e-05,2.32568e-05
20,910.919,0.56461,0.49064,0.07429,0.7097,0.62647,0.66564,0.38302,0.55645,0.4843,0.07233,2.28821e-05,2.28821e-05,2.28821e-05
21,956.174,0.56356,0.48717,0.07338,0.73381,0.61946,0.66717,0.38283,0.55752,0.48145,0.07269,2.25075e-05,2.25075e-05,2.25075e-05
22,1001.46,0.56611,0.48951,0.07436,0.72488,0.62334,0.66776,0.38248,0.5563,0.48107,0.072,2.21329e-05,2.21329e-05,2.21329e-05
23,1046.7,0.56181,0.48617,0.07323,0.7238,0.63487,0.67091,0.38218,0.55829,0.47963,0.07304,2.17583e-05,2.17583e-05,2.17583e-05
24,1091.94,0.56031,0.48656,0.07316,0.74655,0.62627,0.67446,0.38813,0.55635,0.47854,0.07231,2.13836e-05,2.13836e-05,2.13836e-05
25,1137.28,0.56235,0.48691,0.07426,0.73087,0.62646,0.66778,0.38564,0.55783,0.47817,0.07218,2.1009e-05,2.1009e-05,2.1009e-05
26,1182.52,0.56576,0.48535,0.07404,0.74056,0.63695,0.67408,0.38997,0.5573,0.4767,0.07208,2.06344e-05,2.06344e-05,2.06344e-05
27,1227.81,0.56389,0.4817,0.07475,0.74303,0.63285,0.67141,0.3855,0.5553,0.47764,0.072,2.02598e-05,2.02598e-05,2.02598e-05
28,1273,0.56238,0.48556,0.07417,0.73819,0.62688,0.67076,0.38792,0.55594,0.47719,0.0718,1.98851e-05,1.98851e-05,1.98851e-05
29,1318.22,0.56182,0.48799,0.07477,0.73361,0.62636,0.6679,0.38583,0.55362,0.47995,0.07168,1.95105e-05,1.95105e-05,1.95105e-05
30,1363.39,0.55845,0.48821,0.07401,0.74712,0.62206,0.67098,0.38889,0.55545,0.47572,0.07155,1.91359e-05,1.91359e-05,1.91359e-05
31,1408.59,0.55906,0.48435,0.07414,0.74742,0.62942,0.67431,0.38763,0.55436,0.47793,0.0717,1.87612e-05,1.87612e-05,1.87612e-05
32,1453.79,0.56223,0.48588,0.07277,0.73847,0.62726,0.6716,0.38806,0.5555,0.47693,0.0715,1.83866e-05,1.83866e-05,1.83866e-05
33,1499,0.56162,0.48537,0.07438,0.73499,0.63236,0.67388,0.38754,0.5567,0.47665,0.07189,1.8012e-05,1.8012e-05,1.8012e-05
34,1544.19,0.55707,0.4817,0.07404,0.75671,0.62131,0.67417,0.39094,0.55776,0.47353,0.07242,1.76374e-05,1.76374e-05,1.76374e-05
35,1589.5,0.56252,0.48434,0.07437,0.75477,0.62818,0.67635,0.39156,0.55526,0.47578,0.07174,1.72628e-05,1.72628e-05,1.72628e-05
36,1634.71,0.56491,0.48375,0.07354,0.76128,0.62616,0.67696,0.38941,0.55738,0.4738,0.07209,1.68881e-05,1.68881e-05,1.68881e-05
37,1679.86,0.56053,0.48332,0.07392,0.74381,0.63272,0.67828,0.38988,0.55613,0.4735,0.07214,1.65135e-05,1.65135e-05,1.65135e-05
