epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,939.978,1.35375,0.90344,1.04728,0.69862,0.43218,0.48455,0.26942,1.32164,0.7904,1.01492,0.0800223,1.99977e-05,1.99977e-05
2,1864.71,1.30973,0.81467,1.03104,0.71808,0.46441,0.52056,0.29882,1.27388,0.72539,1.00829,0.0600423,3.99934e-05,3.99934e-05
3,2836.79,1.29661,0.79052,1.02588,0.72559,0.47908,0.53499,0.30705,1.26317,0.70677,1.00295,0.0400623,5.99717e-05,5.99717e-05
4,3877.9,1.28321,0.771,1.02172,0.73317,0.48579,0.54468,0.31462,1.25535,0.69322,0.99925,0.0200822,7.99196e-05,7.99196e-05
5,4752.53,1.27541,0.75761,1.01766,0.73363,0.49482,0.55769,0.32593,1.25142,0.68318,0.99544,0.00010211,9.98241e-05,9.98241e-05
6,5578.19,1.27064,0.74619,1.01447,0.74027,0.49491,0.56144,0.32774,1.2479,0.67777,0.99355,9.97288e-05,9.97288e-05,9.97288e-05
7,6404.63,1.26355,0.73818,1.00998,0.73838,0.50268,0.56154,0.3276,1.24534,0.67342,0.99191,9.96097e-05,9.96097e-05,9.96097e-05
8,7228.99,1.25766,0.73027,1.00754,0.73751,0.50413,0.56443,0.32917,1.24437,0.67053,0.9915,9.9469e-05,9.9469e-05,9.9469e-05
9,8053.9,1.25475,0.72499,1.00636,0.74011,0.50485,0.56382,0.32824,1.24284,0.66838,0.99063,9.93068e-05,9.93068e-05,9.93068e-05
10,8878.23,1.25021,0.71999,1.00539,0.73713,0.50707,0.56524,0.32982,1.24171,0.66669,0.99039,9.91232e-05,9.91232e-05,9.91232e-05
11,9702.98,1.24826,0.71537,1.00234,0.73937,0.50824,0.56736,0.33105,1.24084,0.66547,0.98976,9.89183e-05,9.89183e-05,9.89183e-05
12,10527.3,1.24507,0.71104,1.00233,0.74394,0.50498,0.57133,0.33359,1.23977,0.66453,0.98933,9.86922e-05,9.86922e-05,9.86922e-05
13,11351.2,1.24157,0.70695,0.99876,0.74147,0.50735,0.57019,0.33178,1.23928,0.66388,0.98899,9.84449e-05,9.84449e-05,9.84449e-05
14,12198.5,1.24105,0.70525,0.99774,0.74264,0.50991,0.57231,0.33331,1.23848,0.66346,0.98851,9.81765e-05,9.81765e-05,9.81765e-05
15,13072.2,1.2387,0.70037,0.99916,0.73946,0.51283,0.57385,0.33437,1.23801,0.66316,0.98838,9.78873e-05,9.78873e-05,9.78873e-05
16,13941.9,1.23708,0.69921,0.99865,0.74111,0.5133,0.57291,0.33337,1.23734,0.66316,0.9882,9.75773e-05,9.75773e-05,9.75773e-05
