epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,938.796,1.267,1.79773,1.05084,0.69236,0.43927,0.48747,0.27364,1.22951,1.57333,1.01653,0.0800223,1.99977e-05,1.99977e-05
2,1821.74,1.22749,1.62632,1.03337,0.72293,0.46971,0.52596,0.29983,1.19328,1.44737,1.00861,0.0600423,3.99934e-05,3.99934e-05
3,2688.77,1.21461,1.5753,1.03022,0.72716,0.48282,0.53539,0.30749,1.18382,1.40691,1.0036,0.0400623,5.99717e-05,5.99717e-05
4,3546.66,1.2064,1.54436,1.02488,0.7339,0.49106,0.54657,0.31428,1.17722,1.38549,1.00109,0.0200822,7.99196e-05,7.99196e-05
5,4397.57,1.19848,1.51568,1.02248,0.74023,0.49063,0.55241,0.31861,1.17367,1.36502,0.99899,0.000102106,9.98241e-05,9.98241e-05
6,5241.77,1.1928,1.49319,1.01788,0.73721,0.49773,0.55812,0.323,1.17016,1.3537,0.99633,9.97288e-05,9.97288e-05,9.97288e-05
7,6084.79,1.18663,1.47594,1.01573,0.74525,0.50051,0.55959,0.32414,1.16794,1.34511,0.99568,9.96097e-05,9.96097e-05,9.96097e-05
8,6927.92,1.18288,1.46114,1.01107,0.74465,0.50192,0.56252,0.32558,1.16643,1.33907,0.99381,9.9469e-05,9.9469e-05,9.9469e-05
9,7772.83,1.17945,1.45024,1.0114,0.74389,0.50554,0.56405,0.32675,1.16488,1.33498,0.99333,9.93068e-05,9.93068e-05,9.93068e-05
10,8617.29,1.17726,1.44511,1.00836,0.74376,0.50513,0.5651,0.32821,1.16375,1.33184,0.99257,9.91232e-05,9.91232e-05,9.91232e-05
11,9461.72,1.17384,1.43508,1.00892,0.74564,0.50691,0.56708,0.32957,1.16287,1.32985,0.99219,9.89183e-05,9.89183e-05,9.89183e-05
12,10306.3,1.17216,1.42521,1.0052,0.74723,0.50599,0.5671,0.33025,1.16202,1.32824,0.99146,9.86922e-05,9.86922e-05,9.86922e-05
13,11151.7,1.16876,1.4167,1.00228,0.7471,0.50767,0.56737,0.33043,1.16113,1.32698,0.99057,9.84449e-05,9.84449e-05,9.84449e-05
14,11996.7,1.16698,1.40875,1.00249,0.75216,0.50445,0.56846,0.33152,1.16047,1.32684,0.99012,9.81765e-05,9.81765e-05,9.81765e-05
15,12842.1,1.16593,1.40449,1.00274,0.75661,0.50353,0.56893,0.33184,1.15994,1.32672,0.98979,9.78873e-05,9.78873e-05,9.78873e-05
16,13686.6,1.16416,1.39977,0.99847,0.75683,0.50539,0.57013,0.33258,1.15921,1.32707,0.9891,9.75773e-05,9.75773e-05,9.75773e-05
17,14532.1,1.16126,1.39368,0.99661,0.75621,0.50652,0.57052,0.33323,1.15857,1.32754,0.9882,9.72466e-05,9.72466e-05,9.72466e-05
18,15375.4,1.16071,1.39111,0.99983,0.75664,0.50745,0.57146,0.33389,1.15795,1.32818,0.98796,9.68955e-05,9.68955e-05,9.68955e-05
19,16221.5,1.15927,1.38456,0.99675,0.75702,0.50885,0.57279,0.33447,1.15746,1.32818,0.98761,9.65239e-05,9.65239e-05,9.65239e-05
20,17065.5,1.15818,1.37941,0.998,0.75191,0.51272,0.57329,0.33484,1.15708,1.32919,0.98732,9.61322e-05,9.61322e-05,9.61322e-05
21,17909.7,1.15655,1.37377,0.9961,0.74886,0.51455,0.57383,0.33527,1.15646,1.32848,0.98687,9.57205e-05,9.57205e-05,9.57205e-05
22,18754.7,1.15671,1.37246,0.99593,0.74994,0.51416,0.57497,0.33569,1.15599,1.32794,0.98656,9.52889e-05,9.52889e-05,9.52889e-05
23,19601.8,1.15472,1.36902,0.99343,0.74994,0.51542,0.57569,0.33654,1.15565,1.32682,0.98603,9.48377e-05,9.48377e-05,9.48377e-05
24,20447.1,1.15391,1.36491,0.99138,0.74743,0.51691,0.57667,0.33721,1.15509,1.32601,0.98501,9.43671e-05,9.43671e-05,9.43671e-05
25,21291.8,1.15228,1.35933,0.99142,0.74881,0.51679,0.57728,0.33811,1.15489,1.32495,0.98423,9.38772e-05,9.38772e-05,9.38772e-05
26,22134.8,1.15241,1.35611,0.99033,0.75208,0.51457,0.57957,0.33947,1.15467,1.32377,0.98336,9.33683e-05,9.33683e-05,9.33683e-05
27,22973.2,1.14934,1.35299,0.98962,0.75247,0.51497,0.58037,0.34005,1.15435,1.32217,0.98267,9.28405e-05,9.28405e-05,9.28405e-05
28,23815.8,1.14917,1.34879,0.99247,0.75122,0.51607,0.58444,0.34325,1.15383,1.32031,0.98257,9.22942e-05,9.22942e-05,9.22942e-05
29,24655.4,1.14775,1.34567,0.99245,0.74977,0.51649,0.58512,0.34413,1.15357,1.31888,0.98263,9.17296e-05,9.17296e-05,9.17296e-05
30,25495.4,1.14919,1.34398,0.99091,0.75099,0.51657,0.58594,0.34468,1.15337,1.31705,0.98258,9.11469e-05,9.11469e-05,9.11469e-05
31,26336.6,1.14637,1.33851,0.99005,0.74779,0.51901,0.58674,0.34508,1.15316,1.31468,0.98244,9.05463e-05,9.05463e-05,9.05463e-05
32,27180.2,1.14559,1.33441,0.98933,0.74679,0.51954,0.58739,0.34501,1.15279,1.31296,0.98214,8.99282e-05,8.99282e-05,8.99282e-05
33,28021.3,1.14405,1.33098,0.98825,0.7484,0.51914,0.58716,0.34481,1.15264,1.3109,0.98198,8.92928e-05,8.92928e-05,8.92928e-05
34,28862.2,1.14483,1.33128,0.9901,0.74644,0.51989,0.58709,0.34476,1.15259,1.30869,0.98196,8.86404e-05,8.86404e-05,8.86404e-05
35,29702.9,1.14536,1.32814,0.98879,0.74481,0.52218,0.58754,0.34474,1.15241,1.30647,0.98175,8.79713e-05,8.79713e-05,8.79713e-05
36,30541.3,1.14345,1.32559,0.98695,0.74926,0.52026,0.58836,0.34488,1.15204,1.30458,0.98137,8.72857e-05,8.72857e-05,8.72857e-05
37,31383.9,1.14305,1.32183,0.98518,0.74692,0.52327,0.58885,0.34499,1.15206,1.30262,0.98089,8.65839e-05,8.65839e-05,8.65839e-05
38,32224.2,1.1405,1.31543,0.98573,0.74522,0.52344,0.58486,0.34247,1.15219,1.30114,0.98076,8.58664e-05,8.58664e-05,8.58664e-05
39,33067.4,1.14044,1.31375,0.98466,0.74653,0.52379,0.58462,0.34217,1.15223,1.29953,0.98032,8.51333e-05,8.51333e-05,8.51333e-05
40,33908.5,1.13882,1.31009,0.98315,0.72001,0.54101,0.58478,0.34218,1.15224,1.29854,0.97983,8.43851e-05,8.43851e-05,8.43851e-05
41,34748.4,1.13954,1.31174,0.98607,0.62984,0.54132,0.58496,0.34221,1.15227,1.29718,0.9797,8.3622e-05,8.3622e-05,8.3622e-05
42,35588.5,1.13843,1.30808,0.98327,0.72367,0.53976,0.58536,0.34227,1.1523,1.29632,0.97945,8.28443e-05,8.28443e-05,8.28443e-05
43,36426.4,1.13825,1.3067,0.98491,0.72705,0.53819,0.58509,0.34232,1.15234,1.29526,0.97925,8.20525e-05,8.20525e-05,8.20525e-05
44,37267.3,1.13746,1.30378,0.984,0.66281,0.54271,0.5854,0.34212,1.15227,1.29407,0.97925,8.12468e-05,8.12468e-05,8.12468e-05
45,38110.5,1.1359,1.30142,0.98216,0.67689,0.5433,0.58855,0.34468,1.15243,1.29352,0.97907,8.04277e-05,8.04277e-05,8.04277e-05
46,38952.9,1.13596,1.29856,0.98238,0.68732,0.54344,0.5887,0.34474,1.15258,1.29256,0.97901,7.95954e-05,7.95954e-05,7.95954e-05
47,39794.7,1.13651,1.29844,0.98145,0.71833,0.53328,0.58883,0.34476,1.15252,1.2917,0.97869,7.87503e-05,7.87503e-05,7.87503e-05
48,40633.9,1.13544,1.29305,0.98231,0.72398,0.52779,0.5886,0.34468,1.15248,1.29098,0.97864,7.78929e-05,7.78929e-05,7.78929e-05
49,41475.7,1.13548,1.29247,0.98454,0.70102,0.52913,0.58829,0.34439,1.15277,1.2906,0.979,7.70234e-05,7.70234e-05,7.70234e-05
50,42317,1.13331,1.28962,0.98319,0.69017,0.5303,0.58815,0.34467,1.15283,1.29002,0.97915,7.61423e-05,7.61423e-05,7.61423e-05
51,43158.2,1.13442,1.28743,0.98352,0.69281,0.5283,0.58449,0.34147,1.15283,1.28995,0.97948,7.525e-05,7.525e-05,7.525e-05
