epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3748,0.92956,0.93741,1.15048,0.74061,0.75329,0.79562,0.63014,0.82131,0.64923,1.02102,0.09505,5e-05,5e-05
2,14.6716,0.91254,0.87806,1.18719,0.74648,0.75677,0.79576,0.6317,0.81773,0.64046,1.01929,0.08911,0.000109997,0.000109997
3,18.505,0.968,0.88924,1.16184,0.77071,0.75455,0.80233,0.63893,0.81476,0.62737,1.01663,0.08317,0.000169982,0.000169982
1,11.337,1.00577,1.03502,1.20833,0.79493,0.71836,0.7991,0.6357,0.8094,0.63721,1.00236,0.09406,6e-05,6e-05
2,14.0281,0.96582,0.89418,1.19312,0.75424,0.75269,0.80148,0.63911,0.80765,0.62358,0.99984,0.08713,0.000129996,0.000129996
3,16.7119,0.97492,0.91387,1.1849,0.78369,0.74869,0.81676,0.64943,0.8009,0.59849,0.99508,0.0802,0.000199978,0.000199978
4,19.3361,0.92562,0.79522,1.15225,0.83227,0.73197,0.82539,0.66189,0.79778,0.58476,0.99099,0.0732699,0.000269934,0.000269934
5,22.1081,0.93525,0.80834,1.17537,0.81354,0.74828,0.8325,0.66932,0.7934,0.56929,0.98838,0.0663399,0.000339852,0.000339852
6,24.804,0.9313,0.7891,1.15382,0.82512,0.75881,0.84224,0.67912,0.77951,0.55494,0.98183,0.0594097,0.000409722,0.000409722
7,27.5271,0.91677,0.74287,1.13951,0.84974,0.75546,0.84864,0.68701,0.77256,0.53468,0.97578,0.0524795,0.000479531,0.000479531
8,30.1612,0.90759,0.76843,1.12503,0.8439,0.78777,0.8601,0.69808,0.76134,0.51566,0.97267,0.0455493,0.000549269,0.000549269
9,32.8299,0.88856,0.7339,1.10274,0.86825,0.77845,0.8707,0.719,0.73955,0.49916,0.96572,0.0386189,0.000618924,0.000618924
10,35.3871,0.88429,0.70138,1.11151,0.86639,0.79335,0.8773,0.72538,0.73603,0.48154,0.96123,0.0316885,0.000688484,0.000688484
11,38.0103,0.82612,0.65237,1.08553,0.86883,0.80433,0.87967,0.72755,0.73031,0.47175,0.95494,0.0247579,0.000757939,0.000757939
12,40.5826,0.84007,0.65728,1.09016,0.85104,0.81486,0.88023,0.73154,0.7181,0.46498,0.94757,0.0178273,0.000827277,0.000827277
