epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1182.72,0.80445,0.52684,0.92634,0.6413,0.54193,0.56778,0.43562,0.96575,1.8345,1.03225,0.0670079,0.000333254,0.000333254
2,2338.89,0.74385,0.44856,0.91233,0.72551,0.54497,0.60275,0.46804,0.90452,1.18352,1.00108,0.0340013,0.000659988,0.000659988
3,3465.29,0.70402,0.40207,0.89875,0.66552,0.59359,0.60787,0.47181,0.91823,1.00529,1.01215,0.000988077,0.000980122,0.000980122
4,4600.08,0.68054,0.37718,0.89019,0.71518,0.60948,0.64425,0.512,0.90135,1.0788,0.99437,0.0009703,0.0009703,0.0009703
5,5737.17,0.65731,0.35359,0.88308,0.62478,0.65186,0.66184,0.52561,0.8742,0.95083,0.986,0.0009604,0.0009604,0.0009604
6,6866.24,0.64189,0.33724,0.87623,0.63781,0.65477,0.6647,0.52833,0.8836,0.97098,0.98966,0.0009505,0.0009505,0.0009505
7,7991,0.62856,0.32611,0.87146,0.62789,0.64451,0.65191,0.51952,0.88059,1.08076,0.9878,0.0009406,0.0009406,0.0009406
8,9114.95,0.61765,0.3154,0.86899,0.67702,0.68827,0.69413,0.5528,0.87378,0.86594,0.98296,0.0009307,0.0009307,0.0009307
9,10240.4,0.60891,0.30901,0.86743,0.61969,0.66105,0.66786,0.53588,0.86947,0.89668,0.98432,0.0009208,0.0009208,0.0009208
10,11363.6,0.59849,0.30148,0.86537,0.62151,0.64652,0.66512,0.53417,0.86759,0.91178,0.98522,0.0009109,0.0009109,0.0009109
11,12487.3,0.59202,0.29673,0.86056,0.65894,0.67385,0.68517,0.54797,0.86768,0.91526,0.98409,0.000901,0.000901,0.000901
12,13611,0.58594,0.29237,0.85943,0.67931,0.67026,0.69092,0.55222,0.87075,0.93208,0.98593,0.0008911,0.0008911,0.0008911
13,14734.6,0.5803,0.28836,0.85843,0.66892,0.65768,0.68344,0.54667,0.8718,0.94274,0.98612,0.0008812,0.0008812,0.0008812
14,15858.3,0.5725,0.28354,0.85646,0.66745,0.64586,0.67895,0.5443,0.87302,0.95341,0.98594,0.0008713,0.0008713,0.0008713
15,16980.8,0.56788,0.28074,0.85755,0.66981,0.62515,0.67286,0.54157,0.87506,0.96501,0.98697,0.0008614,0.0008614,0.0008614
16,18104,0.56206,0.27647,0.85447,0.678,0.61017,0.6697,0.54023,0.87754,0.97135,0.98819,0.0008515,0.0008515,0.0008515
17,19227.6,0.5569,0.2738,0.85434,0.68915,0.5997,0.6681,0.53952,0.87966,0.98149,0.9899,0.0008416,0.0008416,0.0008416
18,20350.9,0.55165,0.27118,0.85084,0.68026,0.59708,0.66267,0.53591,0.88092,0.99604,0.99058,0.0008317,0.0008317,0.0008317
19,21473.6,0.54708,0.26824,0.84917,0.60802,0.65846,0.65668,0.53037,0.88247,1.00718,0.99139,0.0008218,0.0008218,0.0008218
20,22596.6,0.54339,0.26676,0.84977,0.55974,0.68815,0.65111,0.52671,0.88404,1.01438,0.99246,0.0008119,0.0008119,0.0008119
21,23719.5,0.53903,0.26412,0.84843,0.56098,0.66537,0.64099,0.52096,0.88652,1.02937,0.99374,0.000802,0.000802,0.000802
22,24842.7,0.53478,0.26044,0.84677,0.56201,0.65106,0.63262,0.51479,0.88717,1.03799,0.994,0.0007921,0.0007921,0.0007921
23,25965.3,0.53189,0.25973,0.84628,0.69374,0.56139,0.62609,0.51155,0.88763,1.0446,0.99438,0.0007822,0.0007822,0.0007822
24,27087.9,0.52707,0.25727,0.84557,0.69086,0.55766,0.62156,0.50863,0.88808,1.05032,0.99531,0.0007723,0.0007723,0.0007723
25,28211.2,0.52273,0.25525,0.84364,0.67264,0.56211,0.61831,0.50626,0.8892,1.06003,0.99633,0.0007624,0.0007624,0.0007624
26,29334.1,0.51898,0.25414,0.84324,0.65503,0.56817,0.6169,0.50512,0.89275,1.05975,0.99851,0.0007525,0.0007525,0.0007525
