epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,878.56,0.8083,0.53265,0.92879,0.11512,0.11895,0.13096,0.09568,0.98857,2.34357,0.97625,0.0670078,0.000333254,0.000333254
2,1722.73,0.74437,0.45687,0.91266,0.11195,0.16033,0.13096,0.0986,0.93617,2.77959,0.96003,0.0340078,0.000666547,0.000666547
3,2557.33,0.7112,0.41233,0.90267,0.10953,0.17727,0.13286,0.10179,0.91623,2.664,0.95308,0.0010076,0.000999677,0.000999677
4,3389.3,0.68327,0.37856,0.89373,0.114,0.17627,0.12986,0.09957,0.92741,2.80435,0.9621,0.00099945,0.00099945,0.00099945
5,4220.61,0.66387,0.35711,0.88738,0.1124,0.15636,0.1315,0.10062,0.92332,2.82553,0.95484,0.000999023,0.000999023,0.000999023
6,5050.81,0.64872,0.34126,0.88374,0.11406,0.1569,0.12571,0.09743,0.93374,2.91306,0.96585,0.000998474,0.000998474,0.000998474
7,5879.25,0.63742,0.3315,0.8799,0.11097,0.15211,0.12787,0.0985,0.92917,2.87168,0.96492,0.000997803,0.000997803,0.000997803
8,6726.25,0.62622,0.32224,0.87553,0.09391,0.2405,0.13147,0.10014,0.93318,2.92676,0.96746,0.000997011,0.000997011,0.000997011
9,7568.63,0.61751,0.31458,0.87152,0.09502,0.21982,0.12908,0.09925,0.93469,2.95898,0.96742,0.000996097,0.000996097,0.000996097
10,8408.79,0.60913,0.30821,0.87056,0.09604,0.22457,0.12839,0.09879,0.93598,2.9126,0.97225,0.000995062,0.000995062,0.000995062
11,9249.08,0.60463,0.30365,0.87004,0.09615,0.21495,0.12821,0.09889,0.93424,2.95937,0.97285,0.000993906,0.000993906,0.000993906
12,10091.5,0.59706,0.2996,0.86526,0.09738,0.21734,0.12798,0.09883,0.93422,2.9374,0.973,0.000992629,0.000992629,0.000992629
13,10927.9,0.59264,0.29577,0.86551,0.09833,0.21451,0.12821,0.09898,0.93583,2.91467,0.97414,0.000991232,0.000991232,0.000991232
14,11763.4,0.58589,0.29062,0.86358,0.1014,0.21471,0.12938,0.09946,0.9384,2.93605,0.97571,0.000989715,0.000989715,0.000989715
15,12600,0.58048,0.28765,0.86158,0.10363,0.21558,0.13017,0.09983,0.93998,2.9202,0.9757,0.000988079,0.000988079,0.000988079
16,13435.4,0.57406,0.28473,0.86025,0.10468,0.21329,0.12985,0.09972,0.94152,2.91047,0.97628,0.000986323,0.000986323,0.000986323
17,14275.1,0.57043,0.28231,0.85716,0.10669,0.21272,0.13023,0.09993,0.94263,2.895,0.97607,0.000984449,0.000984449,0.000984449
18,15110.5,0.56727,0.27902,0.85624,0.10771,0.20712,0.13007,0.09981,0.9425,2.87963,0.97546,0.000982456,0.000982456,0.000982456
19,15944.5,0.56067,0.27569,0.85325,0.10877,0.20174,0.12991,0.0997,0.94316,2.86041,0.97494,0.000980345,0.000980345,0.000980345
20,16784.1,0.55679,0.27336,0.85203,0.10892,0.19616,0.1294,0.09942,0.94337,2.83665,0.9749,0.000978118,0.000978118,0.000978118
21,17622.7,0.5538,0.27192,0.85169,0.11085,0.19273,0.12999,0.09977,0.9445,2.81082,0.97478,0.000975773,0.000975773,0.000975773
22,18458.7,0.55002,0.26927,0.8504,0.11151,0.18629,0.12986,0.09964,0.94422,2.7924,0.97417,0.000973312,0.000973312,0.000973312
23,19295.7,0.54503,0.26835,0.84948,0.11291,0.18302,0.1301,0.09961,0.94431,2.77101,0.97423,0.000970736,0.000970736,0.000970736
24,20136.8,0.54108,0.26419,0.84925,0.11349,0.1799,0.13006,0.09951,0.9448,2.75468,0.97461,0.000968045,0.000968045,0.000968045
25,20975.9,0.53989,0.26433,0.84785,0.11428,0.1757,0.13013,0.09953,0.94459,2.73853,0.9743,0.000965239,0.000965239,0.000965239
26,21818,0.53546,0.26176,0.84812,0.11263,0.17173,0.12896,0.0989,0.94486,2.73092,0.97444,0.00096232,0.00096232,0.00096232
