epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1202.18,1.37931,0.95055,1.05164,0.49553,0.35424,0.37041,0.19571,1.37486,0.89527,1.04346,0.0670075,0.000333257,0.000333257
2,2381.68,1.35988,0.88711,1.04414,0.54096,0.42693,0.45435,0.2467,1.31961,0.78899,1.01345,0.0340074,0.000666428,0.000666428
3,3552.24,1.33024,0.84677,1.03099,0.67031,0.4503,0.48836,0.27141,1.28409,0.74316,1.00079,0.00100657,0.000998947,0.000998947
4,4720.72,1.30624,0.81367,1.02056,0.69321,0.46424,0.51047,0.28619,1.26747,0.72299,0.99345,0.000997803,0.000997803,0.000997803
5,5888.98,1.28677,0.78763,1.01055,0.70942,0.48114,0.52665,0.29676,1.25886,0.70448,0.98533,0.000996097,0.000996097,0.000996097
6,7056.73,1.27339,0.77038,1.00611,0.71379,0.48862,0.53845,0.30558,1.25035,0.69096,0.98346,0.000993906,0.000993906,0.000993906
7,8224.57,1.26171,0.75509,1.00026,0.72156,0.49721,0.54772,0.31117,1.24496,0.68049,0.98054,0.000991232,0.000991232,0.000991232
8,9392.5,1.25514,0.74635,0.99717,0.73201,0.49857,0.55474,0.31808,1.24064,0.67315,0.97919,0.000988079,0.000988079,0.000988079
9,10560,1.25016,0.73749,0.99539,0.73092,0.50431,0.55927,0.32052,1.23648,0.66824,0.97758,0.000984449,0.000984449,0.000984449
10,11727.7,1.24515,0.73065,0.99359,0.73043,0.50888,0.56296,0.32341,1.23318,0.66345,0.97602,0.000980345,0.000980345,0.000980345
11,12895.4,1.23835,0.72281,0.9911,0.73583,0.50988,0.56544,0.32615,1.23145,0.65982,0.97577,0.000975773,0.000975773,0.000975773
12,14063.3,1.23554,0.7181,0.98877,0.73289,0.51691,0.5697,0.32914,1.22943,0.65668,0.97411,0.000970736,0.000970736,0.000970736
13,15230.9,1.23027,0.71138,0.9864,0.74414,0.51661,0.57266,0.3308,1.22785,0.6538,0.97315,0.000965239,0.000965239,0.000965239
14,16398.6,1.22535,0.70591,0.98494,0.74513,0.51757,0.57445,0.33211,1.22654,0.65215,0.97233,0.000959289,0.000959289,0.000959289
15,17566,1.22356,0.70314,0.9838,0.74226,0.51827,0.57433,0.33354,1.22541,0.65082,0.97172,0.000952889,0.000952889,0.000952889
16,18734,1.22129,0.69942,0.98259,0.74244,0.5197,0.5771,0.33443,1.22406,0.64988,0.97089,0.000946048,0.000946048,0.000946048
17,19901,1.21641,0.69546,0.98169,0.74133,0.52169,0.57795,0.33544,1.22313,0.6492,0.97046,0.000938772,0.000938772,0.000938772
18,21068.4,1.21403,0.69162,0.98049,0.74426,0.52118,0.57882,0.33619,1.22239,0.64917,0.97004,0.000931067,0.000931067,0.000931067
19,22236.7,1.21118,0.68817,0.97847,0.74477,0.52025,0.57903,0.33673,1.22152,0.64947,0.9696,0.000922942,0.000922942,0.000922942
20,23404.4,1.20991,0.68436,0.97694,0.74297,0.52213,0.57985,0.33715,1.22045,0.64996,0.96904,0.000914405,0.000914405,0.000914405
21,24571.8,1.2085,0.68311,0.97621,0.74409,0.52303,0.58086,0.33794,1.21943,0.6508,0.96847,0.000905463,0.000905463,0.000905463
22,25739.4,1.20624,0.67955,0.97496,0.74615,0.52408,0.58238,0.33887,1.21883,0.65138,0.96791,0.000896127,0.000896127,0.000896127
23,26907.4,1.20357,0.67679,0.97509,0.74604,0.52378,0.58373,0.33961,1.21825,0.65197,0.96774,0.000886404,0.000886404,0.000886404
24,28074.8,1.20209,0.67401,0.97446,0.74799,0.52371,0.58434,0.34053,1.21751,0.65237,0.9675,0.000876305,0.000876305,0.000876305
25,29241.9,1.20007,0.67184,0.97414,0.74444,0.52746,0.58466,0.34123,1.21693,0.65267,0.96725,0.000865839,0.000865839,0.000865839
26,30409.2,1.19804,0.67038,0.97419,0.74285,0.52889,0.58555,0.34176,1.21642,0.65278,0.96726,0.000855018,0.000855018,0.000855018
27,31576.8,1.19447,0.66576,0.97195,0.74512,0.52946,0.58651,0.34211,1.21606,0.65245,0.96703,0.000843851,0.000843851,0.000843851
28,32744.5,1.19449,0.66509,0.97247,0.74846,0.52863,0.5873,0.34245,1.21571,0.652,0.96688,0.000832349,0.000832349,0.000832349
29,33911.5,1.19235,0.66324,0.9707,0.74993,0.528,0.58795,0.34297,1.21543,0.65138,0.96673,0.000820525,0.000820525,0.000820525
30,35078.9,1.19067,0.66054,0.97092,0.74958,0.52982,0.58858,0.34382,1.21497,0.65066,0.96657,0.000808389,0.000808389,0.000808389
31,36246.7,1.19057,0.65872,0.96853,0.75108,0.53013,0.58955,0.34455,1.21451,0.64929,0.96612,0.000795954,0.000795954,0.000795954
32,37414,1.18736,0.65611,0.96853,0.75449,0.53048,0.59046,0.34512,1.21428,0.64789,0.96597,0.000783231,0.000783231,0.000783231
33,38581,1.18646,0.65433,0.9671,0.75386,0.53139,0.5913,0.3461,1.21396,0.64629,0.96547,0.000770234,0.000770234,0.000770234
