epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1182.4,1.33888,0.91976,1.02295,0.5623,0.41097,0.45739,0.2553,1.30333,0.79314,0.98731,0.0800246,1.99954e-05,1.99954e-05
2,2342.44,1.28383,0.80762,1.00068,0.60839,0.46063,0.50992,0.28938,1.26957,0.74002,0.9845,0.0600446,3.99911e-05,3.99911e-05
3,3499.18,1.26727,0.77991,0.99519,0.72342,0.49076,0.54275,0.31074,1.24637,0.70219,0.96985,0.0400645,5.99694e-05,5.99694e-05
4,4648.93,1.25837,0.7623,0.9925,0.7277,0.49386,0.55081,0.3163,1.24227,0.68735,0.96798,0.0200845,7.99173e-05,7.99173e-05
5,5798.53,1.24797,0.74751,0.988,0.74449,0.50349,0.56472,0.32535,1.23265,0.67572,0.96469,0.000104393,9.98218e-05,9.98218e-05
6,6946.09,1.2421,0.73692,0.98522,0.75592,0.50697,0.56982,0.32981,1.2293,0.67015,0.96303,9.97288e-05,9.97288e-05,9.97288e-05
7,8092.79,1.23531,0.72622,0.98298,0.74691,0.5141,0.57521,0.33269,1.22783,0.66307,0.96276,9.96097e-05,9.96097e-05,9.96097e-05
8,9241.9,1.2304,0.72211,0.98086,0.73773,0.52138,0.57674,0.33594,1.22475,0.65847,0.96155,9.9469e-05,9.9469e-05,9.9469e-05
9,10391.7,1.22481,0.71259,0.97882,0.7448,0.52279,0.58119,0.33805,1.22285,0.65494,0.96147,9.93068e-05,9.93068e-05,9.93068e-05
10,11542.9,1.22252,0.70713,0.97747,0.74803,0.52783,0.58292,0.33947,1.22112,0.65193,0.96103,9.91232e-05,9.91232e-05,9.91232e-05
11,12690.4,1.21742,0.70148,0.97571,0.74246,0.53206,0.58428,0.34076,1.22006,0.64939,0.96084,9.89183e-05,9.89183e-05,9.89183e-05
12,13837.5,1.21385,0.69759,0.97356,0.74929,0.53083,0.5863,0.3417,1.21908,0.64735,0.9602,9.86922e-05,9.86922e-05,9.86922e-05
