epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1035.27,1.37636,0.948,1.05842,0.56326,0.432,0.47548,0.26388,1.34745,0.84937,1.01981,0.0800246,1.99954e-05,1.99954e-05
2,2036.77,1.33394,0.8507,1.03619,0.70884,0.46518,0.52744,0.29686,1.32626,0.79737,1.01836,0.0600446,3.99911e-05,3.99911e-05
3,3034.68,1.32357,0.82509,1.03295,0.72552,0.47377,0.53495,0.30649,1.30232,0.76225,1.00893,0.0400645,5.99694e-05,5.99694e-05
4,4029.96,1.31441,0.80759,1.02828,0.73085,0.4859,0.55733,0.32128,1.30061,0.74742,1.00258,0.0200845,7.99173e-05,7.99173e-05
5,5021.52,1.30657,0.7924,1.02507,0.7444,0.49376,0.55875,0.32242,1.29396,0.73522,0.99945,0.000104393,9.98218e-05,9.98218e-05
6,6012.51,1.30014,0.78091,1.02156,0.73425,0.49972,0.56818,0.32751,1.2914,0.7268,0.99846,9.97288e-05,9.97288e-05,9.97288e-05
7,7002.87,1.29643,0.77411,1.01985,0.74123,0.50515,0.56941,0.32972,1.28972,0.72193,0.99795,9.96097e-05,9.96097e-05,9.96097e-05
8,7993.41,1.29136,0.76583,1.01659,0.74469,0.50609,0.57599,0.33438,1.28708,0.71682,0.99624,9.9469e-05,9.9469e-05,9.9469e-05
9,8983.7,1.2878,0.75905,1.01564,0.74504,0.50832,0.57772,0.337,1.28505,0.71281,0.99554,9.93068e-05,9.93068e-05,9.93068e-05
10,9973.99,1.28536,0.75457,1.01384,0.74367,0.51389,0.57743,0.33677,1.28409,0.71032,0.99507,9.91232e-05,9.91232e-05,9.91232e-05
11,10964.5,1.28091,0.74989,1.01221,0.74621,0.51338,0.58017,0.33825,1.28348,0.70806,0.99492,9.89183e-05,9.89183e-05,9.89183e-05
12,11955.1,1.27866,0.74485,1.01116,0.74531,0.51459,0.58078,0.33893,1.28262,0.70616,0.99465,9.86922e-05,9.86922e-05,9.86922e-05
13,12945.7,1.27644,0.74226,1.00824,0.75239,0.51318,0.58133,0.3393,1.28237,0.70478,0.99419,9.84449e-05,9.84449e-05,9.84449e-05
14,13936.5,1.2755,0.74002,1.00854,0.74951,0.51695,0.58129,0.33917,1.28195,0.70338,0.99387,9.81765e-05,9.81765e-05,9.81765e-05
15,14927,1.2726,0.73492,1.00694,0.74828,0.51655,0.58166,0.33942,1.28164,0.70244,0.99372,9.78873e-05,9.78873e-05,9.78873e-05
16,15918.1,1.26995,0.73273,1.00588,0.74702,0.51786,0.58294,0.33994,1.28121,0.70152,0.99353,9.75773e-05,9.75773e-05,9.75773e-05
17,16908.4,1.26909,0.72988,1.00466,0.74774,0.51954,0.58502,0.34099,1.28084,0.70093,0.99326,9.72466e-05,9.72466e-05,9.72466e-05
18,17898.9,1.26881,0.72907,1.00426,0.75028,0.51712,0.58408,0.34161,1.28048,0.70018,0.99312,9.68955e-05,9.68955e-05,9.68955e-05
19,18889.5,1.26566,0.72499,1.00332,0.75326,0.51728,0.58461,0.34207,1.28006,0.69967,0.99289,9.65239e-05,9.65239e-05,9.65239e-05
20,19880.2,1.26541,0.72435,1.00271,0.75302,0.51777,0.58446,0.34201,1.27962,0.69922,0.9927,9.61322e-05,9.61322e-05,9.61322e-05
