epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9838,0.85963,1.53462,1.0002,0.73613,0.55959,0.63226,0.37044,0.84679,1.443,0.9657,0.0802165,5.93684e-06,5.93684e-06
2,43.819,0.85603,1.50856,0.99272,0.70359,0.56625,0.6413,0.3807,0.82933,1.4023,0.95914,0.0602223,1.17878e-05,1.17878e-05
3,61.6303,0.8557,1.47854,0.99907,0.78072,0.55393,0.65671,0.38944,0.82403,1.36025,0.95636,0.040228,1.74889e-05,1.74889e-05
4,79.3979,0.84514,1.44983,0.98974,0.74414,0.57012,0.65223,0.38702,0.8271,1.35466,0.9555,0.0202336,2.30401e-05,2.30401e-05
5,97.0257,0.83354,1.39395,0.98464,0.74366,0.57542,0.66005,0.39592,0.82201,1.33316,0.95635,0.000238968,2.84415e-05,2.84415e-05
6,114.667,0.83684,1.39753,0.98288,0.79292,0.56684,0.66609,0.40082,0.82017,1.3254,0.95555,2.81269e-05,2.81269e-05,2.81269e-05
7,132.314,0.83356,1.37859,0.98111,0.73881,0.59731,0.67068,0.40361,0.82051,1.32869,0.9564,2.77523e-05,2.77523e-05,2.77523e-05
8,150.033,0.82616,1.37255,0.97957,0.77891,0.57031,0.66881,0.40423,0.8192,1.3242,0.95541,2.73776e-05,2.73776e-05,2.73776e-05
9,167.686,0.82714,1.36585,0.97726,0.73762,0.60655,0.66984,0.4054,0.82071,1.3225,0.95635,2.7003e-05,2.7003e-05,2.7003e-05
10,185.379,0.82546,1.34945,0.97713,0.74569,0.59969,0.67372,0.40496,0.82025,1.32148,0.95537,2.66284e-05,2.66284e-05,2.66284e-05
11,203.021,0.82358,1.34445,0.97414,0.75749,0.59622,0.67476,0.408,0.82005,1.31814,0.95473,2.62538e-05,2.62538e-05,2.62538e-05
12,220.698,0.82297,1.34843,0.97692,0.76347,0.60108,0.67573,0.40661,0.81952,1.31731,0.95444,2.58791e-05,2.58791e-05,2.58791e-05
13,238.291,0.82146,1.32823,0.97354,0.76886,0.60185,0.67521,0.40747,0.81949,1.31641,0.95394,2.55045e-05,2.55045e-05,2.55045e-05
14,255.95,0.81712,1.31498,0.96959,0.7535,0.60819,0.6794,0.41087,0.8198,1.31426,0.9549,2.51299e-05,2.51299e-05,2.51299e-05
15,273.773,0.82334,1.32523,0.97519,0.7656,0.59572,0.67917,0.40896,0.81915,1.31422,0.9554,2.47552e-05,2.47552e-05,2.47552e-05
16,291.205,0.81455,1.30595,0.96763,0.7661,0.61394,0.67993,0.41166,0.81954,1.31136,0.95577,2.43806e-05,2.43806e-05,2.43806e-05
17,308.608,0.80801,1.28998,0.97032,0.77353,0.60257,0.6811,0.41213,0.82065,1.31446,0.95577,2.4006e-05,2.4006e-05,2.4006e-05
18,326.247,0.81187,1.29446,0.96911,0.77783,0.5938,0.68109,0.41147,0.82067,1.31812,0.95746,2.36314e-05,2.36314e-05,2.36314e-05
19,343.644,0.80915,1.28728,0.97082,0.76342,0.60241,0.68063,0.41163,0.8206,1.31532,0.95679,2.32568e-05,2.32568e-05,2.32568e-05
20,361.009,0.80953,1.28198,0.9678,0.75884,0.60466,0.67928,0.41051,0.8204,1.31232,0.95562,2.28821e-05,2.28821e-05,2.28821e-05
21,378.365,0.80373,1.26629,0.96697,0.77536,0.59652,0.68029,0.41194,0.82224,1.31016,0.9569,2.25075e-05,2.25075e-05,2.25075e-05
22,396.041,0.81155,1.2789,0.96933,0.76616,0.60765,0.68149,0.41372,0.81985,1.31377,0.95457,2.21329e-05,2.21329e-05,2.21329e-05
23,413.438,0.80347,1.26389,0.96372,0.76779,0.60252,0.67949,0.41154,0.81952,1.31536,0.95473,2.17583e-05,2.17583e-05,2.17583e-05
24,430.812,0.80248,1.25552,0.96226,0.76968,0.59606,0.68008,0.41183,0.81993,1.31712,0.95559,2.13836e-05,2.13836e-05,2.13836e-05
25,448.152,0.79838,1.25595,0.96364,0.75814,0.60315,0.68006,0.41363,0.81953,1.31256,0.95525,2.1009e-05,2.1009e-05,2.1009e-05
26,465.55,0.80647,1.26697,0.96391,0.75331,0.6048,0.67887,0.4112,0.82027,1.3134,0.95574,2.06344e-05,2.06344e-05,2.06344e-05
27,482.947,0.79727,1.24656,0.96158,0.76839,0.60306,0.67611,0.4077,0.81918,1.31342,0.95476,2.02598e-05,2.02598e-05,2.02598e-05
28,500.315,0.79654,1.24632,0.9609,0.77409,0.59402,0.67806,0.40832,0.82085,1.31471,0.95533,1.98851e-05,1.98851e-05,1.98851e-05
29,517.723,0.79932,1.24686,0.96337,0.78537,0.59213,0.67929,0.41088,0.82009,1.31523,0.95554,1.95105e-05,1.95105e-05,1.95105e-05
30,535.071,0.79493,1.24108,0.96075,0.78591,0.58714,0.67946,0.4113,0.8209,1.31214,0.95482,1.91359e-05,1.91359e-05,1.91359e-05
31,552.405,0.79339,1.23148,0.95706,0.77614,0.604,0.68157,0.41079,0.82168,1.31261,0.95559,1.87612e-05,1.87612e-05,1.87612e-05
32,569.832,0.79623,1.23644,0.9557,0.77394,0.61037,0.68011,0.41215,0.82011,1.31576,0.95469,1.83866e-05,1.83866e-05,1.83866e-05
33,587.286,0.79446,1.22981,0.95809,0.78542,0.59775,0.68214,0.4118,0.81995,1.31185,0.95355,1.8012e-05,1.8012e-05,1.8012e-05
34,604.613,0.79127,1.22182,0.95833,0.77995,0.59284,0.68001,0.41137,0.8205,1.31291,0.95445,1.76374e-05,1.76374e-05,1.76374e-05
35,621.928,0.79649,1.23335,0.95718,0.76663,0.60487,0.6809,0.41257,0.82087,1.31155,0.95461,1.72628e-05,1.72628e-05,1.72628e-05
36,639.417,0.79478,1.23324,0.95644,0.75769,0.60611,0.67777,0.4103,0.82019,1.31234,0.9546,1.68881e-05,1.68881e-05,1.68881e-05
37,656.745,0.79207,1.22411,0.95863,0.75532,0.59204,0.67947,0.40982,0.82136,1.31379,0.95442,1.65135e-05,1.65135e-05,1.65135e-05
