epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3152,0.88377,1.59189,1.03916,0.70846,0.58888,0.63464,0.36406,0.88786,1.52475,1.00219,0.0876353,3.71053e-06,3.71053e-06
2,59.0414,0.88043,1.56615,1.02669,0.74555,0.57034,0.66322,0.38703,0.87531,1.50366,0.99871,0.0751389,7.36736e-06,7.36736e-06
3,84.8268,0.88146,1.55528,1.02887,0.74132,0.59385,0.67064,0.3895,0.855,1.45972,0.98999,0.0626425,1.09305e-05,1.09305e-05
4,110.466,0.86844,1.51681,1.02184,0.73971,0.58705,0.66795,0.39529,0.86072,1.45545,0.98893,0.050146,1.44001e-05,1.44001e-05
5,135.949,0.86145,1.46146,1.01793,0.76945,0.59807,0.68458,0.40454,0.85438,1.40276,0.9908,0.0376494,1.77759e-05,1.77759e-05
6,161.543,0.86459,1.46199,1.01651,0.7909,0.5802,0.68906,0.4096,0.85117,1.39131,0.98881,0.0251526,2.10581e-05,2.10581e-05
7,187.117,0.86255,1.44456,1.0148,0.75521,0.60947,0.6903,0.40894,0.84984,1.37901,0.98803,0.0126558,2.42467e-05,2.42467e-05
8,212.507,0.85117,1.42442,1.01077,0.78883,0.60317,0.69598,0.41032,0.84856,1.37495,0.98612,0.000158921,2.73416e-05,2.73416e-05
9,237.948,0.85205,1.4097,1.00663,0.78443,0.5907,0.69239,0.41145,0.84681,1.37,0.98464,2.7003e-05,2.7003e-05,2.7003e-05
10,263.423,0.84938,1.3951,1.0039,0.79007,0.58803,0.69387,0.41185,0.84691,1.36958,0.9836,2.66284e-05,2.66284e-05,2.66284e-05
11,288.927,0.84625,1.38978,1.00191,0.7713,0.60107,0.69431,0.41224,0.84674,1.36647,0.9833,2.62538e-05,2.62538e-05,2.62538e-05
12,314.397,0.84705,1.39793,1.00518,0.80134,0.58869,0.69592,0.41335,0.84822,1.36744,0.98359,2.58791e-05,2.58791e-05,2.58791e-05
13,339.841,0.84556,1.37348,1.00153,0.75848,0.60239,0.69396,0.41481,0.84726,1.36422,0.98437,2.55045e-05,2.55045e-05,2.55045e-05
14,365.38,0.83973,1.35827,0.99795,0.78322,0.60114,0.69744,0.41684,0.84702,1.36347,0.98427,2.51299e-05,2.51299e-05,2.51299e-05
15,390.895,0.8488,1.37294,1.00446,0.78888,0.60379,0.69858,0.41617,0.84795,1.36456,0.98525,2.47552e-05,2.47552e-05,2.47552e-05
16,416.293,0.83966,1.34977,0.99664,0.79928,0.59262,0.69624,0.41745,0.84704,1.36261,0.98591,2.43806e-05,2.43806e-05,2.43806e-05
17,441.731,0.83077,1.33149,0.99823,0.80802,0.59293,0.69857,0.41723,0.84757,1.35797,0.98609,2.4006e-05,2.4006e-05,2.4006e-05
18,467.224,0.83652,1.32814,0.99618,0.78416,0.60925,0.69683,0.4167,0.84877,1.36101,0.98603,2.36314e-05,2.36314e-05,2.36314e-05
19,492.704,0.83342,1.32624,0.99497,0.78051,0.61456,0.69952,0.41829,0.84727,1.35921,0.98504,2.32568e-05,2.32568e-05,2.32568e-05
20,518.102,0.83245,1.32131,0.9943,0.76429,0.6094,0.69575,0.41696,0.8491,1.36269,0.98503,2.28821e-05,2.28821e-05,2.28821e-05
21,543.502,0.82947,1.31314,0.99434,0.75304,0.61827,0.6956,0.41534,0.84868,1.35916,0.98672,2.25075e-05,2.25075e-05,2.25075e-05
22,568.936,0.83459,1.32161,0.9946,0.77932,0.60567,0.69656,0.41369,0.84773,1.36045,0.98513,2.21329e-05,2.21329e-05,2.21329e-05
23,594.459,0.82614,1.30083,0.98793,0.75144,0.6176,0.70088,0.41683,0.84727,1.35928,0.98551,2.17583e-05,2.17583e-05,2.17583e-05
24,619.895,0.82625,1.29355,0.98997,0.75356,0.61791,0.69701,0.41627,0.84811,1.36025,0.98496,2.13836e-05,2.13836e-05,2.13836e-05
25,645.418,0.82524,1.29181,0.98806,0.75619,0.62581,0.69657,0.41776,0.84818,1.3579,0.98439,2.1009e-05,2.1009e-05,2.1009e-05
26,670.949,0.83098,1.30279,0.9893,0.74876,0.62647,0.6979,0.41777,0.84796,1.36172,0.9852,2.06344e-05,2.06344e-05,2.06344e-05
27,696.322,0.82184,1.28731,0.99157,0.75198,0.62537,0.69737,0.41945,0.84768,1.35766,0.98656,2.02598e-05,2.02598e-05,2.02598e-05
28,721.283,0.82308,1.2921,0.99019,0.75565,0.61996,0.69642,0.41598,0.84886,1.35857,0.98668,1.98851e-05,1.98851e-05,1.98851e-05
29,746.092,0.82154,1.28634,0.98943,0.76221,0.61523,0.69435,0.41731,0.84773,1.35782,0.98551,1.95105e-05,1.95105e-05,1.95105e-05
30,771.63,0.81852,1.2752,0.98579,0.75842,0.61281,0.69141,0.4172,0.8483,1.35759,0.98592,1.91359e-05,1.91359e-05,1.91359e-05
31,797.165,0.81471,1.27127,0.98684,0.77178,0.61472,0.69796,0.41694,0.84926,1.3557,0.98575,1.87612e-05,1.87612e-05,1.87612e-05
32,822.711,0.8179,1.27117,0.98374,0.78158,0.60897,0.69566,0.41682,0.84821,1.36173,0.98537,1.83866e-05,1.83866e-05,1.83866e-05
33,848.336,0.81654,1.26339,0.98396,0.78761,0.60663,0.697,0.41873,0.84813,1.36046,0.98521,1.8012e-05,1.8012e-05,1.8012e-05
