epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1833.55,1.43733,1.0216,1.12772,0.66157,0.43181,0.47312,0.26522,1.41847,0.93469,1.09154,0.0800223,1.99977e-05,1.99977e-05
2,3633.07,1.39356,0.91437,1.10224,0.71133,0.469,0.5275,0.30159,1.38209,0.84151,1.07496,0.0600423,3.99934e-05,3.99934e-05
3,5382.95,1.37967,0.88452,1.09444,0.72472,0.48088,0.54197,0.3127,1.36882,0.81809,1.0703,0.0400623,5.99717e-05,5.99717e-05
4,7116.99,1.37056,0.86348,1.09217,0.73468,0.49015,0.55295,0.32,1.36236,0.80176,1.06895,0.0200822,7.99196e-05,7.99196e-05
5,8847.47,1.36283,0.85072,1.08776,0.73761,0.49288,0.5615,0.32562,1.35896,0.79249,1.06579,0.00010211,9.98241e-05,9.98241e-05
6,10576.3,1.35877,0.8372,1.08268,0.73606,0.50022,0.56684,0.32895,1.35648,0.78587,1.06281,9.97288e-05,9.97288e-05,9.97288e-05
7,12305.9,1.3535,0.82832,1.07968,0.73754,0.50437,0.56984,0.33092,1.35457,0.78104,1.06191,9.96097e-05,9.96097e-05,9.96097e-05
8,14035.2,1.34698,0.81833,1.07383,0.73235,0.50941,0.57252,0.3334,1.35313,0.77742,1.06033,9.9469e-05,9.9469e-05,9.9469e-05
9,15765.1,1.34397,0.81265,1.0716,0.734,0.51026,0.57425,0.33437,1.35153,0.77492,1.05888,9.93068e-05,9.93068e-05,9.93068e-05
10,17495.1,1.34121,0.80835,1.06965,0.73802,0.51069,0.57476,0.33557,1.35071,0.77316,1.05807,9.91232e-05,9.91232e-05,9.91232e-05
11,19224.8,1.33826,0.80394,1.07042,0.74025,0.51125,0.57658,0.33696,1.34965,0.77156,1.05785,9.89183e-05,9.89183e-05,9.89183e-05
12,20954.3,1.33467,0.79882,1.06785,0.73955,0.51439,0.57838,0.33769,1.349,0.77067,1.05761,9.86922e-05,9.86922e-05,9.86922e-05
13,22683.6,1.33223,0.79399,1.06613,0.74088,0.51416,0.57908,0.3386,1.34861,0.76998,1.05751,9.84449e-05,9.84449e-05,9.84449e-05
14,24412.9,1.33148,0.7918,1.06418,0.74264,0.51306,0.58235,0.34126,1.34815,0.76972,1.05709,9.81765e-05,9.81765e-05,9.81765e-05
15,26142.5,1.3304,0.78789,1.06419,0.7408,0.51442,0.58027,0.34035,1.34755,0.76963,1.0566,9.78873e-05,9.78873e-05,9.78873e-05
16,27871.5,1.32845,0.7858,1.0625,0.74417,0.51381,0.58214,0.34119,1.34685,0.76952,1.05622,9.75773e-05,9.75773e-05,9.75773e-05
