epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,384.131,1.2199,0.7048,0.97659,0.64811,0.57151,0.59958,0.34275,1.28533,0.77346,0.99324,0.0667155,3.33178e-05,3.33178e-05
2,753.875,1.19793,0.67805,0.96789,0.70202,0.55859,0.62228,0.35623,1.27406,0.72187,0.98465,0.0334155,6.6586e-05,6.6586e-05
3,1120.1,1.18001,0.65629,0.96183,0.69115,0.57857,0.6229,0.35837,1.26564,0.70773,0.98216,0.000115156,9.95942e-05,9.95942e-05
4,1481.51,1.16838,0.64135,0.9576,0.67101,0.59392,0.62557,0.35962,1.26784,0.70624,0.98412,9.91232e-05,9.91232e-05,9.91232e-05
5,1842.81,1.16126,0.6363,0.95607,0.68617,0.58242,0.62375,0.35632,1.27292,0.70713,0.98685,9.84449e-05,9.84449e-05,9.84449e-05
6,2204.4,1.15247,0.62995,0.95247,0.6682,0.59495,0.62268,0.35728,1.27215,0.70878,0.98706,9.75773e-05,9.75773e-05,9.75773e-05
7,2565.77,1.14816,0.62598,0.95122,0.68911,0.57752,0.62081,0.35646,1.27255,0.70854,0.98731,9.65239e-05,9.65239e-05,9.65239e-05
8,2927.02,1.14152,0.62128,0.94946,0.69234,0.57109,0.61775,0.35491,1.27426,0.71005,0.98982,9.52889e-05,9.52889e-05,9.52889e-05
9,3288.59,1.13884,0.61912,0.94861,0.68006,0.5771,0.61536,0.35113,1.27886,0.71112,0.99153,9.38772e-05,9.38772e-05,9.38772e-05
10,3650.5,1.13385,0.61529,0.94748,0.6611,0.58605,0.61236,0.34842,1.2781,0.71133,0.99165,9.22942e-05,9.22942e-05,9.22942e-05
11,4011.51,1.13038,0.61232,0.94632,0.68248,0.56279,0.61075,0.34797,1.27941,0.71365,0.99356,9.05463e-05,9.05463e-05,9.05463e-05
12,4372.43,1.12621,0.61029,0.94505,0.67867,0.56356,0.61032,0.34743,1.27859,0.71634,0.99316,8.86404e-05,8.86404e-05,8.86404e-05
13,4733.59,1.12097,0.60434,0.94356,0.63873,0.59144,0.6105,0.34748,1.28174,0.71944,0.99573,8.65839e-05,8.65839e-05,8.65839e-05
14,5094.79,1.12018,0.60494,0.94336,0.67066,0.57958,0.61126,0.34625,1.28283,0.71956,0.99575,8.43851e-05,8.43851e-05,8.43851e-05
15,5455.83,1.11672,0.60185,0.94194,0.66002,0.58553,0.60964,0.34589,1.28351,0.72235,0.99578,8.20525e-05,8.20525e-05,8.20525e-05
16,5817.44,1.11154,0.59865,0.94112,0.67906,0.57106,0.60757,0.34517,1.28259,0.72257,0.99539,7.95954e-05,7.95954e-05,7.95954e-05
17,6178.4,1.10886,0.59743,0.94039,0.67744,0.57526,0.60867,0.34481,1.28455,0.72478,0.99587,7.70234e-05,7.70234e-05,7.70234e-05
18,6539.84,1.1069,0.59571,0.93935,0.65432,0.58877,0.60687,0.3434,1.28446,0.7241,0.9956,7.43468e-05,7.43468e-05,7.43468e-05
19,6901.04,1.10372,0.59393,0.93847,0.6578,0.5911,0.60442,0.34274,1.28525,0.72133,0.99556,7.15761e-05,7.15761e-05,7.15761e-05
