epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.476,1.63409,1.10248,1.18085,0.62201,0.42725,0.47897,0.2523,1.55363,0.94692,1.08228,0.0668665,0.0001665,0.0001665
2,389.965,1.57807,1.05264,1.15042,0.61137,0.46007,0.50342,0.27192,1.49822,0.88695,1.06424,0.033699,0.000332263,0.000332263
3,578.287,1.52432,1.00762,1.12577,0.64113,0.47819,0.51788,0.2832,1.44884,0.85205,1.0458,0.000527793,0.000494427,0.000494427
4,766.051,1.50163,0.99188,1.11684,0.6333,0.47928,0.52049,0.28824,1.42779,0.84604,1.03809,0.000487886,0.000487886,0.000487886
5,954.374,1.48934,0.98191,1.11067,0.62572,0.46989,0.51786,0.28705,1.42257,0.84348,1.03735,0.000478603,0.000478603,0.000478603
6,1142.03,1.477,0.97132,1.10326,0.65086,0.47061,0.52464,0.29153,1.41873,0.83792,1.0389,0.000466841,0.000466841,0.000466841
7,1329.48,1.47155,0.96387,1.10242,0.63934,0.47775,0.5262,0.29365,1.4057,0.83545,1.03558,0.000452732,0.000452732,0.000452732
8,1517.16,1.46546,0.95941,1.09826,0.65494,0.47096,0.52594,0.29264,1.39839,0.83274,1.03138,0.000436428,0.000436428,0.000436428
9,1705,1.45643,0.95261,1.09446,0.64198,0.47917,0.52712,0.29384,1.39539,0.82824,1.03229,0.00041811,0.00041811,0.00041811
10,1892.73,1.45479,0.94801,1.09315,0.63024,0.48472,0.52786,0.2948,1.39738,0.82776,1.02984,0.000397977,0.000397977,0.000397977
11,2080.62,1.44742,0.94048,1.08914,0.62552,0.47619,0.52486,0.29399,1.39889,0.82971,1.03229,0.00037625,0.00037625,0.00037625
12,2268.27,1.44335,0.9364,1.087,0.64941,0.47448,0.53007,0.29555,1.39631,0.82609,1.02917,0.000353167,0.000353167,0.000353167
13,2455.91,1.43962,0.93088,1.08454,0.64047,0.47891,0.52979,0.29702,1.3966,0.82427,1.02936,0.000328982,0.000328982,0.000328982
14,2644.24,1.43532,0.9277,1.0815,0.64901,0.47837,0.53012,0.29685,1.39222,0.82537,1.02825,0.000303958,0.000303958,0.000303958
15,2833.41,1.43758,0.92968,1.08396,0.64244,0.47893,0.52906,0.29645,1.39152,0.82315,1.02875,0.000278371,0.000278371,0.000278371
16,3024.19,1.43154,0.92447,1.08185,0.62872,0.47954,0.52836,0.29601,1.39051,0.82309,1.02655,0.0002525,0.0002525,0.0002525
17,3213.53,1.42973,0.92238,1.07843,0.64547,0.47487,0.52848,0.29708,1.38658,0.82313,1.02627,0.000226629,0.000226629,0.000226629
18,3402.93,1.42722,0.92013,1.07825,0.6396,0.48015,0.53005,0.29774,1.38583,0.81934,1.02357,0.000201042,0.000201042,0.000201042
19,3590.34,1.42297,0.91556,1.07741,0.63784,0.48184,0.53038,0.29763,1.38543,0.8199,1.02414,0.000176018,0.000176018,0.000176018
20,3777.27,1.41846,0.91199,1.07648,0.63793,0.47852,0.53097,0.29749,1.38453,0.81809,1.02561,0.000151833,0.000151833,0.000151833
21,3956.52,1.37192,0.8131,1.04369,0.62885,0.48982,0.53109,0.29771,1.38082,0.81991,1.02614,0.00012875,0.00012875,0.00012875
22,4134.84,1.3635,0.80313,1.04056,0.64799,0.47735,0.53133,0.2989,1.37874,0.81703,1.02608,0.000107023,0.000107023,0.000107023
23,4313.2,1.35766,0.80077,1.03878,0.64,0.47835,0.53142,0.29866,1.37582,0.81606,1.02548,8.68902e-05,8.68902e-05,8.68902e-05
24,4491.47,1.35704,0.79786,1.03813,0.62073,0.48665,0.53103,0.29824,1.37692,0.81643,1.02529,6.85717e-05,6.85717e-05,6.85717e-05
25,4669.85,1.35452,0.79589,1.03646,0.63444,0.47732,0.53068,0.29877,1.37557,0.81618,1.02505,5.22683e-05,5.22683e-05,5.22683e-05
26,4848.17,1.35158,0.79328,1.03599,0.63885,0.47974,0.53228,0.29883,1.37461,0.81471,1.02427,3.81587e-05,3.81587e-05,3.81587e-05
27,5026.54,1.35066,0.79171,1.03536,0.63785,0.47853,0.53201,0.2986,1.37548,0.81473,1.02447,2.63975e-05,2.63975e-05,2.63975e-05
28,5204.88,1.35304,0.79383,1.03619,0.63651,0.48047,0.53116,0.29822,1.37431,0.81412,1.02424,1.71135e-05,1.71135e-05,1.71135e-05
29,5383.18,1.35188,0.79272,1.03539,0.63709,0.48169,0.53175,0.29838,1.3746,0.81351,1.0242,1.04085e-05,1.04085e-05,1.04085e-05
30,5561.52,1.35032,0.79129,1.03581,0.63534,0.4823,0.53232,0.29858,1.3747,0.8134,1.02431,6.35583e-06,6.35583e-06,6.35583e-06
