epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,354.262,1.27913,0.89255,1.24208,0.71753,0.70352,0.76088,0.54605,0.9491,0.80703,1.07226,0.0670259,0.000333072,0.000333072
2,695.804,1.18735,0.78163,1.20638,0.86824,0.83273,0.89279,0.68994,0.92862,0.61847,1.06429,0.0340257,0.000666243,0.000666243
3,1036.34,1.1191,0.71441,1.16961,0.88073,0.85446,0.91806,0.73704,0.84717,0.56486,1.01205,0.00102489,0.000998762,0.000998762
4,1377.08,1.0568,0.65331,1.13333,0.87785,0.88079,0.92784,0.74474,0.81968,0.51814,1.00078,0.000997803,0.000997803,0.000997803
5,1717.89,1.00975,0.60832,1.10762,0.90678,0.88165,0.94847,0.77973,0.80571,0.51758,0.99616,0.000996097,0.000996097,0.000996097
6,2054.9,0.97459,0.57461,1.09071,0.91367,0.90925,0.95237,0.79432,0.77114,0.44589,0.98032,0.000993906,0.000993906,0.000993906
7,2382.94,0.95257,0.55823,1.08242,0.92584,0.90749,0.95955,0.79918,0.74621,0.42897,0.97021,0.000991232,0.000991232,0.000991232
8,2710.45,0.93728,0.54336,1.07516,0.92167,0.9197,0.96222,0.81228,0.7417,0.41809,0.96401,0.000988079,0.000988079,0.000988079
9,3037.53,0.91309,0.52263,1.06069,0.92545,0.91878,0.9645,0.81645,0.73166,0.4079,0.95836,0.000984449,0.000984449,0.000984449
10,3363.69,0.89232,0.50804,1.0517,0.92583,0.93389,0.96483,0.82388,0.72212,0.39931,0.95699,0.000980345,0.000980345,0.000980345
11,3689.43,0.87841,0.49608,1.04702,0.92953,0.93616,0.96753,0.82869,0.71495,0.38966,0.95624,0.000975773,0.000975773,0.000975773
12,4015.21,0.86658,0.48749,1.04251,0.93479,0.92955,0.96253,0.8251,0.70714,0.38841,0.95007,0.000970736,0.000970736,0.000970736
13,4341.01,0.85566,0.4772,1.03671,0.93439,0.93851,0.97452,0.84078,0.70143,0.37301,0.95045,0.000965239,0.000965239,0.000965239
14,4666.76,0.84257,0.46495,1.02877,0.94361,0.934,0.97328,0.83981,0.69938,0.3692,0.94784,0.000959289,0.000959289,0.000959289
15,4992.57,0.83404,0.457,1.02395,0.93281,0.94253,0.97486,0.84273,0.70023,0.36523,0.94667,0.000952889,0.000952889,0.000952889
16,5318.45,0.82641,0.45347,1.02393,0.9407,0.94453,0.97778,0.849,0.68971,0.35882,0.94705,0.000946048,0.000946048,0.000946048
17,5644.38,0.81509,0.44403,1.01575,0.94639,0.93782,0.97644,0.85542,0.68275,0.35166,0.93555,0.000938772,0.000938772,0.000938772
18,5970.24,0.8077,0.43735,1.01279,0.95631,0.94127,0.9809,0.85789,0.67445,0.33974,0.93052,0.000931067,0.000931067,0.000931067
19,6296.01,0.80323,0.43413,1.00848,0.94962,0.94979,0.9795,0.85957,0.67513,0.34015,0.9311,0.000922942,0.000922942,0.000922942
20,6621.81,0.79397,0.42435,1.00328,0.95392,0.94406,0.9815,0.86307,0.67058,0.33619,0.93065,0.000914405,0.000914405,0.000914405
21,6947.75,0.78453,0.42037,1.00048,0.95776,0.94591,0.98192,0.86591,0.66641,0.3291,0.92693,0.000905463,0.000905463,0.000905463
22,7273.72,0.78435,0.41759,0.99968,0.94928,0.95038,0.98171,0.8658,0.66508,0.32802,0.92683,0.000896127,0.000896127,0.000896127
23,7600.17,0.77286,0.41176,0.99426,0.95878,0.94927,0.9826,0.86983,0.66013,0.32267,0.92263,0.000886404,0.000886404,0.000886404
24,7926.25,0.76629,0.40571,0.99113,0.96433,0.95127,0.98344,0.87009,0.65861,0.31752,0.92365,0.000876305,0.000876305,0.000876305
25,8253.48,0.76132,0.40295,0.98802,0.95641,0.95613,0.98345,0.87367,0.65444,0.31351,0.92319,0.000865839,0.000865839,0.000865839
26,8581.37,0.75651,0.3979,0.98865,0.96197,0.95476,0.98411,0.87289,0.65277,0.31245,0.9216,0.000855018,0.000855018,0.000855018
27,8909.11,0.75112,0.39256,0.98134,0.96146,0.9592,0.98487,0.87553,0.65091,0.30938,0.91753,0.000843851,0.000843851,0.000843851
28,9237.35,0.74395,0.38742,0.97788,0.96246,0.95997,0.98505,0.87818,0.64856,0.30581,0.91665,0.000832349,0.000832349,0.000832349
29,9567.64,0.74079,0.38514,0.98099,0.96131,0.95963,0.98506,0.87858,0.64839,0.30517,0.921,0.000820525,0.000820525,0.000820525
30,9893.76,0.73755,0.38413,0.97658,0.96601,0.95407,0.98593,0.88024,0.64482,0.30398,0.9188,0.000808389,0.000808389,0.000808389
31,10219.6,0.73244,0.38107,0.97832,0.96466,0.9574,0.98604,0.88184,0.6431,0.30176,0.91947,0.000795954,0.000795954,0.000795954
