epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,213.269,1.28365,0.88018,1.19013,0.84123,0.73881,0.82982,0.63285,0.96376,0.72038,1.0486,0.0670259,0.000333072,0.000333072
2,413.637,1.19287,0.76944,1.16514,0.83775,0.79781,0.86387,0.66047,0.9397,0.62608,1.03073,0.0340252,0.000665755,0.000665755
3,612.674,1.12625,0.70372,1.13327,0.866,0.84834,0.89743,0.71257,0.84908,0.55286,0.99998,0.00102196,0.000995837,0.000995837
4,810.797,1.06591,0.64903,1.10269,0.90671,0.87074,0.93105,0.75705,0.81298,0.50423,0.97903,0.000991232,0.000991232,0.000991232
5,1008.94,1.01243,0.60149,1.07746,0.89349,0.89596,0.94435,0.77721,0.79257,0.48105,0.96889,0.000984449,0.000984449,0.000984449
6,1207.71,0.98158,0.56995,1.0631,0.91854,0.89645,0.95175,0.78215,0.76477,0.44536,0.96298,0.000975773,0.000975773,0.000975773
7,1405.97,0.95436,0.55158,1.0541,0.91822,0.91443,0.95759,0.80068,0.74634,0.4272,0.95742,0.000965239,0.000965239,0.000965239
8,1602.93,0.9372,0.53617,1.04419,0.92864,0.91188,0.96036,0.80753,0.74129,0.41684,0.94617,0.000952889,0.000952889,0.000952889
9,1802.02,0.9154,0.5171,1.03228,0.92656,0.91113,0.96285,0.81339,0.73363,0.4087,0.94752,0.000938772,0.000938772,0.000938772
10,2000.96,0.89434,0.50068,1.02614,0.93047,0.92723,0.96853,0.82459,0.72372,0.39068,0.94322,0.000922942,0.000922942,0.000922942
11,2199.25,0.87732,0.49055,1.01924,0.92929,0.92689,0.96242,0.82328,0.71629,0.39155,0.93769,0.000905463,0.000905463,0.000905463
12,2397.64,0.86507,0.48,1.01453,0.93148,0.93293,0.97216,0.83442,0.70535,0.37415,0.93313,0.000886404,0.000886404,0.000886404
13,2596.18,0.85339,0.47039,1.0079,0.93346,0.94414,0.97291,0.83942,0.70429,0.37054,0.93406,0.000865839,0.000865839,0.000865839
14,2794.94,0.8411,0.45951,1.00046,0.94387,0.92913,0.97309,0.83851,0.69668,0.36345,0.9315,0.000843851,0.000843851,0.000843851
15,2993.08,0.83046,0.45121,0.99836,0.94366,0.94036,0.97569,0.84525,0.69279,0.35827,0.9302,0.000820525,0.000820525,0.000820525
16,3190.24,0.82412,0.4451,0.99542,0.95033,0.94322,0.97627,0.84532,0.69139,0.35596,0.92739,0.000795954,0.000795954,0.000795954
17,3388.77,0.80886,0.43591,0.98694,0.95187,0.93211,0.97768,0.8559,0.68262,0.35156,0.9238,0.000770234,0.000770234,0.000770234
18,3587,0.79995,0.42897,0.98469,0.94685,0.94581,0.97904,0.85696,0.67767,0.34143,0.92218,0.000743468,0.000743468,0.000743468
19,3784.08,0.79451,0.42495,0.9824,0.94534,0.94997,0.97941,0.8563,0.67607,0.33686,0.91939,0.000715761,0.000715761,0.000715761
20,3980.82,0.78481,0.41516,0.97653,0.95506,0.94497,0.98093,0.86251,0.66956,0.33346,0.92068,0.000687222,0.000687222,0.000687222
21,4177.5,0.77398,0.40818,0.97351,0.95739,0.95152,0.9817,0.86424,0.66739,0.32788,0.91712,0.000657963,0.000657963,0.000657963
