epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,694.559,0.80033,0.53862,0.91302,0.80238,0.65978,0.73039,0.57053,0.94946,0.65316,0.99604,0.0670079,0.000333253,0.000333253
2,1364.74,0.73675,0.45389,0.89797,0.78188,0.65648,0.7355,0.59239,0.91954,0.61977,0.97728,0.0340073,0.000665935,0.000665935
3,2043.77,0.7014,0.41338,0.88959,0.74753,0.69756,0.7559,0.61311,0.92354,0.59323,0.98746,0.00100404,0.000996017,0.000996017
4,2705.63,0.67375,0.38141,0.88089,0.80296,0.68436,0.75409,0.62045,0.93162,0.61165,0.99631,0.000991232,0.000991232,0.000991232
5,3361.35,0.6509,0.35831,0.87423,0.80727,0.69809,0.76244,0.62819,0.91479,0.62976,0.99535,0.000984449,0.000984449,0.000984449
6,4015.84,0.63616,0.3449,0.87064,0.83598,0.68604,0.78096,0.64623,0.92451,0.59508,1.00138,0.000975773,0.000975773,0.000975773
7,4668.83,0.62248,0.33186,0.86648,0.82727,0.68426,0.75669,0.6309,0.91974,0.6037,0.99646,0.000965239,0.000965239,0.000965239
8,5319.45,0.61149,0.32244,0.86242,0.81953,0.68761,0.75438,0.62712,0.92462,0.61602,0.9995,0.000952889,0.000952889,0.000952889
9,5969.83,0.60211,0.31427,0.86044,0.80748,0.69598,0.75886,0.6322,0.91893,0.61749,1.00251,0.000938772,0.000938772,0.000938772
10,6620.84,0.59337,0.30692,0.85697,0.83296,0.68159,0.75427,0.6296,0.91496,0.61456,0.99895,0.000922942,0.000922942,0.000922942
11,7271.66,0.58631,0.30153,0.85588,0.79996,0.69791,0.75452,0.63059,0.91722,0.61788,1.00226,0.000905463,0.000905463,0.000905463
12,7929.41,0.57802,0.29637,0.85259,0.81575,0.69355,0.75739,0.63379,0.91717,0.62121,1.00246,0.000886404,0.000886404,0.000886404
13,8589.43,0.57071,0.29159,0.8516,0.81367,0.69328,0.76032,0.63571,0.91886,0.62175,1.00449,0.000865839,0.000865839,0.000865839
14,9247.72,0.56431,0.28704,0.85016,0.81339,0.69553,0.76102,0.63417,0.91921,0.62106,1.00525,0.000843851,0.000843851,0.000843851
15,9904.76,0.55791,0.28261,0.84799,0.82187,0.69314,0.76181,0.63388,0.92146,0.62243,1.00677,0.000820525,0.000820525,0.000820525
16,10566.3,0.55197,0.27825,0.84706,0.81858,0.69474,0.76263,0.6344,0.9215,0.62271,1.00762,0.000795954,0.000795954,0.000795954
17,11229.7,0.54559,0.27525,0.84476,0.81798,0.69801,0.76399,0.63634,0.92145,0.62439,1.00709,0.000770234,0.000770234,0.000770234
18,11888.5,0.53987,0.27163,0.84443,0.82019,0.69666,0.76325,0.63597,0.9213,0.62782,1.00728,0.000743468,0.000743468,0.000743468
19,12545,0.53334,0.26668,0.84218,0.81669,0.69557,0.76361,0.63603,0.92045,0.63055,1.00709,0.000715761,0.000715761,0.000715761
20,13203.7,0.52854,0.26441,0.84153,0.82318,0.69259,0.7629,0.63605,0.91984,0.63317,1.00725,0.000687222,0.000687222,0.000687222
21,13874.8,0.52367,0.26099,0.8396,0.81586,0.69572,0.76325,0.63569,0.92064,0.63507,1.00827,0.000657963,0.000657963,0.000657963
22,14531.3,0.51739,0.25805,0.8387,0.81416,0.69718,0.7631,0.63503,0.92091,0.63705,1.00916,0.000628101,0.000628101,0.000628101
23,15187.7,0.51153,0.2544,0.8366,0.81581,0.6928,0.76312,0.63375,0.92116,0.63842,1.00979,0.000597754,0.000597754,0.000597754
24,15851.1,0.50657,0.2515,0.83566,0.82094,0.68971,0.76308,0.63355,0.92137,0.6405,1.01066,0.00056704,0.00056704,0.00056704
25,16512.1,0.50154,0.24856,0.83524,0.82311,0.68647,0.76268,0.63269,0.92192,0.64013,1.01254,0.000536081,0.000536081,0.000536081
26,17173.4,0.4956,0.24565,0.83457,0.82444,0.68467,0.76288,0.63262,0.922,0.64099,1.01408,0.000505,0.000505,0.000505
27,17831.3,0.49173,0.24337,0.83328,0.8307,0.68215,0.76271,0.63279,0.92168,0.64317,1.01537,0.000473919,0.000473919,0.000473919
28,18487.6,0.48644,0.24043,0.83045,0.82851,0.68252,0.76244,0.63191,0.92208,0.64468,1.01617,0.00044296,0.00044296,0.00044296
29,19146.4,0.48167,0.23778,0.82983,0.82996,0.68076,0.76231,0.6315,0.92303,0.6449,1.01739,0.000412246,0.000412246,0.000412246
30,19807.6,0.47716,0.23461,0.82902,0.83521,0.67755,0.76264,0.63152,0.92382,0.64447,1.01882,0.000381899,0.000381899,0.000381899
31,20463.6,0.47332,0.23241,0.82848,0.83594,0.67715,0.76213,0.6315,0.92441,0.64431,1.02028,0.000352037,0.000352037,0.000352037
