epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.904,1.38382,1.29361,1.05142,0.47047,0.39971,0.39322,0.23402,1.33709,1.13582,1.03228,0.0670204,0.000333127,0.000333127
2,357.387,1.35348,1.13013,1.04079,0.50214,0.41509,0.41907,0.2531,1.3157,1.05669,1.02398,0.0340202,0.000666298,0.000666298
3,529.625,1.33325,1.06959,1.02496,0.51838,0.42363,0.4381,0.26424,1.30886,1.03016,1.01848,0.00101942,0.000998817,0.000998817
4,701.105,1.32221,1.03902,1.02346,0.52819,0.45429,0.46561,0.28766,1.27193,0.98996,1.00363,0.000997803,0.000997803,0.000997803
5,871.609,1.29641,1.00161,1.01264,0.52562,0.45358,0.46547,0.28704,1.26228,0.98246,0.99954,0.000996097,0.000996097,0.000996097
6,1041.79,1.29012,0.9843,1.00927,0.54079,0.45491,0.47676,0.29761,1.24944,0.97258,0.99414,0.000993906,0.000993906,0.000993906
7,1213.81,1.27141,0.95959,1.00083,0.5478,0.46523,0.48221,0.30231,1.25768,0.95321,0.99353,0.000991232,0.000991232,0.000991232
8,1385.83,1.26929,0.94667,0.99684,0.55564,0.48347,0.4948,0.3075,1.25091,0.94922,0.99377,0.000988079,0.000988079,0.000988079
9,1557.92,1.2586,0.93061,0.99543,0.56842,0.47548,0.49795,0.3091,1.2519,0.9545,0.99658,0.000984449,0.000984449,0.000984449
10,1729.6,1.24561,0.91386,0.99106,0.58095,0.47286,0.50716,0.31635,1.23235,0.92815,0.98443,0.000980345,0.000980345,0.000980345
11,1900.37,1.2401,0.89851,0.98557,0.59091,0.48012,0.5119,0.31925,1.23271,0.92122,0.98651,0.000975773,0.000975773,0.000975773
12,2070.88,1.23492,0.89387,0.98522,0.58074,0.4879,0.51411,0.324,1.2297,0.91581,0.98386,0.000970736,0.000970736,0.000970736
13,2242.6,1.23623,0.88978,0.98378,0.59442,0.49328,0.51849,0.32656,1.22026,0.90526,0.97922,0.000965239,0.000965239,0.000965239
14,2414.7,1.22259,0.87256,0.98016,0.58256,0.4976,0.52518,0.3279,1.22182,0.9024,0.97965,0.000959289,0.000959289,0.000959289
15,2585.6,1.21847,0.86545,0.9744,0.59264,0.49574,0.52339,0.32691,1.23712,0.89925,0.98166,0.000952889,0.000952889,0.000952889
16,2757.56,1.21447,0.85424,0.97601,0.59603,0.50182,0.52784,0.3324,1.21781,0.89126,0.97835,0.000946048,0.000946048,0.000946048
17,2928.96,1.20961,0.84976,0.97418,0.60038,0.50183,0.52897,0.33268,1.21742,0.88503,0.97863,0.000938772,0.000938772,0.000938772
18,3100.52,1.2109,0.84403,0.97279,0.59499,0.50354,0.53206,0.33549,1.2122,0.8831,0.97517,0.000931067,0.000931067,0.000931067
19,3272.05,1.20446,0.83703,0.97241,0.6109,0.50111,0.53188,0.33487,1.21115,0.88026,0.97589,0.000922942,0.000922942,0.000922942
20,3443.6,1.19247,0.82702,0.96733,0.61015,0.50419,0.53526,0.33571,1.20932,0.8805,0.97482,0.000914405,0.000914405,0.000914405
21,3619.04,1.19853,0.82918,0.97048,0.61385,0.50674,0.53455,0.33868,1.20651,0.87565,0.97288,0.000905463,0.000905463,0.000905463
22,3796.23,1.19572,0.82426,0.96671,0.60395,0.49928,0.53483,0.33621,1.20689,0.8741,0.97186,0.000896127,0.000896127,0.000896127
23,3972.38,1.19077,0.81132,0.96653,0.6142,0.50153,0.53486,0.3362,1.20623,0.87059,0.97288,0.000886404,0.000886404,0.000886404
24,4143.8,1.18269,0.80545,0.96219,0.61949,0.50451,0.54294,0.34027,1.20908,0.87029,0.97166,0.000876305,0.000876305,0.000876305
