epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.022,1.77375,0.83943,1.33173,0.43655,0.36023,0.34915,0.20324,1.71762,0.74189,1.31207,0.0683529,0.00166564,0.00166564
2,357.46,1.69786,0.73252,1.2992,0.48602,0.39217,0.38897,0.23129,1.64165,0.66459,1.27244,0.0366859,0.00333194,0.00333194
3,530.079,1.64698,0.68477,1.26847,0.53958,0.40165,0.42031,0.24992,1.59051,0.64528,1.2557,0.0050174,0.0049968,0.0049968
4,702.119,1.62307,0.66174,1.2601,0.51452,0.43683,0.44853,0.27376,1.56001,0.61673,1.2391,0.00499512,0.00499512,0.00499512
5,874.02,1.5879,0.64077,1.24808,0.51024,0.43025,0.44209,0.27115,1.53797,0.62837,1.22706,0.00499132,0.00499132,0.00499132
6,1045.3,1.57813,0.6275,1.24266,0.52365,0.43579,0.45489,0.28385,1.51931,0.60449,1.21647,0.00498644,0.00498644,0.00498644
7,1217.66,1.55813,0.61172,1.23086,0.51867,0.46809,0.47041,0.29068,1.51337,0.58759,1.2167,0.00498048,0.00498048,0.00498048
8,1389.77,1.55129,0.6012,1.22324,0.5411,0.45962,0.47482,0.29283,1.51432,0.58395,1.21302,0.00497345,0.00497345,0.00497345
9,1560.98,1.53875,0.59219,1.2211,0.54703,0.45773,0.47314,0.29208,1.52176,0.58887,1.21441,0.00496534,0.00496534,0.00496534
10,1731.45,1.51881,0.58224,1.21507,0.53921,0.47772,0.49159,0.30633,1.49521,0.57427,1.20623,0.00495616,0.00495616,0.00495616
11,1902.5,1.51387,0.57382,1.20668,0.54522,0.47373,0.48833,0.30159,1.49329,0.57532,1.20412,0.00494592,0.00494592,0.00494592
12,2073.03,1.50681,0.57049,1.20679,0.55815,0.47462,0.4927,0.30891,1.4845,0.55991,1.19826,0.00493461,0.00493461,0.00493461
13,2243.74,1.5061,0.56655,1.20302,0.56958,0.47612,0.49392,0.30826,1.48445,0.55713,1.1989,0.00492224,0.00492224,0.00492224
14,2414.56,1.49273,0.5575,1.19999,0.55442,0.4762,0.49793,0.31043,1.47698,0.55495,1.19661,0.00490883,0.00490883,0.00490883
15,2585.3,1.48835,0.55517,1.19366,0.56339,0.48666,0.49831,0.31111,1.48303,0.54899,1.19295,0.00489437,0.00489437,0.00489437
16,2756.33,1.48047,0.54672,1.19346,0.57543,0.48424,0.50491,0.31687,1.46344,0.54308,1.18603,0.00487886,0.00487886,0.00487886
17,2926.89,1.47723,0.54429,1.19096,0.57282,0.49194,0.50839,0.31841,1.47219,0.54076,1.19177,0.00486233,0.00486233,0.00486233
18,3097.6,1.47694,0.54031,1.18921,0.57802,0.48511,0.5131,0.3231,1.46802,0.54615,1.18655,0.00484477,0.00484477,0.00484477
19,3268.21,1.4699,0.53521,1.18828,0.58527,0.48803,0.51324,0.32077,1.46639,0.54083,1.19088,0.0048262,0.0048262,0.0048262
20,3438.57,1.45425,0.52866,1.18153,0.57625,0.49201,0.50804,0.31691,1.46212,0.5418,1.18685,0.00480661,0.00480661,0.00480661
21,3609.48,1.46408,0.53237,1.1869,0.60326,0.49359,0.52005,0.3275,1.44799,0.53262,1.18085,0.00478603,0.00478603,0.00478603
22,3780.45,1.45784,0.52936,1.18143,0.57901,0.4872,0.51614,0.3264,1.45277,0.53261,1.18101,0.00476445,0.00476445,0.00476445
23,3950.76,1.4534,0.52228,1.18001,0.58429,0.49801,0.51934,0.32598,1.45541,0.53038,1.18005,0.00474189,0.00474189,0.00474189
24,4121.73,1.44513,0.51994,1.1768,0.59316,0.49634,0.5256,0.33113,1.45109,0.5318,1.1801,0.00471835,0.00471835,0.00471835
25,4291.92,1.43931,0.51202,1.17568,0.6069,0.48559,0.52264,0.32968,1.45188,0.52979,1.18053,0.00469386,0.00469386,0.00469386
26,4462.67,1.44194,0.51553,1.17312,0.58765,0.50221,0.52323,0.32944,1.44989,0.53277,1.18148,0.00466841,0.00466841,0.00466841
27,4632.93,1.43157,0.50882,1.17287,0.6024,0.4995,0.53151,0.33492,1.44635,0.52403,1.17935,0.00464203,0.00464203,0.00464203
28,4804.06,1.43001,0.51022,1.16984,0.59088,0.50331,0.53016,0.33394,1.44603,0.52356,1.17787,0.00461471,0.00461471,0.00461471
29,4974.66,1.42337,0.5061,1.16802,0.59372,0.50392,0.52957,0.33567,1.44189,0.52411,1.17725,0.00458648,0.00458648,0.00458648
30,5145.03,1.42261,0.5047,1.1659,0.58327,0.50961,0.52953,0.33527,1.44817,0.52009,1.17463,0.00455734,0.00455734,0.00455734
31,5315.03,1.42066,0.5016,1.16766,0.59407,0.51092,0.53576,0.33661,1.4434,0.52012,1.17561,0.00452732,0.00452732,0.00452732
32,5485.63,1.42205,0.49894,1.1646,0.59919,0.50209,0.5337,0.33626,1.44165,0.51389,1.17564,0.00449641,0.00449641,0.00449641
33,5656.47,1.41535,0.49425,1.16258,0.60361,0.50328,0.53359,0.33558,1.44292,0.51688,1.17468,0.00446464,0.00446464,0.00446464
34,5827.7,1.41475,0.49315,1.15802,0.61257,0.50028,0.53677,0.33737,1.44284,0.51496,1.17258,0.00443202,0.00443202,0.00443202
35,5998.66,1.40918,0.49012,1.16305,0.60455,0.50789,0.53806,0.33967,1.43983,0.51193,1.17357,0.00439856,0.00439856,0.00439856
36,6169.64,1.40447,0.48753,1.15912,0.60772,0.50728,0.53696,0.34001,1.4395,0.51151,1.17244,0.00436428,0.00436428,0.00436428
37,6340.75,1.39883,0.48634,1.15598,0.60053,0.50668,0.53632,0.33925,1.43841,0.51108,1.16904,0.0043292,0.0043292,0.0043292
38,6511.42,1.40443,0.48571,1.15653,0.60504,0.50694,0.53766,0.34112,1.43568,0.51105,1.16952,0.00429332,0.00429332,0.00429332
39,6682.18,1.4059,0.48481,1.15658,0.60428,0.51579,0.54188,0.34222,1.43842,0.50839,1.17063,0.00425667,0.00425667,0.00425667
40,6853.18,1.39405,0.48365,1.15231,0.6123,0.51265,0.54187,0.34347,1.43235,0.50694,1.16696,0.00421925,0.00421925,0.00421925
41,7024.11,1.38992,0.47858,1.1513,0.60959,0.514,0.54077,0.34121,1.43692,0.50846,1.17074,0.0041811,0.0041811,0.0041811
42,7194.43,1.39097,0.47973,1.15249,0.60069,0.51887,0.54331,0.34376,1.4357,0.5053,1.17028,0.00414222,0.00414222,0.00414222
43,7365.19,1.38926,0.47667,1.15108,0.60738,0.51452,0.54202,0.34236,1.43609,0.50493,1.1693,0.00410262,0.00410262,0.00410262
44,7535.89,1.37925,0.47213,1.14772,0.61952,0.50961,0.54483,0.34447,1.4386,0.50372,1.17135,0.00406234,0.00406234,0.00406234
45,7706.56,1.38681,0.47226,1.15078,0.60957,0.51244,0.54049,0.34213,1.44265,0.50446,1.17016,0.00402138,0.00402138,0.00402138
46,7877.18,1.38495,0.47165,1.14738,0.61292,0.50805,0.54403,0.34469,1.43022,0.5036,1.16864,0.00397977,0.00397977,0.00397977
47,8048.11,1.3804,0.46912,1.14853,0.61649,0.51354,0.54564,0.34492,1.43101,0.50178,1.16782,0.00393752,0.00393752,0.00393752
48,8218.67,1.37779,0.46898,1.14491,0.60985,0.51749,0.54451,0.34496,1.43214,0.50286,1.16672,0.00389464,0.00389464,0.00389464
49,8389.33,1.36746,0.46296,1.14483,0.60183,0.51994,0.54331,0.34302,1.43432,0.50142,1.16806,0.00385117,0.00385117,0.00385117
50,8559.51,1.37189,0.46397,1.14347,0.62255,0.51457,0.54609,0.3446,1.43609,0.50146,1.16864,0.00380712,0.00380712,0.00380712
51,8730.22,1.36378,0.46191,1.14221,0.61884,0.5207,0.55373,0.35096,1.43435,0.4986,1.16767,0.0037625,0.0037625,0.0037625
52,8900.68,1.3642,0.46027,1.14375,0.62353,0.51805,0.55111,0.34859,1.42987,0.49784,1.16649,0.00371734,0.00371734,0.00371734
53,9070.95,1.36196,0.45646,1.13802,0.62819,0.51573,0.54998,0.34718,1.43379,0.49663,1.16713,0.00367166,0.00367166,0.00367166
