epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.187,1.77315,0.83817,1.33279,0.41994,0.37201,0.34858,0.20409,1.68291,0.75321,1.29934,0.0683529,0.00166564,0.00166564
2,347.917,1.69571,0.73331,1.30019,0.47257,0.37709,0.37922,0.22476,1.61652,0.66448,1.26418,0.0366859,0.00333194,0.00333194
3,514.238,1.64636,0.68416,1.26963,0.51411,0.3961,0.41215,0.24791,1.59943,0.65135,1.25797,0.0050174,0.0049968,0.0049968
4,680.115,1.61983,0.66414,1.25925,0.51583,0.41563,0.4337,0.26494,1.55255,0.62789,1.23164,0.00499512,0.00499512,0.00499512
5,846.105,1.59001,0.63808,1.24846,0.52041,0.43941,0.44741,0.27574,1.53424,0.60967,1.22477,0.00499132,0.00499132,0.00499132
6,1011.47,1.57613,0.62605,1.24122,0.54458,0.42337,0.4564,0.28237,1.51666,0.59783,1.21676,0.00498644,0.00498644,0.00498644
7,1177.71,1.5552,0.60943,1.23014,0.52429,0.46119,0.47111,0.2925,1.50985,0.58036,1.21521,0.00498048,0.00498048,0.00498048
8,1344.07,1.54937,0.59954,1.22273,0.54419,0.46427,0.47541,0.29609,1.51436,0.58523,1.21349,0.00497345,0.00497345,0.00497345
9,1510.56,1.53659,0.59119,1.22017,0.52855,0.4588,0.47125,0.29195,1.52048,0.58452,1.21399,0.00496534,0.00496534,0.00496534
10,1676.41,1.51854,0.5821,1.21498,0.53415,0.47004,0.48631,0.30329,1.49825,0.57582,1.20394,0.00495616,0.00495616,0.00495616
11,1841.79,1.51217,0.57161,1.20776,0.56013,0.46306,0.48743,0.30302,1.49708,0.57347,1.20778,0.00494592,0.00494592,0.00494592
12,2007.65,1.5077,0.56927,1.20791,0.54977,0.47237,0.49112,0.30804,1.48832,0.56192,1.20246,0.00493461,0.00493461,0.00493461
13,2173.59,1.50625,0.56552,1.20347,0.57147,0.47556,0.49622,0.31069,1.48021,0.5601,1.19616,0.00492224,0.00492224,0.00492224
14,2339.74,1.49168,0.5555,1.20044,0.56666,0.48149,0.50513,0.31574,1.46616,0.55184,1.19354,0.00490883,0.00490883,0.00490883
