epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.316,1.48483,2.75079,1.11652,0.47437,0.26784,0.25805,0.14211,1.40606,2.25988,1.05718,0.0800223,1.99977e-05,1.99977e-05
2,544.479,1.40326,2.29065,1.07364,0.53714,0.30276,0.3105,0.17209,1.34049,2.01535,1.02093,0.0600423,3.99934e-05,3.99934e-05
3,794.937,1.37101,2.13585,1.05663,0.56863,0.32361,0.34063,0.18776,1.32343,1.92263,1.01268,0.0400623,5.99717e-05,5.99717e-05
4,1039.55,1.35429,2.05169,1.04731,0.58454,0.33331,0.35571,0.19597,1.31197,1.87104,1.00636,0.0200822,7.99196e-05,7.99196e-05
5,1281.47,1.33935,1.98882,1.04106,0.59838,0.33852,0.36565,0.20185,1.30452,1.8373,1.00278,0.000102106,9.98241e-05,9.98241e-05
6,1521.43,1.33166,1.94923,1.03667,0.59993,0.34646,0.37343,0.20573,1.29947,1.81257,1.00053,9.97288e-05,9.97288e-05,9.97288e-05
7,1761.55,1.32521,1.92158,1.03332,0.60948,0.34826,0.378,0.20896,1.29621,1.79597,0.99868,9.96097e-05,9.96097e-05,9.96097e-05
8,2001.35,1.3217,1.9016,1.03098,0.6127,0.35217,0.3825,0.21134,1.29366,1.7839,0.99748,9.9469e-05,9.9469e-05,9.9469e-05
9,2241.82,1.31722,1.88443,1.02826,0.6181,0.35184,0.38535,0.21296,1.29158,1.77435,0.99634,9.93068e-05,9.93068e-05,9.93068e-05
10,2481.8,1.31635,1.8757,1.02746,0.62075,0.35581,0.38846,0.21451,1.28989,1.76642,0.99557,9.91232e-05,9.91232e-05,9.91232e-05
11,2722.23,1.31242,1.86327,1.02544,0.63006,0.35504,0.39111,0.21561,1.28839,1.76007,0.99483,9.89183e-05,9.89183e-05,9.89183e-05
12,2962.58,1.30834,1.85272,1.02374,0.62673,0.35895,0.39278,0.21686,1.28704,1.75464,0.9942,9.86922e-05,9.86922e-05,9.86922e-05
13,3202.4,1.30644,1.84117,1.02225,0.62693,0.36012,0.39462,0.21777,1.28577,1.74933,0.99356,9.84449e-05,9.84449e-05,9.84449e-05
14,3442.58,1.30496,1.83539,1.02098,0.62445,0.36357,0.39648,0.21919,1.28446,1.74436,0.99282,9.81765e-05,9.81765e-05,9.81765e-05
15,3682.81,1.3032,1.82823,1.02024,0.62634,0.36715,0.39904,0.22013,1.28335,1.73979,0.99246,9.78873e-05,9.78873e-05,9.78873e-05
16,3923.06,1.302,1.8193,1.0193,0.63374,0.36563,0.40035,0.22107,1.28206,1.73581,0.99196,9.75773e-05,9.75773e-05,9.75773e-05
17,4163.49,1.30068,1.81488,1.01798,0.6325,0.36738,0.40182,0.22208,1.28105,1.73187,0.99127,9.72466e-05,9.72466e-05,9.72466e-05
18,4403.82,1.29901,1.81084,1.01758,0.63448,0.36896,0.40325,0.22293,1.27985,1.728,0.99079,9.68955e-05,9.68955e-05,9.68955e-05
19,4643.61,1.2979,1.80877,1.01667,0.63781,0.36982,0.40444,0.22383,1.27877,1.72377,0.9902,9.65239e-05,9.65239e-05,9.65239e-05
20,4883.78,1.29584,1.79871,1.01525,0.64043,0.37067,0.40634,0.22478,1.27765,1.7204,0.98969,9.61322e-05,9.61322e-05,9.61322e-05
21,5123.8,1.29529,1.796,1.01486,0.64122,0.37092,0.40788,0.22582,1.27668,1.71668,0.98892,9.57205e-05,9.57205e-05,9.57205e-05
22,5364.11,1.29457,1.79421,1.01308,0.64222,0.37257,0.40914,0.22668,1.27592,1.7129,0.98821,9.52889e-05,9.52889e-05,9.52889e-05
23,5604.55,1.29232,1.78731,1.0126,0.64392,0.37377,0.41059,0.22751,1.27475,1.70914,0.98756,9.48377e-05,9.48377e-05,9.48377e-05
24,5845.8,1.29264,1.78475,1.01285,0.64228,0.37868,0.41196,0.22836,1.27397,1.70598,0.98702,9.43671e-05,9.43671e-05,9.43671e-05
25,6086.28,1.29103,1.78068,1.01176,0.64076,0.38004,0.413,0.22922,1.27306,1.70283,0.98638,9.38772e-05,9.38772e-05,9.38772e-05
26,6326.45,1.2915,1.77823,1.01176,0.64725,0.37749,0.41377,0.22959,1.2723,1.69944,0.98573,9.33683e-05,9.33683e-05,9.33683e-05
27,6566.94,1.28789,1.77231,1.0105,0.64858,0.37828,0.415,0.23033,1.27169,1.69618,0.98526,9.28405e-05,9.28405e-05,9.28405e-05
28,6806.85,1.28759,1.77035,1.01057,0.64638,0.37901,0.41586,0.23104,1.27083,1.69313,0.9847,9.22942e-05,9.22942e-05,9.22942e-05
29,7046.35,1.28688,1.76389,1.00972,0.6467,0.37984,0.41739,0.23187,1.27036,1.69038,0.98419,9.17296e-05,9.17296e-05,9.17296e-05
30,7285.92,1.28891,1.76731,1.00986,0.64854,0.37825,0.41779,0.23242,1.27,1.6872,0.98359,9.11469e-05,9.11469e-05,9.11469e-05
31,7525.66,1.28671,1.761,1.00912,0.6487,0.38031,0.41904,0.23278,1.26969,1.68416,0.98309,9.05463e-05,9.05463e-05,9.05463e-05
32,7765.86,1.28468,1.75958,1.00833,0.64869,0.38365,0.41982,0.23337,1.26933,1.68155,0.98265,8.99282e-05,8.99282e-05,8.99282e-05
33,8005.83,1.28361,1.75512,1.00755,0.65389,0.38312,0.421,0.23385,1.26881,1.67919,0.98223,8.92928e-05,8.92928e-05,8.92928e-05
34,8245.84,1.28439,1.75521,1.00772,0.65068,0.38422,0.42201,0.23466,1.26847,1.67658,0.98175,8.86404e-05,8.86404e-05,8.86404e-05
35,8485.98,1.28553,1.75547,1.00801,0.65338,0.38536,0.42288,0.23513,1.268,1.67413,0.98135,8.79713e-05,8.79713e-05,8.79713e-05
