epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.164,1.47872,2.77796,1.10426,0.32408,0.242,0.22743,0.12435,1.43971,2.68631,1.05241,0.0800291,1.99909e-05,1.99909e-05
2,491.743,1.402,2.30077,1.06888,0.53509,0.29327,0.29587,0.16316,1.35681,2.12449,1.02912,0.0600491,3.99865e-05,3.99865e-05
3,728.367,1.36689,2.12412,1.05219,0.5907,0.31779,0.34123,0.18844,1.32943,1.93842,1.01443,0.0400691,5.99648e-05,5.99648e-05
4,959.601,1.34639,2.0325,1.04334,0.61812,0.32826,0.35742,0.19754,1.31526,1.87919,1.00521,0.020089,7.99127e-05,7.99127e-05
5,1187.55,1.33469,1.9746,1.03789,0.61665,0.341,0.3712,0.20445,1.30541,1.83195,1.00095,0.000108941,9.98173e-05,9.98173e-05
6,1414.76,1.32611,1.93189,1.03355,0.62482,0.34867,0.38025,0.20995,1.29657,1.80022,0.99799,9.97288e-05,9.97288e-05,9.97288e-05
7,1642.61,1.32031,1.90477,1.03083,0.61396,0.35742,0.38568,0.21381,1.29283,1.78043,0.99656,9.96097e-05,9.96097e-05,9.96097e-05
8,1870.11,1.31673,1.8866,1.02862,0.63536,0.35706,0.39123,0.21744,1.28823,1.76115,0.99464,9.9469e-05,9.9469e-05,9.9469e-05
9,2102.24,1.31216,1.86933,1.02645,0.64118,0.35755,0.3951,0.21918,1.28454,1.74874,0.99306,9.93068e-05,9.93068e-05,9.93068e-05
10,2333.58,1.30835,1.85114,1.02398,0.64183,0.35964,0.39866,0.22104,1.28286,1.73761,0.99153,9.91232e-05,9.91232e-05,9.91232e-05
11,2565.36,1.30588,1.83811,1.0228,0.64018,0.36399,0.40103,0.22304,1.28112,1.7284,0.99071,9.89183e-05,9.89183e-05,9.89183e-05
12,2793.25,1.30259,1.82509,1.02077,0.64649,0.3652,0.40285,0.22425,1.27929,1.7211,0.98957,9.86922e-05,9.86922e-05,9.86922e-05
13,3020.52,1.30073,1.81906,1.01976,0.64533,0.36748,0.40504,0.22552,1.27822,1.71539,0.98889,9.84449e-05,9.84449e-05,9.84449e-05
14,3247.61,1.29859,1.81192,1.01921,0.64258,0.36964,0.40732,0.22673,1.27706,1.71196,0.98831,9.81765e-05,9.81765e-05,9.81765e-05
15,3474.6,1.29613,1.80464,1.01759,0.64263,0.3719,0.40876,0.2275,1.2762,1.70911,0.98787,9.78873e-05,9.78873e-05,9.78873e-05
16,3701.71,1.29585,1.79832,1.01664,0.64344,0.3708,0.40986,0.22815,1.2755,1.70557,0.98742,9.75773e-05,9.75773e-05,9.75773e-05
17,3930.82,1.29296,1.78982,1.01528,0.64386,0.3707,0.41073,0.22869,1.27477,1.70229,0.98705,9.72466e-05,9.72466e-05,9.72466e-05
18,4161.7,1.29395,1.78728,1.01495,0.63764,0.37309,0.41172,0.22925,1.27419,1.69919,0.98665,9.68955e-05,9.68955e-05,9.68955e-05
