epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,995.13,1.47505,1.12077,1.12751,0.63656,0.40084,0.42731,0.23297,1.44659,0.99177,1.08222,0.0800246,1.99954e-05,1.99954e-05
2,1983.83,1.42062,0.978,1.09484,0.68977,0.44077,0.48552,0.27429,1.41457,0.91303,1.07186,0.0600446,3.99911e-05,3.99911e-05
3,2950.7,1.4059,0.93869,1.0868,0.7098,0.44932,0.50928,0.28985,1.39682,0.87692,1.0606,0.0400645,5.99694e-05,5.99694e-05
4,3916.3,1.39571,0.91511,1.08004,0.70545,0.46748,0.52156,0.29703,1.38874,0.85683,1.05627,0.0200845,7.99173e-05,7.99173e-05
5,4864.09,1.38703,0.8963,1.07492,0.71333,0.47407,0.52853,0.30245,1.38213,0.84268,1.05094,0.000104393,9.98218e-05,9.98218e-05
6,5811.98,1.38148,0.88314,1.07104,0.71456,0.48122,0.536,0.30642,1.37811,0.83316,1.04897,9.97288e-05,9.97288e-05,9.97288e-05
7,6754.17,1.37785,0.87442,1.0691,0.72835,0.48222,0.54175,0.31076,1.37678,0.82721,1.048,9.96097e-05,9.96097e-05,9.96097e-05
8,7705.59,1.37377,0.86707,1.06667,0.72323,0.48797,0.54736,0.3149,1.37478,0.82188,1.04692,9.9469e-05,9.9469e-05,9.9469e-05
9,8654.19,1.37115,0.86052,1.06468,0.73529,0.48643,0.55029,0.31669,1.37277,0.81794,1.04512,9.93068e-05,9.93068e-05,9.93068e-05
10,9601.62,1.36755,0.85559,1.06262,0.72462,0.49343,0.55281,0.31866,1.37104,0.8149,1.04402,9.91232e-05,9.91232e-05,9.91232e-05
11,10546.4,1.36427,0.85079,1.06061,0.7294,0.49278,0.55465,0.31931,1.36988,0.81293,1.04328,9.89183e-05,9.89183e-05,9.89183e-05
12,11493.2,1.36277,0.84641,1.05925,0.72753,0.4952,0.55487,0.31973,1.36875,0.81098,1.04275,9.86922e-05,9.86922e-05,9.86922e-05
13,12439.2,1.36067,0.84306,1.05777,0.72941,0.49643,0.55565,0.31979,1.36797,0.80934,1.04216,9.84449e-05,9.84449e-05,9.84449e-05
14,13387.6,1.35962,0.84059,1.05684,0.72888,0.49663,0.55598,0.32045,1.36746,0.80792,1.04166,9.81765e-05,9.81765e-05,9.81765e-05
15,14332.8,1.35734,0.83647,1.0557,0.73103,0.49877,0.55789,0.32168,1.36702,0.80648,1.04124,9.78873e-05,9.78873e-05,9.78873e-05
16,15275.3,1.35518,0.83421,1.05334,0.73108,0.49974,0.55889,0.32255,1.36662,0.80533,1.04076,9.75773e-05,9.75773e-05,9.75773e-05
17,16220.8,1.35404,0.83112,1.05293,0.72749,0.50387,0.55931,0.32298,1.36577,0.8042,1.04015,9.72466e-05,9.72466e-05,9.72466e-05
18,17162.8,1.35474,0.83009,1.05196,0.73183,0.5006,0.55994,0.32362,1.36523,0.80322,1.03971,9.68955e-05,9.68955e-05,9.68955e-05
19,18109.5,1.35224,0.82652,1.0515,0.73223,0.50075,0.56055,0.3245,1.36475,0.80238,1.0393,9.65239e-05,9.65239e-05,9.65239e-05
20,19052.6,1.35205,0.82606,1.05077,0.73396,0.50035,0.56111,0.32498,1.36428,0.80166,1.03893,9.61322e-05,9.61322e-05,9.61322e-05
21,19997.6,1.34925,0.82226,1.04922,0.7343,0.50004,0.56138,0.32531,1.36377,0.80075,1.03856,9.57205e-05,9.57205e-05,9.57205e-05
22,20940.4,1.34625,0.82005,1.04882,0.72938,0.50164,0.5617,0.3256,1.3635,0.79994,1.03827,9.52889e-05,9.52889e-05,9.52889e-05
23,21886.9,1.34721,0.81903,1.04804,0.72905,0.50228,0.56305,0.32568,1.36308,0.79922,1.03785,9.48377e-05,9.48377e-05,9.48377e-05
24,22832.3,1.34623,0.81737,1.04652,0.61367,0.51933,0.56474,0.32631,1.36284,0.79846,1.03735,9.43671e-05,9.43671e-05,9.43671e-05
25,23775.3,1.34535,0.81553,1.04561,0.62568,0.52161,0.56536,0.32801,1.36237,0.79786,1.03678,9.38772e-05,9.38772e-05,9.38772e-05
26,24718.5,1.34256,0.81372,1.04532,0.63274,0.52236,0.56607,0.32809,1.36213,0.79704,1.03639,9.33683e-05,9.33683e-05,9.33683e-05
27,25662.9,1.34395,0.81215,1.04413,0.63402,0.52782,0.56941,0.33044,1.3618,0.79625,1.03595,9.28405e-05,9.28405e-05,9.28405e-05
28,26608.9,1.34238,0.81038,1.04299,0.64111,0.52772,0.56683,0.32914,1.36141,0.79556,1.03535,9.22942e-05,9.22942e-05,9.22942e-05
29,27551.2,1.34093,0.80817,1.0424,0.6405,0.52584,0.56755,0.32948,1.36107,0.79506,1.03492,9.17296e-05,9.17296e-05,9.17296e-05
30,28493.4,1.34265,0.80877,1.04239,0.64375,0.52364,0.56797,0.33002,1.36091,0.7943,1.03447,9.11469e-05,9.11469e-05,9.11469e-05
31,29435.3,1.34002,0.80624,1.04079,0.64954,0.52248,0.57255,0.33258,1.36064,0.79384,1.03401,9.05463e-05,9.05463e-05,9.05463e-05
32,30380.3,1.3391,0.80467,1.04002,0.65877,0.52875,0.57242,0.33282,1.36044,0.79338,1.03353,8.99282e-05,8.99282e-05,8.99282e-05
33,31324.2,1.3381,0.80293,1.03999,0.65856,0.52753,0.57335,0.33411,1.36051,0.79273,1.03321,8.92928e-05,8.92928e-05,8.92928e-05
34,32266.8,1.33854,0.80323,1.04,0.68648,0.51163,0.57485,0.33527,1.36036,0.79223,1.0328,8.86404e-05,8.86404e-05,8.86404e-05
35,33213,1.33697,0.80129,1.04009,0.69093,0.50943,0.57541,0.33528,1.36056,0.79165,1.03274,8.79713e-05,8.79713e-05,8.79713e-05
36,34155.2,1.33664,0.80023,1.03862,0.6865,0.50962,0.57618,0.33473,1.36044,0.7912,1.03241,8.72857e-05,8.72857e-05,8.72857e-05
37,35098,1.33689,0.79874,1.03836,0.6851,0.51078,0.57879,0.33693,1.36031,0.79057,1.03219,8.65839e-05,8.65839e-05,8.65839e-05
38,36040.7,1.33365,0.79623,1.03675,0.68586,0.51292,0.57639,0.33595,1.36025,0.79009,1.03178,8.58664e-05,8.58664e-05,8.58664e-05
39,36984,1.33451,0.7966,1.03766,0.68141,0.51586,0.57675,0.33625,1.36026,0.78983,1.03152,8.51333e-05,8.51333e-05,8.51333e-05
40,37925.9,1.33251,0.7951,1.03622,0.68313,0.51753,0.57758,0.33622,1.36019,0.78937,1.03108,8.43851e-05,8.43851e-05,8.43851e-05
41,38868.2,1.33327,0.79416,1.03698,0.68325,0.51753,0.57703,0.33578,1.36021,0.78897,1.03091,8.3622e-05,8.3622e-05,8.3622e-05
42,39813.4,1.33191,0.79255,1.03466,0.69929,0.5144,0.57732,0.33657,1.36012,0.7885,1.03065,8.28443e-05,8.28443e-05,8.28443e-05
43,40755.8,1.33028,0.7922,1.03473,0.70001,0.51524,0.57838,0.33693,1.36007,0.7882,1.03037,8.20525e-05,8.20525e-05,8.20525e-05
44,41697.3,1.33066,0.79031,1.03434,0.69433,0.51787,0.57652,0.33468,1.36003,0.78804,1.03008,8.12468e-05,8.12468e-05,8.12468e-05
45,42641.7,1.33122,0.7909,1.03494,0.69019,0.51682,0.57625,0.33409,1.35995,0.78767,1.02995,8.04277e-05,8.04277e-05,8.04277e-05
46,43584.4,1.3308,0.78914,1.03333,0.6893,0.51709,0.5759,0.33409,1.36,0.78746,1.02979,7.95954e-05,7.95954e-05,7.95954e-05
47,44528.3,1.32725,0.78682,1.03294,0.68438,0.51928,0.57578,0.33394,1.36021,0.78734,1.02967,7.87503e-05,7.87503e-05,7.87503e-05
