epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,988.573,1.38496,3.3555,1.50635,0.63827,0.415,0.447,0.24781,1.35734,2.92519,1.45845,0.0800246,1.99954e-05,1.99954e-05
2,1967.43,1.33485,2.92529,1.46439,0.69136,0.43255,0.48425,0.27087,1.3225,2.74585,1.43203,0.0600446,3.99911e-05,3.99911e-05
3,2922.81,1.32126,2.81041,1.45227,0.7072,0.45288,0.51082,0.28621,1.31299,2.62464,1.42098,0.0400645,5.99694e-05,5.99694e-05
4,3872.93,1.3131,2.73667,1.44555,0.70617,0.47018,0.52498,0.29742,1.30278,2.56932,1.41458,0.0200845,7.99173e-05,7.99173e-05
5,4822.89,1.3055,2.68046,1.43889,0.71945,0.47378,0.5339,0.30391,1.29716,2.52493,1.40852,0.000104385,9.98218e-05,9.98218e-05
6,5775.59,1.29955,2.64397,1.43434,0.71851,0.48308,0.54391,0.30914,1.29362,2.49711,1.40621,9.97288e-05,9.97288e-05,9.97288e-05
7,6725.41,1.29683,2.62082,1.4306,0.69488,0.50412,0.55152,0.31461,1.29026,2.47828,1.40216,9.96097e-05,9.96097e-05,9.96097e-05
8,7676.64,1.29177,2.59265,1.42595,0.67467,0.51417,0.55617,0.31954,1.28865,2.46166,1.40043,9.9469e-05,9.9469e-05,9.9469e-05
9,8623.17,1.29027,2.58278,1.42555,0.69063,0.49938,0.55918,0.32129,1.28763,2.45083,1.39961,9.93068e-05,9.93068e-05,9.93068e-05
10,9569.56,1.28811,2.56643,1.42325,0.66916,0.51095,0.56153,0.32474,1.2862,2.44295,1.3986,9.91232e-05,9.91232e-05,9.91232e-05
11,10516.4,1.28479,2.54977,1.41952,0.69681,0.50239,0.56314,0.32593,1.28514,2.43573,1.39717,9.89183e-05,9.89183e-05,9.89183e-05
12,11462.9,1.28242,2.5354,1.41736,0.68331,0.52137,0.56446,0.327,1.2843,2.43097,1.39634,9.86922e-05,9.86922e-05,9.86922e-05
13,12409.7,1.28212,2.52976,1.41805,0.67045,0.53925,0.56876,0.33018,1.2837,2.4268,1.39597,9.84449e-05,9.84449e-05,9.84449e-05
14,13356.4,1.2813,2.52649,1.41815,0.68689,0.52305,0.56627,0.32863,1.28316,2.42319,1.39575,9.81765e-05,9.81765e-05,9.81765e-05
15,14303,1.27861,2.51223,1.41562,0.63081,0.53515,0.5683,0.33102,1.28258,2.41972,1.3953,9.78873e-05,9.78873e-05,9.78873e-05
16,15249.4,1.2776,2.50356,1.41554,0.64314,0.53558,0.56716,0.33004,1.28196,2.4167,1.39495,9.75773e-05,9.75773e-05,9.75773e-05
17,16196.7,1.27716,2.4944,1.41276,0.64885,0.53235,0.568,0.33038,1.28155,2.41383,1.39456,9.72466e-05,9.72466e-05,9.72466e-05
18,17143.5,1.27493,2.48758,1.40959,0.66045,0.52904,0.5687,0.33089,1.28099,2.41199,1.39392,9.68955e-05,9.68955e-05,9.68955e-05
19,18091,1.27525,2.48084,1.40851,0.67149,0.52382,0.56952,0.33114,1.28049,2.40914,1.39334,9.65239e-05,9.65239e-05,9.65239e-05
20,19037.7,1.27442,2.47784,1.40832,0.68203,0.52067,0.57017,0.33094,1.28009,2.40751,1.39267,9.61322e-05,9.61322e-05,9.61322e-05
21,19984.6,1.27209,2.4667,1.40712,0.68434,0.52037,0.57065,0.33081,1.27966,2.4049,1.3921,9.57205e-05,9.57205e-05,9.57205e-05
22,20931.8,1.2711,2.46297,1.40645,0.68524,0.51882,0.57088,0.33061,1.27934,2.40236,1.39162,9.52889e-05,9.52889e-05,9.52889e-05
23,21878.5,1.26853,2.45629,1.40522,0.68793,0.51923,0.57123,0.33112,1.279,2.40029,1.39123,9.48377e-05,9.48377e-05,9.48377e-05
24,22824.4,1.26788,2.44844,1.40298,0.69461,0.5172,0.57186,0.33154,1.27842,2.39764,1.39056,9.43671e-05,9.43671e-05,9.43671e-05
25,23771.7,1.26955,2.44739,1.4041,0.69833,0.51791,0.57237,0.33075,1.27806,2.39595,1.39012,9.38772e-05,9.38772e-05,9.38772e-05
26,24718.5,1.26813,2.44141,1.40255,0.69752,0.51735,0.57245,0.33217,1.27763,2.39407,1.38957,9.33683e-05,9.33683e-05,9.33683e-05
27,25664.9,1.26721,2.43372,1.4015,0.69762,0.51993,0.57329,0.33238,1.27736,2.39266,1.38916,9.28405e-05,9.28405e-05,9.28405e-05
28,26611.7,1.2661,2.43086,1.40129,0.69532,0.52122,0.57337,0.33245,1.27705,2.39113,1.38886,9.22942e-05,9.22942e-05,9.22942e-05
29,27558.7,1.26514,2.42642,1.39975,0.69081,0.52419,0.57402,0.33199,1.27678,2.38938,1.38835,9.17296e-05,9.17296e-05,9.17296e-05
30,28506.2,1.26648,2.42668,1.39998,0.6852,0.52521,0.57383,0.33191,1.27653,2.38768,1.38777,9.11469e-05,9.11469e-05,9.11469e-05
31,29452.9,1.265,2.42037,1.39634,0.68372,0.52707,0.57437,0.33228,1.27631,2.38579,1.38709,9.05463e-05,9.05463e-05,9.05463e-05
32,30399.3,1.26371,2.41198,1.39841,0.6909,0.52438,0.57435,0.33198,1.27604,2.38433,1.38666,8.99282e-05,8.99282e-05,8.99282e-05
33,31346.4,1.26339,2.41027,1.39643,0.69401,0.5233,0.57488,0.3322,1.27577,2.38255,1.38607,8.92928e-05,8.92928e-05,8.92928e-05
34,32293.1,1.26265,2.40899,1.39578,0.6938,0.52401,0.57516,0.33234,1.27553,2.38127,1.38558,8.86404e-05,8.86404e-05,8.86404e-05
35,33239.8,1.26334,2.40494,1.39701,0.69311,0.5261,0.57522,0.33297,1.2755,2.37974,1.38521,8.79713e-05,8.79713e-05,8.79713e-05
36,34186.9,1.26167,2.40011,1.39573,0.68934,0.53012,0.57555,0.33324,1.27538,2.37822,1.38487,8.72857e-05,8.72857e-05,8.72857e-05
37,35133.7,1.26136,2.39634,1.39576,0.68521,0.53098,0.57617,0.3331,1.2752,2.37707,1.38448,8.65839e-05,8.65839e-05,8.65839e-05
38,36080.9,1.26111,2.39148,1.39368,0.67888,0.53127,0.57576,0.33306,1.27493,2.37563,1.38403,8.58664e-05,8.58664e-05,8.58664e-05
39,37027.3,1.26114,2.39106,1.39353,0.67556,0.53309,0.57584,0.33293,1.27484,2.37442,1.3836,8.51333e-05,8.51333e-05,8.51333e-05
40,37974.1,1.25863,2.38329,1.39328,0.6731,0.53343,0.57586,0.33246,1.27466,2.37375,1.38326,8.43851e-05,8.43851e-05,8.43851e-05
41,38920.7,1.25756,2.37893,1.39168,0.67293,0.53184,0.57587,0.33232,1.27442,2.37277,1.38286,8.3622e-05,8.3622e-05,8.3622e-05
42,39867.9,1.25753,2.37686,1.3921,0.6855,0.5195,0.57364,0.3312,1.27425,2.37204,1.38272,8.28443e-05,8.28443e-05,8.28443e-05
43,40814.3,1.25915,2.3781,1.39275,0.66224,0.53132,0.57389,0.33134,1.27424,2.37099,1.38246,8.20525e-05,8.20525e-05,8.20525e-05
44,41761.3,1.25701,2.37123,1.39071,0.65504,0.53076,0.57388,0.33095,1.27421,2.37018,1.38201,8.12468e-05,8.12468e-05,8.12468e-05
45,42708.5,1.25808,2.37154,1.39145,0.65596,0.53013,0.5738,0.3311,1.27412,2.36946,1.38178,8.04277e-05,8.04277e-05,8.04277e-05
46,43655.8,1.25584,2.36473,1.38915,0.65974,0.52901,0.57324,0.33058,1.27419,2.36843,1.38157,7.95954e-05,7.95954e-05,7.95954e-05
47,44602.6,1.25789,2.36437,1.38987,0.65229,0.53046,0.57384,0.33076,1.27394,2.36766,1.38112,7.87503e-05,7.87503e-05,7.87503e-05
48,45549.4,1.2562,2.36039,1.39088,0.6551,0.5299,0.57327,0.33003,1.27384,2.36695,1.38104,7.78929e-05,7.78929e-05,7.78929e-05
49,46496.2,1.25599,2.35797,1.38911,0.66095,0.53076,0.57335,0.32963,1.27385,2.36655,1.38086,7.70234e-05,7.70234e-05,7.70234e-05
50,47443.1,1.25557,2.35719,1.38857,0.67362,0.52703,0.57323,0.32994,1.2739,2.36627,1.38065,7.61423e-05,7.61423e-05,7.61423e-05
51,48388.8,1.25461,2.35443,1.38877,0.62624,0.54649,0.57351,0.32969,1.27414,2.36604,1.38062,7.525e-05,7.525e-05,7.525e-05
52,49335.6,1.25458,2.35248,1.38771,0.5968,0.54049,0.57382,0.32983,1.27421,2.36592,1.38053,7.43468e-05,7.43468e-05,7.43468e-05
53,50282.8,1.25462,2.34655,1.38711,0.61986,0.52252,0.5731,0.32984,1.27418,2.36583,1.38027,7.34332e-05,7.34332e-05,7.34332e-05
54,51230.2,1.25473,2.3477,1.38675,0.60657,0.54091,0.57335,0.33013,1.27411,2.3651,1.38005,7.25094e-05,7.25094e-05,7.25094e-05
55,52176.9,1.2541,2.34363,1.38637,0.61412,0.53786,0.57336,0.33019,1.27414,2.36538,1.3799,7.15761e-05,7.15761e-05,7.15761e-05
56,53123.6,1.25261,2.33861,1.38476,0.62694,0.54545,0.57316,0.33042,1.27401,2.36464,1.37957,7.06335e-05,7.06335e-05,7.06335e-05
