epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,409.739,1.3418,2.07661,1.05475,0.62511,0.36792,0.40443,0.22502,1.27888,1.79053,1.00039,0.0800223,1.99977e-05,1.99977e-05
2,785.081,1.28791,1.83308,1.02668,0.66599,0.40801,0.45023,0.25413,1.2439,1.63706,0.98595,0.0600423,3.99934e-05,3.99934e-05
3,1152.16,1.26868,1.75771,1.01693,0.68627,0.41729,0.46757,0.2629,1.23169,1.58905,0.98088,0.0400623,5.99717e-05,5.99717e-05
4,1516.4,1.25857,1.71375,1.01134,0.68428,0.42897,0.47621,0.26839,1.22459,1.56115,0.97798,0.0200822,7.99196e-05,7.99196e-05
5,1878.75,1.24914,1.67919,1.00783,0.68397,0.43591,0.48382,0.27292,1.21992,1.53998,0.97547,0.000102106,9.98241e-05,9.98241e-05
6,2240.46,1.24288,1.65626,1.00446,0.69408,0.43753,0.48802,0.27543,1.21598,1.52754,0.97356,9.97288e-05,9.97288e-05,9.97288e-05
7,2605.18,1.23807,1.64044,1.00226,0.69692,0.43974,0.49138,0.2781,1.21389,1.51792,0.97261,9.96097e-05,9.96097e-05,9.96097e-05
8,2966.39,1.23516,1.62542,0.99946,0.70181,0.44067,0.49429,0.28018,1.21243,1.51003,0.97143,9.9469e-05,9.9469e-05,9.9469e-05
9,3325.61,1.23085,1.61271,0.99734,0.70281,0.4435,0.49787,0.28203,1.211,1.50391,0.97058,9.93068e-05,9.93068e-05,9.93068e-05
10,3685.11,1.22969,1.60843,0.99668,0.70791,0.44198,0.49956,0.28354,1.2097,1.49875,0.96984,9.91232e-05,9.91232e-05,9.91232e-05
11,4044.56,1.22672,1.59918,0.99557,0.70863,0.44384,0.50118,0.28449,1.20851,1.49518,0.96935,9.89183e-05,9.89183e-05,9.89183e-05
