epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5515,1.04684,1.13007,1.16735,0.73642,0.68997,0.76109,0.5824,0.95823,0.77439,1.049,5.95e-06,5.95e-06,5.95e-06
2,12.8201,1.02101,1.07582,1.18714,0.74817,0.68676,0.76826,0.58848,0.9498,0.76009,1.04453,1.30283e-05,1.30283e-05,1.30283e-05
3,14.1272,1.08909,1.08356,1.16779,0.75923,0.70478,0.77621,0.59797,0.93467,0.73913,1.03365,2.00393e-05,2.00393e-05,2.00393e-05
4,15.4323,0.99017,0.91694,1.13972,0.77172,0.71902,0.78386,0.61082,0.91128,0.71609,1.01917,2.69829e-05,2.69829e-05,2.69829e-05
5,16.7634,1.02974,0.92296,1.15727,0.83324,0.70817,0.79509,0.6225,0.89378,0.69012,1.0069,3.38592e-05,3.38592e-05,3.38592e-05
6,18.0471,1.03406,0.86944,1.13492,0.83986,0.71498,0.81494,0.63346,0.88844,0.67057,1.00416,4.06683e-05,4.06683e-05,4.06683e-05
7,19.3251,0.99153,0.85424,1.13607,0.81627,0.7471,0.82673,0.64668,0.8825,0.65117,0.99913,4.74099e-05,4.74099e-05,4.74099e-05
8,20.6088,1.00559,0.85242,1.1116,0.80393,0.76976,0.83237,0.6502,0.87352,0.62749,0.99606,5.40843e-05,5.40843e-05,5.40843e-05
9,21.9263,0.94399,0.75991,1.09374,0.84126,0.75954,0.84703,0.65814,0.86156,0.61208,0.98945,6.06914e-05,6.06914e-05,6.06914e-05
10,23.204,0.94712,0.777,1.08163,0.83748,0.76751,0.85487,0.66925,0.86036,0.59577,0.9852,6.72311e-05,6.72311e-05,6.72311e-05
11,24.4617,0.96774,0.74086,1.07035,0.85022,0.78057,0.86209,0.67152,0.85204,0.58449,0.98109,7.37035e-05,7.37035e-05,7.37035e-05
12,25.7389,0.94133,0.77198,1.09527,0.86811,0.76683,0.8623,0.6774,0.84296,0.57298,0.97456,8.01086e-05,8.01086e-05,8.01086e-05
13,27.0462,0.86838,0.70814,1.03516,0.87665,0.77915,0.86934,0.69364,0.8124,0.55385,0.96057,8.64464e-05,8.64464e-05,8.64464e-05
14,28.3208,0.83257,0.70726,1.03013,0.82405,0.8002,0.87076,0.69622,0.80442,0.54531,0.95463,9.27168e-05,9.27168e-05,9.27168e-05
15,29.5723,0.89056,0.6808,1.06517,0.88854,0.7704,0.88511,0.7096,0.80081,0.53363,0.95003,9.89199e-05,9.89199e-05,9.89199e-05
16,30.8434,0.84876,0.65864,1.03265,0.81733,0.81381,0.88143,0.70948,0.79667,0.52962,0.95128,0.000105056,0.000105056,0.000105056
17,32.1121,0.82835,0.65283,1.03007,0.81737,0.81643,0.88402,0.716,0.79249,0.53381,0.95206,0.000110024,0.000110024,0.000110024
18,33.3873,0.86128,0.68879,1.04252,0.83509,0.82737,0.8885,0.72207,0.78027,0.52269,0.94619,0.000109463,0.000109463,0.000109463
19,34.6546,0.87193,0.69738,1.05618,0.88941,0.79384,0.89294,0.72919,0.76215,0.51037,0.93941,0.000108902,0.000108902,0.000108902
20,35.92,0.82014,0.64898,1.03124,0.88415,0.81196,0.89556,0.73338,0.74402,0.49908,0.93085,0.000108341,0.000108341,0.000108341
21,37.1819,0.85655,0.66303,1.01678,0.92816,0.80222,0.89878,0.74131,0.73121,0.49234,0.92669,0.00010778,0.00010778,0.00010778
22,38.453,0.8151,0.66378,1.01915,0.87446,0.83853,0.90473,0.74276,0.73352,0.48476,0.92628,0.000107219,0.000107219,0.000107219
23,39.7219,0.79166,0.6219,1.00544,0.87545,0.84037,0.90095,0.75323,0.72695,0.47914,0.9227,0.000106658,0.000106658,0.000106658
24,40.9902,0.78634,0.61,1.01072,0.89424,0.82713,0.89602,0.74816,0.72207,0.47196,0.91679,0.000106097,0.000106097,0.000106097
25,42.2274,0.81459,0.62639,1.02089,0.91172,0.82063,0.90103,0.75294,0.7166,0.46742,0.91316,0.000105536,0.000105536,0.000105536
26,43.4566,0.80418,0.6308,1.01394,0.92231,0.82012,0.91493,0.7633,0.70729,0.46358,0.90954,0.000104975,0.000104975,0.000104975
27,44.7643,0.78418,0.5895,0.99815,0.90981,0.84911,0.91459,0.76529,0.69654,0.46041,0.90516,0.000104414,0.000104414,0.000104414
28,46.0441,0.79367,0.5956,0.98615,0.90679,0.84919,0.9146,0.76667,0.69552,0.46325,0.90498,0.000103853,0.000103853,0.000103853
29,47.3098,0.76589,0.58355,0.98743,0.91729,0.84441,0.91697,0.76733,0.69007,0.4552,0.90447,0.000103292,0.000103292,0.000103292
30,48.5581,0.7669,0.59947,0.99133,0.90861,0.8537,0.91664,0.76768,0.67909,0.44607,0.90007,0.000102731,0.000102731,0.000102731
31,49.864,0.74855,0.56868,0.97536,0.91147,0.84607,0.91827,0.76959,0.67133,0.44303,0.89612,0.00010217,0.00010217,0.00010217
32,51.1227,0.76897,0.57697,0.98886,0.9173,0.84892,0.91768,0.77569,0.66594,0.44037,0.8949,0.000101609,0.000101609,0.000101609
33,52.3837,0.74222,0.56289,0.96265,0.92126,0.85574,0.91815,0.78205,0.66019,0.43787,0.89325,0.000101048,0.000101048,0.000101048
34,53.6393,0.72199,0.5673,0.99122,0.91438,0.8565,0.91829,0.78314,0.66115,0.44013,0.89278,0.000100487,0.000100487,0.000100487
35,54.9375,0.74075,0.58047,0.97899,0.92178,0.85119,0.91287,0.77822,0.66162,0.43523,0.8929,9.9926e-05,9.9926e-05,9.9926e-05
36,56.1765,0.74444,0.56649,1.00104,0.92483,0.8472,0.92414,0.78205,0.65586,0.42785,0.89034,9.9365e-05,9.9365e-05,9.9365e-05
37,57.4152,0.76201,0.55247,0.97453,0.88916,0.8755,0.91577,0.78446,0.64607,0.42259,0.88813,9.8804e-05,9.8804e-05,9.8804e-05
38,58.6865,0.74087,0.54726,0.97558,0.93272,0.84988,0.91945,0.78305,0.64755,0.42128,0.88976,9.8243e-05,9.8243e-05,9.8243e-05
39,59.9121,0.70878,0.52847,0.96602,0.93533,0.85098,0.92696,0.78331,0.63572,0.41484,0.88383,9.7682e-05,9.7682e-05,9.7682e-05
40,61.149,0.7307,0.58388,0.97908,0.92913,0.85521,0.92704,0.78675,0.62631,0.41119,0.87781,9.7121e-05,9.7121e-05,9.7121e-05
41,62.4496,0.7454,0.53655,0.95675,0.93664,0.85521,0.92908,0.79069,0.62303,0.41072,0.87493,9.656e-05,9.656e-05,9.656e-05
42,63.7135,0.70446,0.52135,0.96894,0.9406,0.85046,0.92952,0.79408,0.62744,0.409,0.8756,9.5999e-05,9.5999e-05,9.5999e-05
43,64.9777,0.67729,0.50913,0.96305,0.92722,0.86634,0.92197,0.79314,0.62414,0.40602,0.87349,9.5438e-05,9.5438e-05,9.5438e-05
44,66.2101,0.68919,0.53728,0.96936,0.94118,0.86261,0.93228,0.80328,0.61878,0.40427,0.87146,9.4877e-05,9.4877e-05,9.4877e-05
45,67.4753,0.72387,0.54499,0.97625,0.93692,0.8634,0.93263,0.80203,0.61118,0.403,0.869,9.4316e-05,9.4316e-05,9.4316e-05
46,68.7595,0.72715,0.54906,0.9706,0.93032,0.8711,0.93328,0.80393,0.60311,0.39757,0.86771,9.3755e-05,9.3755e-05,9.3755e-05
47,70.0161,0.69637,0.50062,0.96062,0.92879,0.87145,0.93326,0.80701,0.59841,0.39492,0.86828,9.3194e-05,9.3194e-05,9.3194e-05
48,71.2839,0.6981,0.52854,0.96186,0.92755,0.87205,0.93476,0.81081,0.59583,0.39281,0.86711,9.2633e-05,9.2633e-05,9.2633e-05
49,72.5516,0.70672,0.51816,0.96378,0.92274,0.88127,0.93853,0.81157,0.59602,0.38634,0.86525,9.2072e-05,9.2072e-05,9.2072e-05
50,73.8504,0.69403,0.52611,0.9571,0.94177,0.86519,0.9394,0.81344,0.59109,0.38401,0.86387,9.1511e-05,9.1511e-05,9.1511e-05
51,75.1188,0.68816,0.50952,0.94577,0.93629,0.86935,0.93595,0.8163,0.5841,0.38428,0.86373,9.095e-05,9.095e-05,9.095e-05
52,76.3886,0.683,0.50065,0.9562,0.92832,0.87524,0.93756,0.8136,0.58468,0.38984,0.86417,9.0389e-05,9.0389e-05,9.0389e-05
53,77.6164,0.70078,0.52132,0.95493,0.94066,0.87097,0.94082,0.81767,0.58341,0.38743,0.8628,8.9828e-05,8.9828e-05,8.9828e-05
54,78.889,0.71375,0.54597,0.97562,0.91901,0.87632,0.94074,0.82078,0.57391,0.38333,0.85966,8.9267e-05,8.9267e-05,8.9267e-05
55,80.1857,0.6847,0.49873,0.94694,0.90362,0.88327,0.94034,0.82219,0.56994,0.38212,0.85676,8.8706e-05,8.8706e-05,8.8706e-05
56,81.4499,0.68952,0.50783,0.95394,0.93472,0.87028,0.93767,0.81903,0.5729,0.38245,0.85655,8.8145e-05,8.8145e-05,8.8145e-05
57,82.693,0.64975,0.48446,0.93719,0.92061,0.88798,0.93946,0.82187,0.57046,0.37747,0.85673,8.7584e-05,8.7584e-05,8.7584e-05
58,83.9398,0.68432,0.48911,0.94401,0.94201,0.88064,0.93989,0.82143,0.5693,0.37752,0.8554,8.7023e-05,8.7023e-05,8.7023e-05
59,85.1815,0.71144,0.53432,0.96985,0.95043,0.87654,0.94103,0.82183,0.57417,0.3787,0.85636,8.6462e-05,8.6462e-05,8.6462e-05
60,86.4364,0.72066,0.50772,0.9622,0.94439,0.88237,0.94204,0.82035,0.57679,0.37706,0.85839,8.5901e-05,8.5901e-05,8.5901e-05
61,87.6811,0.65627,0.48263,0.93909,0.94895,0.87998,0.94404,0.82037,0.57774,0.37128,0.85821,8.534e-05,8.534e-05,8.534e-05
62,88.9228,0.68588,0.49099,0.93579,0.94789,0.8826,0.94426,0.82147,0.56937,0.36531,0.85435,8.4779e-05,8.4779e-05,8.4779e-05
63,90.1522,0.61537,0.46338,0.94142,0.95421,0.8809,0.94561,0.82685,0.55309,0.36013,0.84783,8.4218e-05,8.4218e-05,8.4218e-05
64,91.413,0.65575,0.46657,0.94099,0.95268,0.87992,0.9441,0.82505,0.54886,0.3572,0.84666,8.3657e-05,8.3657e-05,8.3657e-05
65,92.6357,0.6191,0.46791,0.9352,0.94908,0.88125,0.94408,0.82666,0.54858,0.35742,0.84898,8.3096e-05,8.3096e-05,8.3096e-05
66,93.8829,0.64593,0.48135,0.94491,0.95209,0.88603,0.94331,0.81995,0.55086,0.3605,0.85096,8.2535e-05,8.2535e-05,8.2535e-05
67,95.1286,0.66187,0.48303,0.9377,0.95407,0.88592,0.94424,0.82611,0.54985,0.36158,0.85228,8.1974e-05,8.1974e-05,8.1974e-05
68,96.3788,0.65044,0.48315,0.95348,0.95191,0.88526,0.94423,0.8264,0.54007,0.36154,0.85122,8.1413e-05,8.1413e-05,8.1413e-05
69,97.6158,0.63971,0.4596,0.92493,0.94699,0.88169,0.94469,0.82804,0.53707,0.36107,0.8507,8.0852e-05,8.0852e-05,8.0852e-05
