epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5344,0.50722,0.38303,0.88842,0.95232,0.90704,0.96118,0.88151,0.39746,0.28141,0.80404,5.95e-06,5.95e-06,5.95e-06
2,12.7969,0.48243,0.36343,0.88659,0.95743,0.9052,0.96012,0.8827,0.3978,0.28409,0.80356,1.30283e-05,1.30283e-05,1.30283e-05
3,14.13,0.51297,0.37068,0.88176,0.96245,0.90262,0.95857,0.88095,0.39564,0.28248,0.80333,2.00393e-05,2.00393e-05,2.00393e-05
4,15.3871,0.47146,0.35553,0.88522,0.95178,0.90808,0.96112,0.88094,0.39528,0.2809,0.8029,2.69829e-05,2.69829e-05,2.69829e-05
5,16.6492,0.49019,0.35409,0.89055,0.9489,0.90207,0.96221,0.88126,0.39772,0.28237,0.80378,3.38592e-05,3.38592e-05,3.38592e-05
6,17.8873,0.50083,0.35893,0.88408,0.94653,0.90901,0.96248,0.88292,0.39589,0.28204,0.80393,4.06683e-05,4.06683e-05,4.06683e-05
7,19.1483,0.48791,0.34969,0.88942,0.95101,0.90815,0.96232,0.88295,0.39326,0.28216,0.80368,4.74099e-05,4.74099e-05,4.74099e-05
8,20.4553,0.49931,0.37243,0.8751,0.94652,0.91581,0.96292,0.88486,0.39437,0.28626,0.80377,5.40843e-05,5.40843e-05,5.40843e-05
9,21.7155,0.49651,0.35939,0.88168,0.94723,0.90851,0.96052,0.88143,0.3957,0.28408,0.8046,6.06914e-05,6.06914e-05,6.06914e-05
10,22.9439,0.5177,0.36247,0.89291,0.93411,0.91771,0.96167,0.88396,0.39828,0.28406,0.80593,6.72311e-05,6.72311e-05,6.72311e-05
11,24.1813,0.52045,0.36683,0.87822,0.95107,0.90354,0.96176,0.88068,0.40301,0.28678,0.80713,7.37035e-05,7.37035e-05,7.37035e-05
12,25.4237,0.51062,0.38456,0.89408,0.95638,0.90219,0.95967,0.87791,0.41241,0.29446,0.8094,8.01086e-05,8.01086e-05,8.01086e-05
13,26.6653,0.49344,0.36604,0.86958,0.93936,0.92165,0.96333,0.87773,0.41573,0.29748,0.80948,8.64464e-05,8.64464e-05,8.64464e-05
14,27.9361,0.47619,0.35782,0.87238,0.95245,0.90935,0.96359,0.8787,0.42775,0.29998,0.81238,9.27168e-05,9.27168e-05,9.27168e-05
15,29.1724,0.50381,0.36461,0.89312,0.94279,0.91256,0.96369,0.87747,0.43788,0.30126,0.81477,9.89199e-05,9.89199e-05,9.89199e-05
16,30.4125,0.49332,0.35856,0.88314,0.93119,0.91969,0.96422,0.87469,0.43491,0.30541,0.81495,0.000105056,0.000105056,0.000105056
17,31.6333,0.51864,0.38303,0.89791,0.94448,0.91868,0.96574,0.8768,0.43763,0.30815,0.81654,0.000110024,0.000110024,0.000110024
18,32.8521,0.528,0.37429,0.89265,0.94033,0.91995,0.96656,0.87329,0.4489,0.3124,0.81812,0.000109463,0.000109463,0.000109463
19,34.0989,0.54171,0.40044,0.90208,0.92948,0.92585,0.96374,0.87072,0.45396,0.31401,0.81949,0.000108902,0.000108902,0.000108902
20,35.3197,0.50934,0.38132,0.89497,0.92654,0.92591,0.9638,0.8732,0.44698,0.31387,0.81869,0.000108341,0.000108341,0.000108341
21,36.5573,0.54409,0.38587,0.89047,0.94417,0.91585,0.96664,0.87618,0.44467,0.30865,0.81743,0.00010778,0.00010778,0.00010778
22,37.7922,0.52121,0.3813,0.8936,0.95336,0.91122,0.9661,0.87564,0.43653,0.3066,0.81586,0.000107219,0.000107219,0.000107219
23,39.0208,0.51634,0.38226,0.89262,0.94717,0.91475,0.96566,0.87367,0.43225,0.30765,0.81603,0.000106658,0.000106658,0.000106658
24,40.2374,0.51721,0.38625,0.89366,0.95126,0.90641,0.96595,0.87491,0.43437,0.30483,0.81616,0.000106097,0.000106097,0.000106097
25,41.4583,0.51766,0.38772,0.89459,0.9422,0.907,0.96461,0.87561,0.43443,0.30453,0.81622,0.000105536,0.000105536,0.000105536
26,42.6856,0.52083,0.38644,0.90537,0.92787,0.91721,0.96256,0.87817,0.43315,0.3026,0.81613,0.000104975,0.000104975,0.000104975
