epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.59913,1.09183,1.30604,1.18865,0.77287,0.63916,0.74292,0.56227,0.98056,0.86254,1.06729,5.95e-06,5.95e-06,5.95e-06
2,2.60592,1.07211,1.21458,1.21592,0.76849,0.66222,0.7524,0.56497,0.97271,0.84077,1.06179,1.30252e-05,1.30252e-05,1.30252e-05
3,3.67246,1.13967,1.21869,1.19419,0.7465,0.70338,0.76326,0.5775,0.96465,0.81635,1.0562,2.00297e-05,2.00297e-05,2.00297e-05
4,4.82707,1.04514,1.03464,1.16946,0.76458,0.71706,0.77715,0.59308,0.94922,0.79579,1.04721,2.69636e-05,2.69636e-05,2.69636e-05
5,5.87581,1.06708,1.04011,1.17235,0.87934,0.6769,0.78863,0.60623,0.9378,0.76964,1.0399,3.38267e-05,3.38267e-05,3.38267e-05
6,6.91673,1.08647,1.01566,1.17154,0.82254,0.70828,0.79205,0.61011,0.93162,0.75392,1.03693,4.06192e-05,4.06192e-05,4.06192e-05
7,7.95684,1.05923,0.97664,1.17106,0.82681,0.71002,0.79757,0.61774,0.92158,0.73444,1.02924,4.73409e-05,4.73409e-05,4.73409e-05
8,9.04063,1.06062,0.97184,1.14294,0.82379,0.71959,0.80408,0.63362,0.90871,0.70962,1.02176,5.3992e-05,5.3992e-05,5.3992e-05
9,10.085,1.00379,0.87851,1.12293,0.81489,0.7585,0.81287,0.64607,0.89332,0.69112,1.01365,6.05724e-05,6.05724e-05,6.05724e-05
10,11.1189,0.99224,0.88018,1.11208,0.86293,0.7326,0.81744,0.65367,0.88501,0.67867,1.00896,6.70821e-05,6.70821e-05,6.70821e-05
11,12.1455,1.0293,0.85495,1.10787,0.86448,0.75104,0.82427,0.66263,0.87236,0.65816,1.00352,7.35212e-05,7.35212e-05,7.35212e-05
12,13.2733,1.01183,0.89349,1.14103,0.82835,0.77673,0.83017,0.66603,0.86319,0.63976,0.99765,7.98895e-05,7.98895e-05,7.98895e-05
13,14.2993,0.93941,0.80814,1.07634,0.84375,0.78106,0.83933,0.67353,0.84694,0.62673,0.98701,8.61872e-05,8.61872e-05,8.61872e-05
14,15.3296,0.89115,0.81687,1.06475,0.86127,0.78579,0.84817,0.68153,0.84287,0.61944,0.98371,9.24142e-05,9.24142e-05,9.24142e-05
15,16.3549,0.91814,0.76996,1.08617,0.8886,0.77443,0.84902,0.68847,0.83709,0.60683,0.98082,9.85704e-05,9.85704e-05,9.85704e-05
16,17.3622,0.87614,0.73805,1.05425,0.87823,0.77723,0.8514,0.69133,0.83208,0.59493,0.98024,0.000104656,0.000104656,0.000104656
17,18.378,0.90022,0.75868,1.06957,0.88993,0.76622,0.85262,0.69229,0.81978,0.58119,0.97683,0.000109575,0.000109575,0.000109575
18,19.3904,0.92291,0.78506,1.07727,0.88325,0.77382,0.85927,0.69795,0.80829,0.57075,0.97233,0.000108986,0.000108986,0.000108986
19,20.4739,0.93086,0.79488,1.08387,0.88559,0.78162,0.86446,0.69964,0.80348,0.56829,0.96796,0.000108397,0.000108397,0.000108397
20,21.4913,0.85767,0.73851,1.05094,0.89934,0.77375,0.86838,0.69987,0.79738,0.56867,0.96272,0.000107808,0.000107808,0.000107808
21,22.5508,0.9042,0.74874,1.04647,0.87452,0.78647,0.86814,0.70824,0.78907,0.56253,0.95784,0.000107219,0.000107219,0.000107219
22,23.5689,0.8834,0.75124,1.05612,0.86901,0.79328,0.87389,0.71256,0.77793,0.55608,0.95104,0.00010663,0.00010663,0.00010663
23,24.5902,0.84897,0.71821,1.02769,0.85783,0.81668,0.87449,0.7154,0.76754,0.54918,0.94696,0.000106041,0.000106041,0.000106041
24,25.6054,0.84295,0.73922,1.02202,0.87441,0.82265,0.87748,0.72012,0.76662,0.5532,0.94622,0.000105452,0.000105452,0.000105452
25,26.6358,0.86548,0.72037,1.05066,0.89834,0.81255,0.88593,0.7229,0.76476,0.54721,0.94657,0.000104863,0.000104863,0.000104863
26,27.7152,0.87252,0.71499,1.04957,0.88155,0.81549,0.88785,0.7289,0.76229,0.53996,0.94664,0.000104274,0.000104274,0.000104274
27,28.7162,0.84813,0.68764,1.0382,0.88538,0.8178,0.88912,0.73287,0.75477,0.52804,0.9432,0.000103685,0.000103685,0.000103685
28,29.7205,0.86173,0.69214,1.01782,0.84206,0.86243,0.89231,0.73131,0.75188,0.52646,0.9409,0.000103096,0.000103096,0.000103096
29,30.7092,0.84443,0.69388,1.02291,0.90127,0.83001,0.89027,0.73244,0.75127,0.52294,0.94009,0.000102507,0.000102507,0.000102507
30,31.7416,0.83191,0.66595,1.03277,0.88941,0.83361,0.89336,0.73751,0.74277,0.51433,0.93489,0.000101918,0.000101918,0.000101918
31,32.7558,0.82016,0.67364,1.00843,0.87349,0.84446,0.90073,0.74812,0.73232,0.50747,0.93208,0.000101329,0.000101329,0.000101329
32,33.776,0.84144,0.67536,1.01784,0.89402,0.83414,0.90134,0.74639,0.71924,0.5016,0.92961,0.000100739,0.000100739,0.000100739
33,34.7659,0.80561,0.63463,1.00236,0.89015,0.84655,0.90121,0.75494,0.70634,0.49275,0.92512,0.00010015,0.00010015,0.00010015
34,35.838,0.77467,0.64833,1.01971,0.88976,0.8517,0.90226,0.75332,0.70154,0.48893,0.92352,9.95614e-05,9.95614e-05,9.95614e-05
35,36.8308,0.80157,0.6563,1.01203,0.91344,0.83753,0.90258,0.75153,0.70142,0.48325,0.92317,9.89723e-05,9.89723e-05,9.89723e-05
36,37.8226,0.80859,0.64735,1.03628,0.91865,0.84721,0.90544,0.75374,0.69847,0.48102,0.92016,9.83833e-05,9.83833e-05,9.83833e-05
37,38.8192,0.81334,0.63429,1.00306,0.92804,0.85023,0.9086,0.75687,0.68899,0.47803,0.91812,9.77942e-05,9.77942e-05,9.77942e-05
38,39.8378,0.81474,0.63227,1.01312,0.9178,0.85995,0.91178,0.76784,0.67978,0.47331,0.91472,9.72051e-05,9.72051e-05,9.72051e-05
39,40.8554,0.75238,0.6025,0.9907,0.91665,0.86059,0.9114,0.76763,0.67783,0.47569,0.91048,9.66161e-05,9.66161e-05,9.66161e-05
40,41.8477,0.7956,0.64668,1.00756,0.91171,0.85634,0.91079,0.76647,0.67817,0.47818,0.90917,9.6027e-05,9.6027e-05,9.6027e-05
41,42.9039,0.79161,0.60655,0.98147,0.91752,0.85506,0.91154,0.76632,0.6754,0.47563,0.90692,9.5438e-05,9.5438e-05,9.5438e-05
42,43.9356,0.7707,0.60218,0.99927,0.90995,0.86288,0.91449,0.76724,0.66753,0.46947,0.90169,9.4849e-05,9.4849e-05,9.4849e-05
43,44.9203,0.75708,0.59681,1.00184,0.90245,0.86932,0.91958,0.77388,0.66849,0.46267,0.90074,9.42599e-05,9.42599e-05,9.42599e-05
44,45.9369,0.76293,0.62221,1.00302,0.91278,0.86356,0.91765,0.77742,0.66246,0.45673,0.90059,9.36709e-05,9.36709e-05,9.36709e-05
45,46.9554,0.79062,0.62367,1.00515,0.93422,0.85011,0.91857,0.77699,0.65603,0.45147,0.89866,9.30818e-05,9.30818e-05,9.30818e-05
46,47.9491,0.81001,0.62419,1.01746,0.93287,0.84638,0.92207,0.77596,0.65245,0.44971,0.89576,9.24928e-05,9.24928e-05,9.24928e-05
47,48.9361,0.75946,0.58185,0.99628,0.93647,0.84419,0.92185,0.77603,0.64499,0.44734,0.89252,9.19037e-05,9.19037e-05,9.19037e-05
48,49.9296,0.76501,0.61323,1.00441,0.94307,0.84748,0.92204,0.78194,0.63975,0.44649,0.89134,9.13147e-05,9.13147e-05,9.13147e-05
49,51.0062,0.74898,0.59645,0.98611,0.94529,0.85334,0.92357,0.78557,0.63701,0.44329,0.89091,9.07256e-05,9.07256e-05,9.07256e-05
50,52.0291,0.73565,0.59929,0.98314,0.94259,0.84904,0.92377,0.78751,0.63518,0.44078,0.89096,9.01366e-05,9.01366e-05,9.01366e-05
51,53.0483,0.74852,0.5768,0.97483,0.93414,0.85357,0.92574,0.79133,0.63014,0.44028,0.8896,8.95475e-05,8.95475e-05,8.95475e-05
52,54.07,0.73961,0.56371,0.98438,0.91206,0.87162,0.9261,0.7863,0.63077,0.43733,0.89039,8.89585e-05,8.89585e-05,8.89585e-05
53,55.0713,0.757,0.57818,0.98833,0.93195,0.85643,0.92581,0.78678,0.6318,0.43629,0.89017,8.83694e-05,8.83694e-05,8.83694e-05
54,56.0625,0.75515,0.6137,0.99818,0.89505,0.8805,0.92567,0.78633,0.62888,0.43413,0.88832,8.77804e-05,8.77804e-05,8.77804e-05
55,57.0532,0.72578,0.56079,0.96301,0.86475,0.90368,0.92673,0.78802,0.62104,0.43127,0.88507,8.71913e-05,8.71913e-05,8.71913e-05
56,58.1033,0.74021,0.58096,0.97555,0.91569,0.86619,0.93043,0.79311,0.6197,0.42922,0.88421,8.66022e-05,8.66022e-05,8.66022e-05
57,59.1254,0.71357,0.55303,0.96983,0.91891,0.87478,0.93137,0.79717,0.6151,0.42723,0.88278,8.60132e-05,8.60132e-05,8.60132e-05
58,60.1443,0.73215,0.56745,0.96549,0.9104,0.88022,0.93116,0.80225,0.6129,0.42299,0.88148,8.54242e-05,8.54242e-05,8.54242e-05
