epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.41379,1.4574,1.51085,1.42864,0.75004,0.64847,0.74608,0.56454,0.99393,0.86571,1.06367,8.33e-06,8.33e-06,8.33e-06
2,2.40164,1.34049,1.30336,1.34421,0.76834,0.67118,0.7554,0.56502,1.02316,0.84653,1.06903,1.77616e-05,1.77616e-05,1.77616e-05
3,3.42049,1.21988,1.19387,1.25428,0.77643,0.68029,0.75622,0.55448,1.07886,0.84411,1.0838,2.7099e-05,2.7099e-05,2.7099e-05
4,4.46272,1.26244,1.21729,1.27429,0.79201,0.6992,0.76828,0.5459,1.14408,0.85031,1.09851,3.63422e-05,3.63422e-05,3.63422e-05
5,5.43935,1.18611,1.07825,1.23501,0.81685,0.71657,0.78265,0.54459,1.20342,0.85016,1.10961,4.54911e-05,4.54911e-05,4.54911e-05
6,6.41398,1.17935,1.0727,1.21992,0.83695,0.709,0.79755,0.55765,1.18272,0.8191,1.09878,5.45457e-05,5.45457e-05,5.45457e-05
7,7.38423,1.15548,1.01392,1.22692,0.80414,0.73915,0.80269,0.58004,1.12547,0.79303,1.08139,6.35061e-05,6.35061e-05,6.35061e-05
8,8.38089,1.09992,0.95397,1.1815,0.79089,0.75428,0.80848,0.59527,1.08245,0.76486,1.06665,7.23723e-05,7.23723e-05,7.23723e-05
9,9.38808,1.14393,0.98671,1.18875,0.8515,0.7591,0.83118,0.61039,1.05683,0.734,1.0566,8.11442e-05,8.11442e-05,8.11442e-05
10,10.4098,1.06494,0.93945,1.17445,0.85487,0.7668,0.83727,0.62272,1.02466,0.71172,1.04656,8.98219e-05,8.98219e-05,8.98219e-05
11,11.4538,1.07284,0.88701,1.16942,0.82245,0.78152,0.83751,0.63118,1.00889,0.68518,1.03498,9.84053e-05,9.84053e-05,9.84053e-05
12,12.4268,1.06148,0.87559,1.17296,0.83567,0.78437,0.84153,0.63353,1.01375,0.67989,1.03238,0.000106894,0.000106894,0.000106894
13,13.399,1.03357,0.86461,1.14088,0.88734,0.7859,0.85032,0.63245,1.02996,0.66788,1.03471,0.000111931,0.000111931,0.000111931
14,14.3515,1.04498,0.87169,1.14664,0.89179,0.78266,0.86056,0.63395,1.0503,0.66069,1.03685,0.000111342,0.000111342,0.000111342
15,15.3276,1.03467,0.84853,1.13236,0.87706,0.80557,0.86733,0.6401,1.05964,0.6547,1.03241,0.000110753,0.000110753,0.000110753
16,16.3056,1.0168,0.81051,1.12904,0.88639,0.80684,0.87477,0.65161,1.04164,0.6472,1.01866,0.000110164,0.000110164,0.000110164
17,17.2789,0.97123,0.78509,1.11464,0.90274,0.79754,0.87682,0.65767,1.01635,0.63673,1.01006,0.000109575,0.000109575,0.000109575
18,18.3185,0.98756,0.78636,1.10385,0.90337,0.80478,0.87904,0.66054,0.99624,0.62843,1.00794,0.000108986,0.000108986,0.000108986
19,19.3439,1.01646,0.79175,1.11367,0.89677,0.81233,0.88487,0.6691,0.97849,0.61828,1.00463,0.000108397,0.000108397,0.000108397
20,20.3241,1.01008,0.77622,1.12374,0.90169,0.82979,0.88709,0.67739,0.94953,0.61232,0.99821,0.000107808,0.000107808,0.000107808
21,21.2972,0.9815,0.81422,1.12137,0.90479,0.82749,0.88872,0.67978,0.94766,0.60005,0.99619,0.000107219,0.000107219,0.000107219
22,22.2767,0.95865,0.74357,1.087,0.90446,0.82587,0.89262,0.68075,0.95327,0.59388,0.99365,0.00010663,0.00010663,0.00010663
23,23.2677,1.00679,0.78286,1.12046,0.88171,0.84146,0.89041,0.67508,0.97832,0.59197,0.99774,0.000106041,0.000106041,0.000106041
