epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.43223,1.55594,1.80336,1.49905,0.74271,0.65583,0.74453,0.56154,0.99548,0.87133,1.06451,8.33e-06,8.33e-06,8.33e-06
2,2.43362,1.56675,1.89069,1.48725,0.76357,0.64857,0.74554,0.55617,1.02692,0.86875,1.07192,1.77911e-05,1.77911e-05,1.77911e-05
3,3.46017,1.47902,1.69764,1.46747,0.76511,0.65831,0.74873,0.55012,1.07259,0.87692,1.08523,2.71894e-05,2.71894e-05,2.71894e-05
4,4.51042,1.38145,1.50639,1.39052,0.72433,0.67901,0.74104,0.51958,1.16913,0.91205,1.1125,3.65248e-05,3.65248e-05,3.65248e-05
5,5.49724,1.34928,1.48984,1.33313,0.76476,0.67439,0.74845,0.51082,1.2302,0.94851,1.12802,4.57974e-05,4.57974e-05,4.57974e-05
6,6.48717,1.38669,1.50502,1.35624,0.76313,0.69383,0.76268,0.5225,1.20307,0.94406,1.12214,5.50072e-05,5.50072e-05,5.50072e-05
7,7.46693,1.36156,1.49939,1.35085,0.7483,0.71312,0.76644,0.53429,1.16565,0.93352,1.11349,6.41541e-05,6.41541e-05,6.41541e-05
8,8.45156,1.32034,1.42756,1.29825,0.75508,0.72005,0.77708,0.55043,1.12088,0.8821,1.09831,7.32382e-05,7.32382e-05,7.32382e-05
9,9.43072,1.3217,1.38222,1.31863,0.80432,0.71218,0.7841,0.56771,1.08971,0.85016,1.08418,8.22595e-05,8.22595e-05,8.22595e-05
10,10.42,1.29288,1.36105,1.2805,0.82632,0.71721,0.79428,0.5746,1.08021,0.83486,1.0779,9.12179e-05,9.12179e-05,9.12179e-05
11,11.5004,1.22871,1.21833,1.25798,0.88111,0.70231,0.79865,0.58138,1.07608,0.82012,1.0716,0.000100114,0.000100114,0.000100114
12,12.4972,1.32179,1.3051,1.29378,0.84263,0.72971,0.79467,0.57752,1.08289,0.80213,1.07283,0.000108946,0.000108946,0.000108946
13,13.4653,1.34771,1.37752,1.32558,0.82868,0.73585,0.79462,0.57433,1.10057,0.79943,1.0788,0.000114288,0.000114288,0.000114288
14,14.436,1.29727,1.31629,1.27129,0.80577,0.73884,0.79411,0.57033,1.11623,0.79677,1.08764,0.000113895,0.000113895,0.000113895
15,15.3984,1.24728,1.255,1.26498,0.83119,0.72163,0.79455,0.57211,1.10245,0.78636,1.08311,0.000113502,0.000113502,0.000113502
16,16.3603,1.22048,1.20744,1.26061,0.86708,0.71024,0.80518,0.57261,1.09436,0.775,1.07878,0.00011311,0.00011311,0.00011311
17,17.3452,1.2621,1.21945,1.25339,0.83806,0.72689,0.81224,0.57794,1.10083,0.76313,1.07691,0.000112717,0.000112717,0.000112717
18,18.3675,1.26157,1.25671,1.26835,0.84153,0.73436,0.81242,0.58051,1.11049,0.75557,1.0752,0.000112324,0.000112324,0.000112324
19,19.3532,1.26614,1.19444,1.27098,0.83268,0.74665,0.81589,0.58404,1.10259,0.74808,1.0697,0.000111931,0.000111931,0.000111931
20,20.3387,1.12729,1.05115,1.19242,0.81199,0.75412,0.81919,0.58994,1.08195,0.73051,1.0648,0.000111539,0.000111539,0.000111539
21,21.3288,1.19409,1.15173,1.22716,0.82204,0.75558,0.82914,0.60931,1.05264,0.72012,1.05596,0.000111146,0.000111146,0.000111146
22,22.3203,1.19785,1.21945,1.2431,0.86654,0.74151,0.83469,0.61483,1.05429,0.72163,1.05438,0.000110753,0.000110753,0.000110753
23,23.3217,1.20295,1.15173,1.23987,0.84911,0.76004,0.83496,0.61202,1.07038,0.71582,1.05678,0.000110361,0.000110361,0.000110361
24,24.2938,1.19136,1.18655,1.22331,0.82108,0.76343,0.84186,0.61275,1.09437,0.71381,1.06714,0.000109968,0.000109968,0.000109968
25,25.321,1.19571,1.148,1.19336,0.81386,0.78829,0.85096,0.61273,1.06929,0.70349,1.06269,0.000109575,0.000109575,0.000109575
26,26.2917,1.2205,1.20765,1.23148,0.84451,0.77072,0.85156,0.62489,1.04057,0.68783,1.05248,0.000109183,0.000109183,0.000109183
27,27.2899,1.14194,1.0537,1.18055,0.84649,0.78028,0.85771,0.6267,1.04457,0.68784,1.05132,0.00010879,0.00010879,0.00010879
28,28.2852,1.23208,1.1954,1.2509,0.83511,0.77675,0.85608,0.62211,1.07618,0.69167,1.05891,0.000108397,0.000108397,0.000108397
29,29.2545,1.19167,1.16688,1.24571,0.86868,0.76625,0.85691,0.61773,1.10087,0.69795,1.06639,0.000108004,0.000108004,0.000108004
