epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.60966,0.56625,0.46439,0.90741,0.92996,0.92113,0.95719,0.86644,0.43824,0.32402,0.82009,5.95e-06,5.95e-06,5.95e-06
2,2.61471,0.54753,0.44978,0.91567,0.93418,0.91648,0.95627,0.86389,0.43871,0.32706,0.81963,1.30468e-05,1.30468e-05,1.30468e-05
3,3.64692,0.58466,0.44329,0.90876,0.94247,0.91454,0.95639,0.86248,0.44176,0.33014,0.82059,2.00965e-05,2.00965e-05,2.00965e-05
4,4.66238,0.54329,0.41872,0.91221,0.93196,0.91735,0.9528,0.86025,0.44425,0.32977,0.82118,2.7099e-05,2.7099e-05,2.7099e-05
5,5.74463,0.56729,0.42798,0.91536,0.91733,0.9204,0.95333,0.85942,0.44723,0.33131,0.82234,3.40545e-05,3.40545e-05,3.40545e-05
6,6.76611,0.5669,0.42787,0.90718,0.90935,0.92318,0.95348,0.85489,0.45095,0.33401,0.82304,4.09628e-05,4.09628e-05,4.09628e-05
7,7.76182,0.55454,0.41676,0.90816,0.9209,0.91991,0.95263,0.85739,0.45284,0.33461,0.82336,4.7824e-05,4.7824e-05,4.7824e-05
8,8.76886,0.56175,0.43431,0.90162,0.93851,0.91249,0.95464,0.86063,0.45535,0.336,0.82316,5.4638e-05,5.4638e-05,5.4638e-05
9,9.75614,0.56711,0.43078,0.90836,0.94153,0.91977,0.95644,0.85945,0.45725,0.3367,0.82414,6.1405e-05,6.1405e-05,6.1405e-05
10,10.7533,0.56959,0.42558,0.91129,0.9412,0.91893,0.95674,0.85874,0.46123,0.33852,0.82543,6.81248e-05,6.81248e-05,6.81248e-05
11,11.8114,0.58012,0.42768,0.89881,0.94301,0.91961,0.95746,0.8571,0.46576,0.34267,0.82677,7.47974e-05,7.47974e-05,7.47974e-05
12,12.7961,0.5729,0.44432,0.92049,0.93662,0.9105,0.95499,0.85127,0.47285,0.34456,0.82863,8.1423e-05,8.1423e-05,8.1423e-05
13,13.7943,0.55291,0.43078,0.88999,0.94557,0.90148,0.95491,0.85611,0.46849,0.34467,0.82824,8.80015e-05,8.80015e-05,8.80015e-05
14,14.7855,0.5339,0.42282,0.89629,0.94887,0.90374,0.95553,0.8523,0.4733,0.34776,0.82871,9.45328e-05,9.45328e-05,9.45328e-05
15,15.7772,0.55444,0.42671,0.91111,0.9496,0.90275,0.95253,0.84907,0.47893,0.3495,0.83064,0.000101017,0.000101017,0.000101017
16,16.7669,0.54828,0.41567,0.90297,0.92584,0.92046,0.95203,0.84851,0.4837,0.35107,0.83168,0.000107454,0.000107454,0.000107454
17,17.7579,0.55615,0.43782,0.91241,0.93599,0.90939,0.95177,0.85052,0.47837,0.35262,0.83145,0.000112717,0.000112717,0.000112717
18,18.8124,0.57447,0.44298,0.91394,0.90622,0.92029,0.9503,0.84591,0.48112,0.35597,0.83184,0.000112324,0.000112324,0.000112324
19,19.8068,0.5986,0.4613,0.9279,0.90852,0.92151,0.95099,0.84481,0.48926,0.36055,0.8335,0.000111931,0.000111931,0.000111931
20,20.8052,0.56206,0.44025,0.91885,0.93024,0.91092,0.95267,0.84176,0.48814,0.3631,0.83509,0.000111539,0.000111539,0.000111539
21,21.7939,0.59429,0.44859,0.90941,0.94008,0.90169,0.95158,0.84541,0.48795,0.35882,0.83689,0.000111146,0.000111146,0.000111146
22,22.7784,0.57224,0.45207,0.91128,0.93939,0.89794,0.95084,0.85185,0.47989,0.35424,0.83417,0.000110753,0.000110753,0.000110753
23,23.8082,0.56394,0.43818,0.90722,0.953,0.89516,0.95275,0.85579,0.47416,0.35641,0.83292,0.000110361,0.000110361,0.000110361
24,24.7955,0.56705,0.44346,0.90654,0.95777,0.8878,0.95154,0.8489,0.47804,0.35737,0.83228,0.000109968,0.000109968,0.000109968
25,25.7859,0.57504,0.44523,0.91225,0.95992,0.89015,0.95314,0.84911,0.4778,0.35671,0.83309,0.000109575,0.000109575,0.000109575
26,26.8378,0.57498,0.43652,0.9202,0.93672,0.90264,0.95373,0.85303,0.48021,0.35841,0.83368,0.000109183,0.000109183,0.000109183
27,27.8265,0.55442,0.43795,0.90409,0.94762,0.8967,0.95271,0.85134,0.48238,0.35869,0.83478,0.00010879,0.00010879,0.00010879
28,28.8165,0.58182,0.44361,0.9024,0.94633,0.89256,0.95218,0.85101,0.48079,0.35768,0.83405,0.000108397,0.000108397,0.000108397
29,29.8027,0.57498,0.44203,0.9103,0.93729,0.90956,0.95163,0.8492,0.47642,0.35155,0.83252,0.000108004,0.000108004,0.000108004
30,30.796,0.5555,0.42782,0.9064,0.94872,0.90524,0.95288,0.84835,0.46996,0.34817,0.83164,0.000107612,0.000107612,0.000107612
31,31.7792,0.54973,0.43263,0.89657,0.95389,0.9071,0.95438,0.85165,0.47305,0.35125,0.83226,0.000107219,0.000107219,0.000107219
32,32.7704,0.57283,0.43612,0.91092,0.94966,0.90543,0.95334,0.85427,0.47884,0.3557,0.8334,0.000106826,0.000106826,0.000106826
33,33.8049,0.56601,0.43096,0.89838,0.9412,0.9092,0.95462,0.85479,0.47997,0.35502,0.83337,0.000106434,0.000106434,0.000106434
34,34.7994,0.53496,0.43587,0.91067,0.92935,0.90849,0.95375,0.85192,0.47904,0.35421,0.83273,0.000106041,0.000106041,0.000106041
35,35.786,0.54834,0.43436,0.89829,0.95699,0.89165,0.95368,0.85187,0.47759,0.35276,0.83106,0.000105648,0.000105648,0.000105648
36,36.7744,0.55656,0.44322,0.91967,0.93571,0.91474,0.95372,0.85129,0.47137,0.35159,0.82887,0.000105256,0.000105256,0.000105256
37,37.7623,0.57052,0.43891,0.90035,0.93465,0.91646,0.95331,0.85208,0.46825,0.34884,0.82877,0.000104863,0.000104863,0.000104863
38,38.7481,0.57153,0.43298,0.90619,0.93627,0.91621,0.95395,0.85368,0.46762,0.34637,0.82951,0.00010447,0.00010447,0.00010447
39,39.7328,0.53158,0.41357,0.89591,0.94571,0.90974,0.95467,0.85444,0.46567,0.34595,0.82828,0.000104077,0.000104077,0.000104077
40,40.8163,0.55583,0.43906,0.90704,0.94348,0.90882,0.95419,0.85339,0.46619,0.34556,0.8274,0.000103685,0.000103685,0.000103685
41,41.8127,0.56845,0.43102,0.88963,0.94125,0.91141,0.95513,0.85668,0.46742,0.34679,0.82799,0.000103292,0.000103292,0.000103292
