epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.623,1.4507,1.60979,1.05985,0.45049,0.34869,0.34947,0.21353,1.33193,1.12487,1.00933,0.00333127,0.00333127,0.00333127
2,248.139,1.38852,1.24401,1.01914,0.48727,0.38603,0.39223,0.2394,1.30889,1.08415,1.00069,0.00659863,0.00659863,0.00659863
3,371.573,1.40928,1.21512,1.02182,0.47653,0.39898,0.39924,0.2391,1.33918,1.10178,1.00913,0.00979998,0.00979998,0.00979998
4,495.258,1.41175,1.20161,1.02452,0.48642,0.41358,0.41575,0.25311,1.32008,1.06967,1.00771,0.009703,0.009703,0.009703
5,617.136,1.39171,1.15309,1.01835,0.51573,0.41153,0.41653,0.25265,1.32331,1.06567,1.00329,0.009604,0.009604,0.009604
6,739.165,1.37873,1.12251,1.01166,0.51057,0.43031,0.43543,0.26581,1.29758,1.04781,0.99456,0.009505,0.009505,0.009505
7,861.612,1.36123,1.09611,1.00627,0.53054,0.43392,0.44314,0.27189,1.28869,1.00918,0.99304,0.009406,0.009406,0.009406
8,985.631,1.34965,1.07394,1.00195,0.52675,0.44211,0.45069,0.27722,1.28605,1.01243,0.99227,0.009307,0.009307,0.009307
9,1109.5,1.34492,1.05989,0.99997,0.53639,0.44644,0.45997,0.28287,1.28109,1.00187,0.9891,0.009208,0.009208,0.009208
10,1233.58,1.3331,1.04065,0.99495,0.54133,0.45368,0.46987,0.28858,1.27704,0.98629,0.98822,0.009109,0.009109,0.009109
11,1357.34,1.33232,1.03104,0.99255,0.55082,0.45278,0.46749,0.28873,1.2758,0.99171,0.98893,0.00901,0.00901,0.00901
12,1481.14,1.3189,1.01698,0.99159,0.55249,0.4612,0.47109,0.29088,1.26516,0.97796,0.98554,0.008911,0.008911,0.008911
13,1605.06,1.31467,1.00345,0.98559,0.56135,0.46768,0.48191,0.29585,1.26912,0.96473,0.98242,0.008812,0.008812,0.008812
14,1728.99,1.30995,0.99617,0.98527,0.57458,0.4596,0.4826,0.29816,1.26156,0.96287,0.98187,0.008713,0.008713,0.008713
15,1852.59,1.30122,0.98375,0.98103,0.56107,0.4728,0.48777,0.30253,1.2488,0.95615,0.97863,0.008614,0.008614,0.008614
16,1976.25,1.29666,0.97919,0.98113,0.57682,0.46609,0.49268,0.30224,1.25561,0.95464,0.97884,0.008515,0.008515,0.008515
17,2100.01,1.29233,0.97037,0.97901,0.56417,0.46493,0.48962,0.30302,1.24787,0.94796,0.97759,0.008416,0.008416,0.008416
18,2223.6,1.28644,0.96121,0.97655,0.58188,0.46308,0.49123,0.30584,1.23818,0.94685,0.97516,0.008317,0.008317,0.008317
19,2347.06,1.28205,0.95671,0.97812,0.5743,0.47887,0.49736,0.30797,1.2485,0.93411,0.97533,0.008218,0.008218,0.008218
20,2470.63,1.28219,0.95345,0.97703,0.58442,0.47024,0.49619,0.30772,1.24355,0.93568,0.97491,0.008119,0.008119,0.008119
21,2594.57,1.27512,0.94105,0.97477,0.58498,0.47389,0.49821,0.30921,1.24459,0.92678,0.97449,0.00802,0.00802,0.00802
22,2718.09,1.27244,0.94021,0.97089,0.58803,0.48578,0.51152,0.31809,1.23822,0.92028,0.97378,0.007921,0.007921,0.007921
23,2840.93,1.26498,0.92921,0.97222,0.59026,0.48392,0.50883,0.31715,1.23513,0.9246,0.97097,0.007822,0.007822,0.007822
24,2964.33,1.26452,0.9245,0.97078,0.57797,0.48728,0.50865,0.31883,1.23132,0.91803,0.97185,0.007723,0.007723,0.007723
25,3086.4,1.25925,0.91652,0.96918,0.60604,0.47805,0.51303,0.32006,1.236,0.91552,0.97145,0.007624,0.007624,0.007624
26,3208.25,1.25671,0.91465,0.96883,0.59877,0.4904,0.51667,0.32115,1.23203,0.91437,0.96981,0.007525,0.007525,0.007525
27,3330.48,1.25477,0.91041,0.96609,0.59157,0.49177,0.51788,0.32281,1.22785,0.90931,0.9683,0.007426,0.007426,0.007426
28,3454.18,1.25356,0.90674,0.96649,0.58643,0.49641,0.51763,0.32187,1.22981,0.90608,0.96807,0.007327,0.007327,0.007327
29,3577.5,1.24906,0.9046,0.96504,0.61132,0.48262,0.51941,0.32445,1.22942,0.90528,0.96905,0.007228,0.007228,0.007228
30,3701.32,1.24217,0.89626,0.96282,0.60297,0.48894,0.51931,0.32456,1.2244,0.90199,0.96783,0.007129,0.007129,0.007129
31,3825.11,1.24019,0.89272,0.96068,0.59545,0.49475,0.52331,0.3254,1.22029,0.89527,0.96505,0.00703,0.00703,0.00703
32,3948.7,1.23368,0.88184,0.95954,0.60316,0.49023,0.52069,0.32633,1.22061,0.89404,0.96437,0.006931,0.006931,0.006931
33,4072.36,1.24163,0.88796,0.96262,0.59621,0.49503,0.52238,0.32809,1.22611,0.89657,0.96609,0.006832,0.006832,0.006832
34,4196.49,1.23788,0.87996,0.95969,0.60388,0.49381,0.52745,0.33142,1.22341,0.89053,0.96589,0.006733,0.006733,0.006733
35,4320.38,1.2316,0.87551,0.95743,0.61017,0.49068,0.52777,0.33281,1.21875,0.88633,0.96367,0.006634,0.006634,0.006634
36,4444.39,1.2346,0.87754,0.95985,0.60461,0.49325,0.52782,0.33247,1.2197,0.88565,0.96452,0.006535,0.006535,0.006535
37,4567.92,1.22976,0.87058,0.95769,0.60563,0.49869,0.52497,0.32931,1.22179,0.88718,0.96581,0.006436,0.006436,0.006436
38,4691.43,1.23246,0.86909,0.95792,0.60811,0.50251,0.53163,0.33467,1.21147,0.88292,0.96259,0.006337,0.006337,0.006337
39,4815.18,1.22977,0.86718,0.95667,0.60597,0.50612,0.53195,0.33413,1.21763,0.88504,0.96211,0.006238,0.006238,0.006238
40,4938.77,1.22088,0.85655,0.95375,0.60562,0.50286,0.53018,0.33314,1.22218,0.87976,0.96328,0.006139,0.006139,0.006139
41,5062,1.21838,0.85158,0.95391,0.61842,0.49961,0.53425,0.33569,1.21613,0.87854,0.96111,0.00604,0.00604,0.00604
42,5185.62,1.21646,0.85161,0.95434,0.61503,0.50472,0.53633,0.33728,1.21639,0.8746,0.96252,0.005941,0.005941,0.005941
