epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.135,1.39737,1.27634,1.00796,0.44018,0.34251,0.33508,0.19496,1.36835,1.08848,0.99474,0.0670408,0.000332921,0.000332921
2,247.802,1.35717,1.12156,0.99652,0.46363,0.36472,0.35786,0.21591,1.29628,1.02605,0.97413,0.0340386,0.000664056,0.000664056
3,369.01,1.34107,1.07099,0.99033,0.43456,0.36802,0.36339,0.21782,1.29675,1.0235,0.97136,0.00103419,0.000992991,0.000992991
4,489.156,1.32392,1.04474,0.98477,0.47866,0.38649,0.38644,0.23454,1.29031,1.02101,0.97193,0.0009901,0.0009901,0.0009901
5,609.362,1.30573,1.00585,0.97666,0.49679,0.38973,0.39857,0.24225,1.2579,0.94825,0.96146,0.0009868,0.0009868,0.0009868
6,728.32,1.29608,0.98154,0.97119,0.4937,0.40686,0.41519,0.2508,1.25886,0.9517,0.96259,0.0009835,0.0009835,0.0009835
7,846.471,1.28349,0.96467,0.96941,0.50924,0.41326,0.42385,0.25832,1.23373,0.92579,0.95267,0.0009802,0.0009802,0.0009802
8,964.7,1.27058,0.94566,0.96423,0.53098,0.41683,0.43887,0.26908,1.22456,0.91545,0.95077,0.0009769,0.0009769,0.0009769
9,1083.27,1.25807,0.93027,0.96122,0.5339,0.42216,0.43937,0.26816,1.22275,0.91405,0.94921,0.0009736,0.0009736,0.0009736
10,1201.25,1.24749,0.90874,0.95719,0.53574,0.43603,0.45075,0.27612,1.21464,0.88925,0.9455,0.0009703,0.0009703,0.0009703
11,1319.64,1.23938,0.89377,0.95134,0.55772,0.42733,0.45208,0.27786,1.21529,0.88186,0.94864,0.000967,0.000967,0.000967
12,1437.8,1.23872,0.89484,0.95303,0.55202,0.44522,0.46019,0.2835,1.20763,0.87772,0.94444,0.0009637,0.0009637,0.0009637
13,1555.91,1.23344,0.88536,0.95091,0.55447,0.43746,0.45968,0.2845,1.19871,0.87353,0.94209,0.0009604,0.0009604,0.0009604
14,1674.03,1.22237,0.87064,0.9492,0.57461,0.4444,0.4735,0.2934,1.18605,0.8613,0.93777,0.0009571,0.0009571,0.0009571
15,1792.28,1.21941,0.86501,0.94446,0.56122,0.44414,0.46329,0.2861,1.19928,0.87407,0.93704,0.0009538,0.0009538,0.0009538
16,1910.34,1.21467,0.85705,0.94496,0.55488,0.4503,0.47186,0.29179,1.1905,0.85864,0.94036,0.0009505,0.0009505,0.0009505
17,2028.56,1.21238,0.85616,0.94328,0.56919,0.45436,0.48181,0.29663,1.19637,0.84297,0.93919,0.0009472,0.0009472,0.0009472
18,2146.8,1.2007,0.83891,0.93942,0.56665,0.46116,0.4841,0.29989,1.18142,0.8474,0.93484,0.0009439,0.0009439,0.0009439
19,2264.85,1.20143,0.84215,0.94221,0.57701,0.45803,0.48362,0.2975,1.19314,0.85101,0.9377,0.0009406,0.0009406,0.0009406
20,2382.77,1.19454,0.82927,0.93858,0.58274,0.46222,0.48645,0.29895,1.19453,0.84697,0.93713,0.0009373,0.0009373,0.0009373
21,2501.06,1.20045,0.82658,0.93899,0.5841,0.46736,0.49556,0.30792,1.17348,0.83107,0.93172,0.000934,0.000934,0.000934
22,2619.29,1.19198,0.81914,0.93772,0.5911,0.46299,0.49324,0.30609,1.17512,0.83086,0.93307,0.0009307,0.0009307,0.0009307
23,2737.09,1.18313,0.81238,0.9375,0.57635,0.46925,0.49621,0.3074,1.1683,0.82613,0.92981,0.0009274,0.0009274,0.0009274
24,2855.19,1.18377,0.80741,0.93549,0.58446,0.46449,0.48913,0.30379,1.17422,0.82584,0.93399,0.0009241,0.0009241,0.0009241
25,2973.08,1.17569,0.79799,0.93463,0.57625,0.46763,0.49473,0.30798,1.17506,0.82228,0.93178,0.0009208,0.0009208,0.0009208
26,3091.33,1.17688,0.80232,0.93307,0.5879,0.46437,0.49462,0.30888,1.17208,0.82368,0.93278,0.0009175,0.0009175,0.0009175
27,3209.86,1.1808,0.79581,0.93083,0.58644,0.4748,0.50217,0.31434,1.16096,0.81478,0.92803,0.0009142,0.0009142,0.0009142
28,3327.93,1.16963,0.7849,0.92968,0.59732,0.46961,0.49855,0.31097,1.16552,0.81725,0.92973,0.0009109,0.0009109,0.0009109
29,3446.33,1.16304,0.77837,0.92773,0.58837,0.46943,0.50033,0.31458,1.16269,0.82049,0.92708,0.0009076,0.0009076,0.0009076
30,3564.88,1.16624,0.77764,0.92761,0.581,0.48223,0.50126,0.3136,1.16212,0.80473,0.9281,0.0009043,0.0009043,0.0009043
31,3683.22,1.16105,0.77582,0.92726,0.59074,0.47856,0.50175,0.3113,1.16525,0.80709,0.92913,0.000901,0.000901,0.000901
32,3801.66,1.16576,0.77446,0.92605,0.58745,0.47754,0.50367,0.31535,1.16414,0.80609,0.92862,0.0008977,0.0008977,0.0008977
33,3919.97,1.16067,0.76852,0.9271,0.58805,0.47894,0.50623,0.31595,1.16108,0.8098,0.92891,0.0008944,0.0008944,0.0008944
34,4038.45,1.16661,0.76806,0.9253,0.59562,0.47622,0.50683,0.317,1.15465,0.80407,0.92611,0.0008911,0.0008911,0.0008911
35,4156.76,1.15952,0.76502,0.92553,0.60041,0.48117,0.51296,0.3199,1.16204,0.80104,0.92831,0.0008878,0.0008878,0.0008878
