epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.53406,0.9828,0.92337,1.16523,0.71454,0.71979,0.78451,0.60888,0.85899,0.71063,1.02688,3.57e-06,3.57e-06,3.57e-06
2,4.46296,1.07909,1.06679,1.25062,0.74585,0.72871,0.79298,0.62012,0.84828,0.69141,1.01939,8.27502e-06,8.27502e-06,8.27502e-06
3,6.64976,0.94081,0.93113,1.17239,0.77293,0.73428,0.80688,0.63034,0.83561,0.6633,1.01172,1.29172e-05,1.29172e-05,1.29172e-05
4,8.85243,0.97757,0.8635,1.16383,0.79027,0.75245,0.8275,0.65109,0.82162,0.62766,1.00066,1.74966e-05,1.74966e-05,1.74966e-05
5,11.005,0.92049,0.85605,1.12744,0.82049,0.76716,0.85418,0.6773,0.80699,0.59401,0.9892,2.20131e-05,2.20131e-05,2.20131e-05
6,13.1956,0.8986,0.771,1.11283,0.83491,0.77963,0.86785,0.69443,0.789,0.56845,0.97693,2.64668e-05,2.64668e-05,2.64668e-05
7,15.3703,0.94857,0.76107,1.138,0.87571,0.78736,0.88067,0.7084,0.77796,0.53854,0.96763,3.08577e-05,3.08577e-05,3.08577e-05
8,17.5131,0.85821,0.72787,1.09631,0.89455,0.8096,0.8921,0.72345,0.76163,0.50611,0.95832,3.51857e-05,3.51857e-05,3.51857e-05
9,19.703,0.85925,0.66707,1.10435,0.89779,0.81816,0.89477,0.73615,0.74534,0.47654,0.94917,3.94509e-05,3.94509e-05,3.94509e-05
10,21.8879,0.7909,0.61571,1.07742,0.9086,0.81778,0.89951,0.74046,0.73504,0.45757,0.9434,4.36532e-05,4.36532e-05,4.36532e-05
11,24.0592,0.8247,0.60907,1.05464,0.93613,0.80396,0.90476,0.74625,0.7278,0.45057,0.93819,4.77928e-05,4.77928e-05,4.77928e-05
12,26.2512,0.80702,0.61654,1.04403,0.9285,0.81379,0.90778,0.74772,0.72368,0.45014,0.93547,5.18695e-05,5.18695e-05,5.18695e-05
13,28.453,0.75376,0.57882,1.01958,0.93303,0.81251,0.91583,0.7585,0.70766,0.44146,0.92744,5.58834e-05,5.58834e-05,5.58834e-05
14,30.5946,0.78239,0.62025,1.03502,0.90321,0.83785,0.92024,0.76474,0.69499,0.42287,0.92115,5.98344e-05,5.98344e-05,5.98344e-05
15,32.7914,0.73699,0.54531,1.03469,0.9174,0.83959,0.92253,0.77522,0.68075,0.41067,0.9139,6.37226e-05,6.37226e-05,6.37226e-05
16,34.9618,0.75674,0.56991,1.01344,0.91152,0.86777,0.92691,0.77377,0.67578,0.4081,0.91059,6.7548e-05,6.7548e-05,6.7548e-05
17,37.0254,0.71986,0.54544,1.01785,0.91661,0.86441,0.92963,0.77536,0.67308,0.40649,0.90881,7.13105e-05,7.13105e-05,7.13105e-05
18,39.2069,0.70487,0.53294,1.01395,0.91919,0.86831,0.93169,0.77925,0.6614,0.39729,0.90441,7.50102e-05,7.50102e-05,7.50102e-05
19,41.3316,0.77336,0.56057,1.00582,0.93289,0.86373,0.93181,0.78513,0.65067,0.38938,0.89921,7.86471e-05,7.86471e-05,7.86471e-05
20,43.5003,0.70272,0.52297,0.99138,0.91619,0.88364,0.93945,0.79211,0.64549,0.38712,0.89751,8.22211e-05,8.22211e-05,8.22211e-05
21,45.676,0.72254,0.53487,1.0105,0.93168,0.87822,0.94176,0.79478,0.63555,0.38254,0.89484,8.57324e-05,8.57324e-05,8.57324e-05
22,47.8209,0.67308,0.50883,0.99476,0.94011,0.87334,0.94193,0.80081,0.62328,0.37943,0.89098,8.91807e-05,8.91807e-05,8.91807e-05
23,49.9797,0.7048,0.52815,1.00544,0.93436,0.88312,0.94287,0.80431,0.60929,0.37308,0.88468,9.25663e-05,9.25663e-05,9.25663e-05
24,52.154,0.74491,0.54633,1.01277,0.93445,0.88426,0.94398,0.80629,0.6098,0.37075,0.88572,9.5889e-05,9.5889e-05,9.5889e-05
25,54.3013,0.73374,0.53619,0.99246,0.92943,0.88283,0.94211,0.80184,0.61341,0.38227,0.88805,9.91489e-05,9.91489e-05,9.91489e-05
26,56.387,0.69517,0.51377,0.99421,0.93859,0.86648,0.9431,0.80175,0.60052,0.37271,0.88627,9.9365e-05,9.9365e-05,9.9365e-05
27,58.4599,0.6815,0.51756,0.99983,0.91426,0.89573,0.94523,0.80548,0.58322,0.36576,0.88415,9.85796e-05,9.85796e-05,9.85796e-05
28,60.5175,0.64124,0.47762,0.95954,0.93817,0.89295,0.94926,0.80909,0.57625,0.35468,0.88147,9.77942e-05,9.77942e-05,9.77942e-05
29,62.681,0.66598,0.4945,0.98002,0.92454,0.90006,0.95163,0.81515,0.57306,0.35311,0.87812,9.70088e-05,9.70088e-05,9.70088e-05
30,64.859,0.6614,0.4889,0.98159,0.87364,0.92651,0.95168,0.82653,0.56794,0.34957,0.87378,9.62234e-05,9.62234e-05,9.62234e-05
31,67.0293,0.62161,0.49711,0.97266,0.92999,0.88132,0.95455,0.83195,0.55679,0.34867,0.86984,9.5438e-05,9.5438e-05,9.5438e-05
32,69.2203,0.6517,0.49896,0.9744,0.86475,0.93565,0.95633,0.83666,0.54538,0.3461,0.86584,9.46526e-05,9.46526e-05,9.46526e-05
33,71.4137,0.62175,0.46897,0.97996,0.93678,0.90423,0.95941,0.83538,0.54048,0.34412,0.86266,9.38672e-05,9.38672e-05,9.38672e-05
34,73.4915,0.6234,0.49116,0.97566,0.94261,0.90008,0.95853,0.8405,0.53842,0.34185,0.86274,9.30818e-05,9.30818e-05,9.30818e-05
35,75.6748,0.6251,0.47621,0.9555,0.94503,0.90207,0.95977,0.83842,0.53513,0.34041,0.86126,9.22964e-05,9.22964e-05,9.22964e-05
36,77.7442,0.64279,0.45941,0.95249,0.93669,0.90844,0.95986,0.84047,0.52383,0.33627,0.8572,9.1511e-05,9.1511e-05,9.1511e-05
37,79.8099,0.59542,0.44269,0.9494,0.94043,0.90709,0.9602,0.84418,0.51654,0.33072,0.85443,9.07256e-05,9.07256e-05,9.07256e-05
38,81.9807,0.58775,0.42734,0.94852,0.94522,0.90558,0.96386,0.85023,0.50489,0.3239,0.85044,8.99402e-05,8.99402e-05,8.99402e-05
39,84.1649,0.58383,0.437,0.94897,0.94636,0.90375,0.96733,0.85271,0.50215,0.32416,0.848,8.91548e-05,8.91548e-05,8.91548e-05
40,86.3054,0.60926,0.45454,0.95477,0.93782,0.91397,0.96522,0.85132,0.50142,0.32685,0.84632,8.83694e-05,8.83694e-05,8.83694e-05
41,88.4634,0.62919,0.46727,0.96088,0.943,0.91674,0.96286,0.84869,0.50527,0.33045,0.8452,8.7584e-05,8.7584e-05,8.7584e-05
42,90.5553,0.59083,0.44999,0.95816,0.9369,0.91781,0.9639,0.85203,0.49504,0.32325,0.8415,8.67986e-05,8.67986e-05,8.67986e-05
43,92.6301,0.57492,0.42519,0.94843,0.93503,0.91964,0.96184,0.85383,0.48802,0.31777,0.83972,8.60132e-05,8.60132e-05,8.60132e-05
44,94.81,0.58725,0.43231,0.94694,0.95031,0.89957,0.95698,0.85539,0.48299,0.31515,0.83826,8.52278e-05,8.52278e-05,8.52278e-05
45,97.0657,0.59082,0.42421,0.92868,0.93632,0.90151,0.95781,0.85392,0.48409,0.31101,0.83887,8.44424e-05,8.44424e-05,8.44424e-05
46,99.1561,0.56238,0.42418,0.9326,0.93719,0.90627,0.96107,0.8595,0.48044,0.3093,0.83812,8.3657e-05,8.3657e-05,8.3657e-05
47,101.338,0.56022,0.40896,0.94,0.94686,0.91208,0.9637,0.86336,0.46794,0.30504,0.83463,8.28716e-05,8.28716e-05,8.28716e-05
48,103.489,0.56117,0.40769,0.94342,0.95252,0.91519,0.96662,0.86596,0.46259,0.30304,0.83296,8.20862e-05,8.20862e-05,8.20862e-05
49,105.668,0.57244,0.43635,0.95428,0.94994,0.91814,0.9681,0.86337,0.45541,0.29937,0.83043,8.13008e-05,8.13008e-05,8.13008e-05
50,107.744,0.5609,0.42231,0.92673,0.90021,0.94227,0.96772,0.8582,0.46103,0.29974,0.83072,8.05154e-05,8.05154e-05,8.05154e-05
51,109.843,0.56025,0.40547,0.93863,0.94888,0.8997,0.96428,0.85145,0.46256,0.30047,0.83044,7.973e-05,7.973e-05,7.973e-05
52,111.906,0.55602,0.42181,0.92632,0.94648,0.89934,0.96419,0.86598,0.45394,0.29581,0.82774,7.89446e-05,7.89446e-05,7.89446e-05
53,114.074,0.56218,0.39371,0.91293,0.94102,0.90363,0.96509,0.86677,0.44606,0.29388,0.82582,7.81592e-05,7.81592e-05,7.81592e-05
54,116.209,0.55349,0.40742,0.93498,0.94134,0.90067,0.9639,0.86369,0.44318,0.29041,0.82522,7.73738e-05,7.73738e-05,7.73738e-05
55,118.336,0.57046,0.4061,0.91938,0.9366,0.90166,0.96612,0.86762,0.44516,0.28972,0.82575,7.65884e-05,7.65884e-05,7.65884e-05
56,120.481,0.57684,0.40695,0.92088,0.94875,0.90487,0.9638,0.86865,0.43958,0.28786,0.82544,7.5803e-05,7.5803e-05,7.5803e-05
57,122.652,0.55557,0.42222,0.93181,0.94417,0.91307,0.96824,0.86992,0.43588,0.2862,0.82364,7.50176e-05,7.50176e-05,7.50176e-05
58,124.828,0.52426,0.39842,0.92309,0.93035,0.92455,0.96843,0.872,0.43206,0.28214,0.82273,7.42322e-05,7.42322e-05,7.42322e-05
59,126.958,0.5453,0.41079,0.93383,0.89283,0.96172,0.96926,0.87349,0.43016,0.28281,0.8228,7.34468e-05,7.34468e-05,7.34468e-05
60,129.118,0.52749,0.38588,0.9326,0.92114,0.95208,0.96984,0.87753,0.43045,0.28342,0.82382,7.26614e-05,7.26614e-05,7.26614e-05
61,131.285,0.48973,0.38495,0.91654,0.94241,0.93839,0.96961,0.87705,0.4288,0.28125,0.82262,7.1876e-05,7.1876e-05,7.1876e-05
62,133.347,0.54322,0.40801,0.92876,0.95908,0.91944,0.96894,0.8764,0.42699,0.2803,0.82212,7.10906e-05,7.10906e-05,7.10906e-05
63,135.405,0.54771,0.40651,0.92701,0.95392,0.92485,0.96898,0.8783,0.42624,0.27864,0.82227,7.03052e-05,7.03052e-05,7.03052e-05
64,137.605,0.51436,0.37979,0.91927,0.95342,0.92326,0.96878,0.87938,0.42369,0.27945,0.8203,6.95198e-05,6.95198e-05,6.95198e-05
