epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.73707,1.0565,1.01093,1.17674,0.78838,0.66911,0.76608,0.59287,0.93562,0.77838,1.03811,3.57e-06,3.57e-06,3.57e-06
2,2.94765,1.15688,1.15054,1.26721,0.81012,0.66941,0.77569,0.6022,0.93101,0.76652,1.03532,8.27502e-06,8.27502e-06,8.27502e-06
3,4.196,1.02382,1.04749,1.19638,0.80996,0.67538,0.78082,0.60867,0.92389,0.75009,1.03094,1.29172e-05,1.29172e-05,1.29172e-05
4,5.44193,1.06742,0.98482,1.18122,0.76911,0.71765,0.79141,0.61521,0.91136,0.73017,1.02319,1.74966e-05,1.74966e-05,1.74966e-05
5,6.69614,1.02638,0.97013,1.16693,0.81846,0.71567,0.80595,0.62799,0.89746,0.70879,1.01538,2.20131e-05,2.20131e-05,2.20131e-05
6,7.94957,0.9945,0.90077,1.14122,0.81116,0.73863,0.81725,0.64163,0.88435,0.68486,1.00676,2.64668e-05,2.64668e-05,2.64668e-05
7,9.20304,1.05601,0.93133,1.16918,0.79595,0.76339,0.82583,0.65335,0.87086,0.6683,0.99821,3.08577e-05,3.08577e-05,3.08577e-05
8,10.4945,0.96801,0.87696,1.13552,0.78111,0.77886,0.83318,0.66077,0.85185,0.64848,0.98776,3.51857e-05,3.51857e-05,3.51857e-05
9,11.7661,0.96619,0.80314,1.13557,0.84737,0.75559,0.84087,0.6714,0.83885,0.61998,0.98064,3.94509e-05,3.94509e-05,3.94509e-05
10,13.0145,0.90257,0.78929,1.11128,0.8353,0.78653,0.84296,0.68076,0.8243,0.59613,0.97294,4.36532e-05,4.36532e-05,4.36532e-05
11,14.2675,0.94129,0.79197,1.09171,0.86486,0.77195,0.84509,0.68359,0.81188,0.57698,0.9669,4.77928e-05,4.77928e-05,4.77928e-05
12,15.5133,0.88309,0.74654,1.0592,0.88957,0.75924,0.85448,0.69007,0.80385,0.56657,0.96222,5.18695e-05,5.18695e-05,5.18695e-05
13,16.7544,0.85785,0.70922,1.05479,0.89522,0.76271,0.87177,0.70725,0.79359,0.55185,0.95797,5.58834e-05,5.58834e-05,5.58834e-05
14,17.9944,0.89804,0.74114,1.06757,0.88331,0.78877,0.88221,0.71874,0.77923,0.53837,0.95118,5.98344e-05,5.98344e-05,5.98344e-05
15,19.25,0.8465,0.69004,1.07039,0.89392,0.78713,0.88508,0.72425,0.76541,0.52146,0.94489,6.37226e-05,6.37226e-05,6.37226e-05
16,20.4867,0.84953,0.67643,1.03873,0.83897,0.84473,0.88967,0.73038,0.75118,0.51085,0.93877,6.7548e-05,6.7548e-05,6.7548e-05
17,21.7195,0.82212,0.6399,1.04224,0.86487,0.83458,0.89417,0.72793,0.74602,0.50697,0.93517,7.13105e-05,7.13105e-05,7.13105e-05
18,22.9181,0.81167,0.65068,1.04702,0.90252,0.81982,0.89923,0.7349,0.73919,0.50043,0.93255,7.50102e-05,7.50102e-05,7.50102e-05
19,24.1911,0.8723,0.67129,1.04178,0.91776,0.8226,0.90048,0.73898,0.73665,0.49311,0.93066,7.86471e-05,7.86471e-05,7.86471e-05
20,25.4218,0.78959,0.63123,1.01589,0.90475,0.83037,0.9039,0.74413,0.73061,0.48469,0.92558,8.22211e-05,8.22211e-05,8.22211e-05
21,26.6531,0.82064,0.648,1.04106,0.92161,0.81661,0.90731,0.75373,0.71824,0.47505,0.92039,8.57324e-05,8.57324e-05,8.57324e-05
22,27.9139,0.77836,0.61334,1.01724,0.90413,0.83769,0.91395,0.75759,0.70674,0.46859,0.91497,8.91807e-05,8.91807e-05,8.91807e-05
23,29.1511,0.80134,0.63882,1.03795,0.87457,0.86242,0.91788,0.7599,0.69899,0.46341,0.9114,9.25663e-05,9.25663e-05,9.25663e-05
24,30.379,0.84937,0.65772,1.03696,0.86443,0.88735,0.92068,0.76431,0.69166,0.45803,0.90876,9.5889e-05,9.5889e-05,9.5889e-05
25,31.6102,0.82628,0.64606,1.00955,0.86321,0.88954,0.91945,0.76613,0.68867,0.45441,0.90742,9.91489e-05,9.91489e-05,9.91489e-05
26,32.8706,0.77702,0.6164,1.01289,0.93153,0.84753,0.92356,0.77498,0.68457,0.45259,0.90715,9.9365e-05,9.9365e-05,9.9365e-05
27,34.1124,0.77249,0.61385,1.02736,0.93447,0.84103,0.92165,0.77467,0.67727,0.44865,0.90689,9.85796e-05,9.85796e-05,9.85796e-05
28,35.311,0.75101,0.58153,0.99058,0.93427,0.8436,0.92411,0.78255,0.66723,0.44159,0.90278,9.77942e-05,9.77942e-05,9.77942e-05
29,36.5505,0.75686,0.59739,0.9896,0.86616,0.89334,0.92642,0.78582,0.65861,0.43465,0.89859,9.70088e-05,9.70088e-05,9.70088e-05
30,37.8169,0.75209,0.60617,0.99307,0.87533,0.89459,0.92976,0.78571,0.65182,0.43275,0.89621,9.62234e-05,9.62234e-05,9.62234e-05
31,39.0162,0.73204,0.58567,1.00259,0.88478,0.88404,0.92854,0.78537,0.64849,0.43108,0.89411,9.5438e-05,9.5438e-05,9.5438e-05
32,40.2175,0.76749,0.59209,0.99378,0.89761,0.8814,0.93071,0.78477,0.64336,0.42971,0.89247,9.46526e-05,9.46526e-05,9.46526e-05
33,41.4446,0.72643,0.58331,1.0061,0.90828,0.88102,0.93233,0.7925,0.63497,0.4276,0.888,9.38672e-05,9.38672e-05,9.38672e-05
